Factor,,X,GOterm,over_represented_pvalue,under_represented_pvalue,numDEInCat,numInCat,term,ontology,bh_adjust,ParentTerm
Biomin,772,1078,GO:0030154,1,0.724765972,0,8,cell differentiation,BP,1,cell development
Biomin,773,1079,GO:0048869,1,0.724765972,0,8,cellular developmental process,BP,1,cell development
Biomin,312,456,GO:0008283,1,0.91055596,0,2,cell population proliferation,BP,1,cell population proliferation
Biomin,3,3,GO:0044260,1,0.798434733,0,7,cellular macromolecule metabolic process,BP,1,cellular macromolecule metabolic process
Biomin,88,113,GO:0010467,1,0.955443239,0,1,gene expression,BP,1,cellular macromolecule metabolic process
Biomin,552,752,GO:0043170,1,0.749539387,0,9,macromolecule metabolic process,BP,1,cellular macromolecule metabolic process
Biomin,40,48,GO:0006575,1,0.947950792,0,1,cellular modified amino acid metabolic process,BP,1,cellular modified amino acid metabolic process
Biomin,42,50,GO:0006749,1,0.947950792,0,1,glutathione metabolic process,BP,1,cellular modified amino acid metabolic process
Biomin,541,740,GO:0006807,1,0.677877301,0,11,nitrogen compound metabolic process,BP,1,cellular nitrogen compound metabolic process
Biomin,544,744,GO:0008152,1,0.677877301,0,11,metabolic process,BP,1,cellular nitrogen compound metabolic process
Biomin,553,753,GO:0044237,1,0.677877301,0,11,cellular metabolic process,BP,1,cellular nitrogen compound metabolic process
Biomin,554,754,GO:0044238,1,0.677877301,0,11,primary metabolic process,BP,1,cellular nitrogen compound metabolic process
Biomin,564,764,GO:0071704,1,0.677877301,0,11,organic substance metabolic process,BP,1,cellular nitrogen compound metabolic process
Biomin,572,775,GO:0034641,1,0.864129457,0,3,cellular nitrogen compound metabolic process,BP,1,cellular nitrogen compound metabolic process
Biomin,546,746,GO:0009987,1,0.459397347,0,20,cellular process,BP,1,cellular process
Biomin,164,227,GO:0009895,1,0.95409834,0,1,negative regulation of catabolic process,BP,1,cellular protein catabolic process
Biomin,175,265,GO:0031329,1,0.95409834,0,1,regulation of cellular catabolic process,BP,1,cellular protein catabolic process
Biomin,176,266,GO:0031330,1,0.95409834,0,1,negative regulation of cellular catabolic process,BP,1,cellular protein catabolic process
Biomin,320,464,GO:0009057,1,0.967306446,0,1,macromolecule catabolic process,BP,1,cellular protein catabolic process
Biomin,321,465,GO:0030163,1,0.967306446,0,1,protein catabolic process,BP,1,cellular protein catabolic process
Biomin,322,466,GO:0044257,1,0.967306446,0,1,cellular protein catabolic process,BP,1,cellular protein catabolic process
Biomin,323,467,GO:0044265,1,0.967306446,0,1,cellular macromolecule catabolic process,BP,1,cellular protein catabolic process
Biomin,324,468,GO:0051603,1,0.967306446,0,1,proteolysis involved in cellular protein catabolic process,BP,1,cellular protein catabolic process
Biomin,360,516,GO:0009896,1,0.948953234,0,1,positive regulation of catabolic process,BP,1,cellular protein catabolic process
Biomin,362,519,GO:0042176,1,0.948953234,0,1,regulation of protein catabolic process,BP,1,cellular protein catabolic process
Biomin,364,521,GO:0045732,1,0.948953234,0,1,positive regulation of protein catabolic process,BP,1,cellular protein catabolic process
Biomin,519,718,GO:0009056,1,0.87609401,0,3,catabolic process,BP,1,cellular protein catabolic process
Biomin,520,719,GO:0044248,1,0.87609401,0,3,cellular catabolic process,BP,1,cellular protein catabolic process
Biomin,538,737,GO:1901565,1,0.924204119,0,2,organonitrogen compound catabolic process,BP,1,cellular protein catabolic process
Biomin,539,738,GO:1901575,1,0.924204119,0,2,organic substance catabolic process,BP,1,cellular protein catabolic process
Biomin,667,902,GO:0009894,1,0.905391075,0,2,regulation of catabolic process,BP,1,cellular protein catabolic process
Biomin,47,55,GO:0009636,1,0.947950792,0,1,response to toxic substance,BP,1,cellular response to chemical stimulus
Biomin,72,87,GO:0071241,1,0.947950792,0,1,cellular response to inorganic substance,BP,1,cellular response to chemical stimulus
Biomin,73,88,GO:0071248,1,0.947950792,0,1,cellular response to metal ion,BP,1,cellular response to chemical stimulus
Biomin,77,94,GO:0097237,1,0.947950792,0,1,cellular response to toxic substance,BP,1,cellular response to chemical stimulus
Biomin,78,95,GO:0098754,1,0.947950792,0,1,detoxification,BP,1,cellular response to chemical stimulus
Biomin,79,96,GO:0098869,1,0.947950792,0,1,cellular oxidant detoxification,BP,1,cellular response to chemical stimulus
Biomin,81,98,GO:1990748,1,0.947950792,0,1,cellular detoxification,BP,1,cellular response to chemical stimulus
Biomin,94,136,GO:0046686,1,0.955443239,0,1,response to cadmium ion,BP,1,cellular response to chemical stimulus
Biomin,165,228,GO:0010243,1,0.95409834,0,1,response to organonitrogen compound,BP,1,cellular response to chemical stimulus
Biomin,190,287,GO:0033993,1,0.95409834,0,1,response to lipid,BP,1,cellular response to chemical stimulus
Biomin,215,317,GO:0048545,1,0.95409834,0,1,response to steroid hormone,BP,1,cellular response to chemical stimulus
Biomin,245,361,GO:0071383,1,0.95409834,0,1,cellular response to steroid hormone stimulus,BP,1,cellular response to chemical stimulus
Biomin,246,366,GO:0071396,1,0.95409834,0,1,cellular response to lipid,BP,1,cellular response to chemical stimulus
Biomin,247,367,GO:0071417,1,0.95409834,0,1,cellular response to organonitrogen compound,BP,1,cellular response to chemical stimulus
Biomin,250,370,GO:0071867,1,0.95409834,0,1,response to monoamine,BP,1,cellular response to chemical stimulus
Biomin,251,371,GO:0071868,1,0.95409834,0,1,cellular response to monoamine stimulus,BP,1,cellular response to chemical stimulus
Biomin,252,372,GO:0071869,1,0.95409834,0,1,response to catecholamine,BP,1,cellular response to chemical stimulus
Biomin,253,373,GO:0071870,1,0.95409834,0,1,cellular response to catecholamine stimulus,BP,1,cellular response to chemical stimulus
Biomin,276,407,GO:1901698,1,0.95409834,0,1,response to nitrogen compound,BP,1,cellular response to chemical stimulus
Biomin,277,408,GO:1901699,1,0.95409834,0,1,cellular response to nitrogen compound,BP,1,cellular response to chemical stimulus
Biomin,370,535,GO:0070887,1,0.782895496,0,5,cellular response to chemical stimulus,BP,1,cellular response to chemical stimulus
Biomin,506,691,GO:0046685,1,0.951165903,0,1,response to arsenic-containing substance,BP,1,cellular response to chemical stimulus
Biomin,551,751,GO:0042221,1,0.639518094,0,9,response to chemical,BP,1,cellular response to chemical stimulus
Biomin,567,767,GO:0019221,1,0.91221138,0,2,cytokine-mediated signaling pathway,BP,1,cellular response to chemical stimulus
Biomin,568,768,GO:0034097,1,0.91221138,0,2,response to cytokine,BP,1,cellular response to chemical stimulus
Biomin,569,771,GO:0071345,1,0.91221138,0,2,cellular response to cytokine stimulus,BP,1,cellular response to chemical stimulus
Biomin,635,853,GO:0010038,1,0.864495584,0,3,response to metal ion,BP,1,cellular response to chemical stimulus
Biomin,662,897,GO:0046688,1,0.904817754,0,2,response to copper ion,BP,1,cellular response to chemical stimulus
Biomin,668,903,GO:0014070,1,0.905391075,0,2,response to organic cyclic compound,BP,1,cellular response to chemical stimulus
Biomin,671,906,GO:0071407,1,0.905391075,0,2,cellular response to organic cyclic compound,BP,1,cellular response to chemical stimulus
Biomin,770,1076,GO:0010033,1,0.825895754,0,4,response to organic substance,BP,1,cellular response to chemical stimulus
Biomin,771,1077,GO:0071310,1,0.825895754,0,4,cellular response to organic substance,BP,1,cellular response to chemical stimulus
Biomin,784,1093,GO:0042493,1,0.905709581,0,2,response to drug,BP,1,cellular response to chemical stimulus
Biomin,802,1118,GO:0010035,1,0.824804607,0,4,response to inorganic substance,BP,1,cellular response to chemical stimulus
Biomin,56,68,GO:0033554,1,0.947950792,0,1,cellular response to stress,BP,1,cellular response to stress
Biomin,162,225,GO:0009719,1,0.95409834,0,1,response to endogenous stimulus,BP,1,cellular response to stress
Biomin,163,226,GO:0009725,1,0.95409834,0,1,response to hormone,BP,1,cellular response to stress
Biomin,183,277,GO:0032870,1,0.95409834,0,1,cellular response to hormone stimulus,BP,1,cellular response to stress
Biomin,248,368,GO:0071495,1,0.95409834,0,1,cellular response to endogenous stimulus,BP,1,cellular response to stress
Biomin,439,605,GO:0006950,1,0.828614246,0,5,response to stress,BP,1,cellular response to stress
Biomin,532,731,GO:0051716,1,0.713943592,0,7,cellular response to stimulus,BP,1,cellular response to stress
Biomin,560,760,GO:0050896,1,0.559192838,0,13,response to stimulus,BP,1,cellular response to stress
Biomin,372,537,GO:0006821,1,0.877623002,0,3,chloride transport,BP,1,chloride transport
Biomin,375,540,GO:0015698,1,0.877623002,0,3,inorganic anion transport,BP,1,chloride transport
Biomin,381,546,GO:0098656,1,0.877623002,0,3,anion transmembrane transport,BP,1,chloride transport
Biomin,382,547,GO:0098661,1,0.877623002,0,3,inorganic anion transmembrane transport,BP,1,chloride transport
Biomin,383,548,GO:1902476,1,0.877623002,0,3,chloride transmembrane transport,BP,1,chloride transport
Biomin,628,846,GO:0006820,1,0.800562037,0,5,anion transport,BP,1,chloride transport
Biomin,629,847,GO:0015701,1,0.800562037,0,5,bicarbonate transport,BP,1,chloride transport
Biomin,630,848,GO:0015711,1,0.800562037,0,5,organic anion transport,BP,1,chloride transport
Biomin,297,441,GO:0007596,1,0.968963242,0,1,blood coagulation,BP,1,coagulation
Biomin,305,449,GO:0050817,1,0.968963242,0,1,coagulation,BP,1,coagulation
Biomin,30,34,GO:0009235,1,0.982563925,0,1,cobalamin metabolic process,BP,1,cobalamin metabolic process
Biomin,31,35,GO:0033013,1,0.982563925,0,1,tetrapyrrole metabolic process,BP,1,cobalamin metabolic process
Biomin,112,160,GO:0030865,1,0.941795499,0,1,cortical cytoskeleton organization,BP,1,cortical cytoskeleton organization
Biomin,113,161,GO:0030866,1,0.941795499,0,1,cortical actin cytoskeleton organization,BP,1,cortical cytoskeleton organization
Biomin,389,555,GO:0007010,1,0.850466919,0,4,cytoskeleton organization,BP,1,cortical cytoskeleton organization
Biomin,581,784,GO:0006325,1,0.959481944,0,2,chromatin organization,BP,1,cortical cytoskeleton organization
Biomin,582,785,GO:0016569,1,0.959481944,0,2,covalent chromatin modification,BP,1,cortical cytoskeleton organization
Biomin,583,786,GO:0016570,1,0.959481944,0,2,histone modification,BP,1,cortical cytoskeleton organization
Biomin,584,787,GO:0051276,1,0.959481944,0,2,chromosome organization,BP,1,cortical cytoskeleton organization
Biomin,715,1016,GO:0006338,1,0.990215516,0,1,chromatin remodeling,BP,1,cortical cytoskeleton organization
Biomin,733,1037,GO:0043044,1,0.990215516,0,1,ATP-dependent chromatin remodeling,BP,1,cortical cytoskeleton organization
Biomin,734,1038,GO:0043486,1,0.990215516,0,1,histone exchange,BP,1,cortical cytoskeleton organization
Biomin,713,1014,GO:0000281,1,0.990215516,0,1,mitotic cytokinesis,BP,1,cytoskeleton-dependent cytokinesis
Biomin,714,1015,GO:0000910,1,0.990215516,0,1,cytokinesis,BP,1,cytoskeleton-dependent cytokinesis
Biomin,738,1043,GO:0051301,1,0.990215516,0,1,cell division,BP,1,cytoskeleton-dependent cytokinesis
Biomin,743,1048,GO:0061640,1,0.990215516,0,1,cytoskeleton-dependent cytokinesis,BP,1,cytoskeleton-dependent cytokinesis
Biomin,160,223,GO:0009581,1,0.95409834,0,1,detection of external stimulus,BP,1,detection of external stimulus
Biomin,161,224,GO:0009582,1,0.95409834,0,1,detection of abiotic stimulus,BP,1,detection of external stimulus
Biomin,219,323,GO:0050906,1,0.95409834,0,1,detection of stimulus involved in sensory perception,BP,1,detection of external stimulus
Biomin,221,326,GO:0050974,1,0.95409834,0,1,detection of mechanical stimulus involved in sensory perception,BP,1,detection of external stimulus
Biomin,222,327,GO:0050982,1,0.95409834,0,1,detection of mechanical stimulus,BP,1,detection of external stimulus
Biomin,232,343,GO:0051606,1,0.95409834,0,1,detection of stimulus,BP,1,detection of external stimulus
Biomin,149,209,GO:0006816,1,0.95409834,0,1,calcium ion transport,BP,1,divalent metal ion transport
Biomin,236,349,GO:0060401,1,0.95409834,0,1,cytosolic calcium ion transport,BP,1,divalent metal ion transport
Biomin,241,354,GO:0070509,1,0.95409834,0,1,calcium ion import,BP,1,divalent metal ion transport
Biomin,242,355,GO:0070588,1,0.95409834,0,1,calcium ion transmembrane transport,BP,1,divalent metal ion transport
Biomin,243,356,GO:0070838,1,0.95409834,0,1,divalent metal ion transport,BP,1,divalent metal ion transport
Biomin,256,379,GO:0072511,1,0.95409834,0,1,divalent inorganic cation transport,BP,1,divalent metal ion transport
Biomin,275,406,GO:1901660,1,0.95409834,0,1,calcium ion export,BP,1,divalent metal ion transport
Biomin,335,479,GO:0000041,1,0.954502522,0,1,transition metal ion transport,BP,1,divalent metal ion transport
Biomin,336,481,GO:0006825,1,0.954502522,0,1,copper ion transport,BP,1,divalent metal ion transport
Biomin,337,482,GO:0006826,1,0.954502522,0,1,iron ion transport,BP,1,divalent metal ion transport
Biomin,339,487,GO:0035434,1,0.954502522,0,1,copper ion transmembrane transport,BP,1,divalent metal ion transport
Biomin,371,536,GO:0006814,1,0.877623002,0,3,sodium ion transport,BP,1,divalent metal ion transport
Biomin,374,539,GO:0015672,1,0.877623002,0,3,monovalent inorganic cation transport,BP,1,divalent metal ion transport
Biomin,378,543,GO:0035725,1,0.877623002,0,3,sodium ion transmembrane transport,BP,1,divalent metal ion transport
Biomin,512,702,GO:1902600,1,0.951165903,0,1,proton transmembrane transport,BP,1,divalent metal ion transport
Biomin,524,723,GO:0006812,1,0.799223093,0,5,cation transport,BP,1,divalent metal ion transport
Biomin,525,724,GO:0030001,1,0.799223093,0,5,metal ion transport,BP,1,divalent metal ion transport
Biomin,528,727,GO:0098655,1,0.799223093,0,5,cation transmembrane transport,BP,1,divalent metal ion transport
Biomin,530,729,GO:0098662,1,0.799223093,0,5,inorganic cation transmembrane transport,BP,1,divalent metal ion transport
Biomin,604,821,GO:0006811,1,0.729035929,0,7,ion transport,BP,1,divalent metal ion transport
Biomin,325,469,GO:0017144,1,0.889915021,0,3,drug metabolic process,BP,1,drug metabolic process
Biomin,785,1094,GO:0042737,1,0.905709581,0,2,drug catabolic process,BP,1,drug metabolic process
Biomin,6,6,GO:0048598,1,0.805375778,0,5,embryonic morphogenesis,BP,1,embryonic morphogenesis
Biomin,36,42,GO:0001704,1,0.947950792,0,1,formation of primary germ layer,BP,1,embryonic morphogenesis
Biomin,522,721,GO:0007369,1,0.892771132,0,2,gastrulation,BP,1,embryonic morphogenesis
Biomin,549,749,GO:0032501,1,0.560080354,0,14,multicellular organismal process,BP,1,embryonic morphogenesis
Biomin,640,859,GO:0007389,1,0.904643096,0,2,pattern specification process,BP,1,embryonic morphogenesis
Biomin,674,909,GO:0009790,1,0.773596976,0,6,embryo development,BP,1,embryonic morphogenesis
Biomin,678,918,GO:0003002,1,0.960555294,0,1,regionalization,BP,1,embryonic morphogenesis
Biomin,792,1106,GO:0009792,1,0.824645371,0,4,embryo development ending in birth or egg hatching,BP,1,embryonic morphogenesis
Biomin,32,36,GO:0008544,1,0.871700618,0,3,epidermis development,BP,1,epidermis development
Biomin,33,37,GO:0009913,1,0.871700618,0,3,epidermal cell differentiation,BP,1,epidermis development
Biomin,37,43,GO:0001707,1,0.947950792,0,1,mesoderm formation,BP,1,epidermis development
Biomin,45,53,GO:0007498,1,0.947950792,0,1,mesoderm development,BP,1,epidermis development
Biomin,66,79,GO:0048332,1,0.947950792,0,1,mesoderm morphogenesis,BP,1,epidermis development
Biomin,99,146,GO:0003381,1,0.941795499,0,1,epithelial cell morphogenesis involved in gastrulation,BP,1,epidermis development
Biomin,100,147,GO:0003382,1,0.941795499,0,1,epithelial cell morphogenesis,BP,1,epidermis development
Biomin,101,148,GO:0003383,1,0.941795499,0,1,apical constriction,BP,1,epidermis development
Biomin,102,149,GO:0003384,1,0.941795499,0,1,apical constriction involved in gastrulation,BP,1,epidermis development
Biomin,393,559,GO:0002009,1,0.895256326,0,3,morphogenesis of an epithelium,BP,1,epidermis development
Biomin,429,595,GO:0030855,1,0.820952711,0,4,epithelial cell differentiation,BP,1,epidermis development
Biomin,586,797,GO:0016331,1,0.989625492,0,1,morphogenesis of embryonic epithelium,BP,1,epidermis development
Biomin,637,855,GO:0001738,1,0.904643096,0,2,morphogenesis of a polarized epithelium,BP,1,epidermis development
Biomin,688,966,GO:0060485,1,0.960555294,0,1,mesenchyme development,BP,1,epidermis development
Biomin,695,993,GO:0090175,1,0.960555294,0,1,regulation of establishment of planar polarity,BP,1,epidermis development
Biomin,696,996,GO:1905330,1,0.960555294,0,1,regulation of morphogenesis of an epithelium,BP,1,epidermis development
Biomin,780,1089,GO:0060429,1,0.812432974,0,5,epithelium development,BP,1,epidermis development
Biomin,781,1090,GO:0060537,1,0.939667417,0,2,muscle tissue development,BP,1,epidermis development
Biomin,782,1091,GO:0002064,1,0.854673513,0,3,epithelial cell development,BP,1,epidermis development
Biomin,798,1113,GO:0009888,1,0.723649252,0,8,tissue development,BP,1,epidermis development
Biomin,799,1114,GO:0048729,1,0.848650761,0,4,tissue morphogenesis,BP,1,epidermis development
Biomin,116,165,GO:0040001,1,0.941795499,0,1,establishment of mitotic spindle localization,BP,1,establishment of mitotic spindle localization
Biomin,128,185,GO:0051293,1,0.941795499,0,1,establishment of spindle localization,BP,1,establishment of mitotic spindle localization
Biomin,130,187,GO:0051640,1,0.941795499,0,1,organelle localization,BP,1,establishment of mitotic spindle localization
Biomin,132,189,GO:0051653,1,0.941795499,0,1,spindle localization,BP,1,establishment of mitotic spindle localization
Biomin,133,190,GO:0051656,1,0.941795499,0,1,establishment of organelle localization,BP,1,establishment of mitotic spindle localization
Biomin,387,552,GO:0051649,1,0.8985614,0,2,establishment of localization in cell,BP,1,establishment of mitotic spindle localization
Biomin,500,680,GO:0051641,1,0.863111855,0,3,cellular localization,BP,1,establishment of mitotic spindle localization
Biomin,97,143,GO:0000132,1,0.941795499,0,1,establishment of mitotic spindle orientation,BP,1,establishment of mitotic spindle orientation
Biomin,129,186,GO:0051294,1,0.941795499,0,1,establishment of spindle orientation,BP,1,establishment of mitotic spindle orientation
Biomin,345,494,GO:0007163,1,0.865713359,0,3,establishment or maintenance of cell polarity,BP,1,establishment of mitotic spindle orientation
Biomin,347,496,GO:0030010,1,0.865713359,0,3,establishment of cell polarity,BP,1,establishment of mitotic spindle orientation
Biomin,682,943,GO:0035088,1,0.960555294,0,1,establishment or maintenance of apical/basal cell polarity,BP,1,establishment of mitotic spindle orientation
Biomin,686,958,GO:0045197,1,0.960555294,0,1,establishment or maintenance of epithelial cell apical/basal polarity,BP,1,establishment of mitotic spindle orientation
Biomin,690,972,GO:0061245,1,0.960555294,0,1,establishment or maintenance of bipolar cell polarity,BP,1,establishment of mitotic spindle orientation
Biomin,694,992,GO:0090162,1,0.960555294,0,1,establishment of epithelial cell polarity,BP,1,establishment of mitotic spindle orientation
Biomin,117,167,GO:0042074,1,0.941795499,0,1,cell migration involved in gastrulation,BP,1,flagellated sperm motility
Biomin,174,262,GO:0030317,1,0.95409834,0,1,flagellated sperm motility,BP,1,flagellated sperm motility
Biomin,263,386,GO:0097722,1,0.95409834,0,1,sperm motility,BP,1,flagellated sperm motility
Biomin,392,558,GO:0016477,1,0.858872646,0,3,cell migration,BP,1,flagellated sperm motility
Biomin,399,565,GO:0048870,1,0.819439423,0,4,cell motility,BP,1,flagellated sperm motility
Biomin,400,566,GO:0051674,1,0.819439423,0,4,localization of cell,BP,1,flagellated sperm motility
Biomin,605,822,GO:0001667,1,0.894148367,0,2,ameboidal-type cell migration,BP,1,flagellated sperm motility
Biomin,316,460,GO:0032504,1,0.880329061,0,3,multicellular organism reproduction,BP,1,gonad development
Biomin,319,463,GO:0048609,1,0.880329061,0,3,multicellular organismal reproductive process,BP,1,gonad development
Biomin,354,510,GO:0007548,1,0.948953234,0,1,sex differentiation,BP,1,gonad development
Biomin,358,514,GO:0008406,1,0.948953234,0,1,gonad development,BP,1,gonad development
Biomin,359,515,GO:0008585,1,0.948953234,0,1,female gonad development,BP,1,gonad development
Biomin,363,520,GO:0045137,1,0.948953234,0,1,development of primary sexual characteristics,BP,1,gonad development
Biomin,365,522,GO:0046545,1,0.948953234,0,1,development of primary female sexual characteristics,BP,1,gonad development
Biomin,366,523,GO:0046660,1,0.948953234,0,1,female sex differentiation,BP,1,gonad development
Biomin,497,677,GO:0003006,1,0.899556868,0,2,developmental process involved in reproduction,BP,1,gonad development
Biomin,748,1054,GO:0000003,1,0.791888644,0,5,reproduction,BP,1,gonad development
Biomin,749,1055,GO:0022414,1,0.791888644,0,5,reproductive process,BP,1,gonad development
Biomin,367,530,GO:0060323,1,0.948953234,0,1,head morphogenesis,BP,1,head development
Biomin,412,578,GO:0060322,1,0.817595801,0,4,head development,BP,1,head development
Biomin,575,778,GO:0007420,1,0.861587447,0,3,brain development,BP,1,head development
Biomin,454,632,GO:0031589,1,0.949413007,0,1,cell-substrate adhesion,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,455,633,GO:0034446,1,0.949413007,0,1,substrate adhesion-dependent cell spreading,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,632,850,GO:0007155,1,0.849960041,0,4,cell adhesion,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,633,851,GO:0022610,1,0.849960041,0,4,biological adhesion,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,638,857,GO:0007156,1,0.904643096,0,2,homophilic cell adhesion via plasma membrane adhesion molecules,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,644,868,GO:0098609,1,0.904643096,0,2,cell-cell adhesion,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,645,869,GO:0098742,1,0.904643096,0,2,cell-cell adhesion via plasma-membrane adhesion molecules,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,679,932,GO:0007157,1,0.960555294,0,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules,BP,1,heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules
Biomin,349,504,GO:0002376,1,0.948953234,0,1,immune system process,BP,1,immune system process
Biomin,198,295,GO:0042430,1,0.95409834,0,1,indole-containing compound metabolic process,BP,1,indole-containing compound metabolic process
Biomin,265,388,GO:0098659,1,0.95409834,0,1,inorganic cation import across plasma membrane,BP,1,inorganic cation import across plasma membrane
Biomin,267,391,GO:0098739,1,0.95409834,0,1,import across plasma membrane,BP,1,inorganic cation import across plasma membrane
Biomin,268,392,GO:0099587,1,0.95409834,0,1,inorganic ion import across plasma membrane,BP,1,inorganic cation import across plasma membrane
Biomin,526,725,GO:0034220,1,0.799223093,0,5,ion transmembrane transport,BP,1,inorganic cation import across plasma membrane
