"delta.rank" "pval" "level" "nseqs" "term" "name" "p.adj"
0 1 3 9 "GO:0002456" "T cell mediated immunity" 1
0 0.460077983307802 2 5 "GO:0002467" "germinal center formation" 1
0 0.960559807507781 2 20 "GO:0002474" "antigen processing and presentation of peptide antigen via MHC class I" 1
0 0.986879505939011 2 57 "GO:0002478;GO:0019884;GO:0048002" "antigen processing and presentation of peptide antigen" 1
0 0.879538434806445 2 11 "GO:0002479;GO:0042590" "antigen processing and presentation of exogenous peptide antigen via MHC class I" 1
0 0.956075651228895 2 42 "GO:0002495;GO:0002504;GO:0019886" "antigen processing and presentation of peptide antigen via MHC class II" 1
0 0.970925391461725 3 287 "GO:0002520;GO:0030097;GO:0048534" "immune system development" 1
0 0.923518960433314 3 113 "GO:0002521;GO:1903131" "leukocyte differentiation" 1
0 0.0446468579892076 2 15 "GO:0002526" "acute inflammatory response" 0.88828125
0 0.863644997014844 2 15 "GO:0002532" "production of molecular mediator involved in inflammatory response" 1
0 1 2 5 "GO:0002566;GO:0016446" "somatic diversification of immune receptors via somatic mutation" 1
0 0.775869787835243 2 36 "GO:0002573" "myeloid leukocyte differentiation" 1
0 0.79460477886189 3 29 "GO:0002576" "platelet degranulation" 1
0 0.876672135865024 3 6 "GO:0002634" "regulation of germinal center formation" 1
0 0.934233879284552 2 18 "GO:0002637" "regulation of immunoglobulin production" 1
0 0.956746162576861 5 9 "GO:0002639" "positive regulation of immunoglobulin production" 1
0 0.996260635440307 4 16 "GO:0002673" "regulation of acute inflammatory response" 1
0 0.876672135865024 2 6 "GO:0002675" "positive regulation of acute inflammatory response" 1
0 0.993010672385025 3 403 "GO:0002682" "regulation of immune system process" 1
0 0.723943293247891 4 117 "GO:0002683" "negative regulation of immune system process" 1
0 0.995362171117187 2 218 "GO:0002684" "positive regulation of immune system process" 1
0 0.804851475592334 3 37 "GO:0002685" "regulation of leukocyte migration" 1
0 0.733533740975951 2 8 "GO:0002686" "negative regulation of leukocyte migration" 1
0 0.899987724387773 5 25 "GO:0002687" "positive regulation of leukocyte migration" 1
0 0.426534240198281 2 21 "GO:0002688;GO:0002690" "regulation of leukocyte chemotaxis" 1
0 0.927180724497717 2 121 "GO:0002694;GO:0050865;GO:0051249" "regulation of cell activation" 1
0 0.606813021706329 3 42 "GO:0002695;GO:0050866;GO:0051250" "negative regulation of cell activation" 1
0 0.989698854518254 2 67 "GO:0002696;GO:0050867;GO:0051251" "positive regulation of cell activation" 1
0 0.988117073243223 2 116 "GO:0002697" "regulation of immune effector process" 1
0 0.563587054624515 2 27 "GO:0002698" "negative regulation of immune effector process" 1
0 0.898582148968457 3 61 "GO:0002699" "positive regulation of immune effector process" 1
0 0.933908974413902 2 48 "GO:0002700" "regulation of production of molecular mediator of immune response" 1
0 0.155508581360357 5 5 "GO:0002701" "negative regulation of production of molecular mediator of immune response" 1
0 0.961643618352384 2 34 "GO:0002702" "positive regulation of production of molecular mediator of immune response" 1
0 0.909046686673423 3 42 "GO:0002703;GO:0002706" "regulation of leukocyte mediated immunity" 1
0 0.33999196353478 2 7 "GO:0002704" "negative regulation of leukocyte mediated immunity" 1
0 0.946573415414276 2 28 "GO:0002705" "positive regulation of leukocyte mediated immunity" 1
0 0.155508581360357 3 5 "GO:0002707" "negative regulation of lymphocyte mediated immunity" 1
0 0.93383934243063 3 27 "GO:0002708;GO:0002824;GO:0002821" "positive regulation of lymphocyte mediated immunity" 1
0 0.686663675028934 2 15 "GO:0002709" "regulation of T cell mediated immunity" 1
0 0.489961467729238 4 12 "GO:0002711;GO:0002724;GO:0002726" "positive regulation of T cell mediated immunity" 1
0 0.908714732229958 4 12 "GO:0002712;GO:0002889" "regulation of immunoglobulin mediated immune response" 1
0 0.938659745350618 4 8 "GO:0002714;GO:0002891" "positive regulation of B cell mediated immunity" 1
