"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust"
"453","GO:0005198",0,1,22,22,"structural molecule activity","MF",0
"487","GO:0005576",0,1,15,15,"extracellular region","CC",0
"499","GO:0005694",0,1,14,14,"chromosome","CC",0
"505","GO:0005730",0,1,14,14,"nucleolus","CC",0
"507","GO:0005739",0,1,19,19,"mitochondrion","CC",0
"508","GO:0005740",0,1,9,9,"mitochondrial envelope","CC",0
"526","GO:0005783",0,1,17,17,"endoplasmic reticulum","CC",0
"528","GO:0005789",0,1,12,12,"endoplasmic reticulum membrane","CC",0
"531","GO:0005794",0,1,10,10,"Golgi apparatus","CC",0
"545","GO:0005840",0,1,20,20,"ribosome","CC",0
"551","GO:0005856",0,1,16,16,"cytoskeleton","CC",0
"559","GO:0005887",0,1,9,9,"integral component of plasma membrane","CC",0
"570","GO:0005929",0,1,9,9,"cilium","CC",0
"585","GO:0006082",0,1,13,13,"organic acid metabolic process","BP",0
"600","GO:0006163",0,1,11,11,"purine nucleotide metabolic process","BP",0
"634","GO:0006355",0,1,25,25,"regulation of transcription, DNA-templated","BP",0
"636","GO:0006357",0,1,20,20,"regulation of transcription by RNA polymerase II","BP",0
"643","GO:0006396",0,1,21,21,"RNA processing","BP",0
"644","GO:0006397",0,1,13,13,"mRNA processing","BP",0
"646","GO:0006401",0,1,14,14,"RNA catabolic process","BP",0
"647","GO:0006402",0,1,14,14,"mRNA catabolic process","BP",0
"650","GO:0006412",0,1,20,20,"translation","BP",0
"651","GO:0006413",0,1,12,12,"translational initiation","BP",0
"653","GO:0006417",0,1,12,12,"regulation of translation","BP",0
"659","GO:0006464",0,1,27,27,"cellular protein modification process","BP",0
"671","GO:0006508",0,1,12,12,"proteolysis","BP",0
"673","GO:0006518",0,1,22,22,"peptide metabolic process","BP",0
"687","GO:0006605",0,1,14,14,"protein targeting","BP",0
"691","GO:0006612",0,1,10,10,"protein targeting to membrane","BP",0
"692","GO:0006613",0,1,10,10,"cotranslational protein targeting to membrane","BP",0
"693","GO:0006614",0,1,10,10,"SRP-dependent cotranslational protein targeting to membrane","BP",0
"696","GO:0006629",0,1,10,10,"lipid metabolic process","BP",0
"723","GO:0006753",0,1,11,11,"nucleoside phosphate metabolic process","BP",0
"734","GO:0006793",0,1,20,20,"phosphorus metabolic process","BP",0
"735","GO:0006796",0,1,20,20,"phosphate-containing compound metabolic process","BP",0
"753","GO:0006873",0,1,9,9,"cellular ion homeostasis","BP",0
"755","GO:0006875",0,1,9,9,"cellular metal ion homeostasis","BP",0
"758","GO:0006886",0,1,21,21,"intracellular protein transport","BP",0
"774","GO:0006915",0,1,9,9,"apoptotic process","BP",0
"777","GO:0006928",0,1,20,20,"movement of cell or subcellular component","BP",0
"778","GO:0006935",0,1,10,10,"chemotaxis","BP",0
"784","GO:0006952",0,1,17,17,"defense response","BP",0
"787","GO:0006955",0,1,16,16,"immune response","BP",0
"791","GO:0006974",0,1,9,9,"cellular response to DNA damage stimulus","BP",0
"793","GO:0006979",0,1,9,9,"response to oxidative stress","BP",0
"801","GO:0007010",0,1,14,14,"cytoskeleton organization","BP",0
"803","GO:0007017",0,1,14,14,"microtubule-based process","BP",0
"816","GO:0007049",0,1,18,18,"cell cycle","BP",0
"838","GO:0007165",0,1,26,26,"signal transduction","BP",0
"839","GO:0007166",0,1,13,13,"cell surface receptor signaling pathway","BP",0
"862","GO:0007276",0,1,23,23,"gamete generation","BP",0
"863","GO:0007281",0,1,17,17,"germ cell development","BP",0
"867","GO:0007292",0,1,15,15,"female gamete generation","BP",0
"882","GO:0007346",0,1,9,9,"regulation of mitotic cell cycle","BP",0
"893","GO:0007389",0,1,14,14,"pattern specification process","BP",0
"897","GO:0007409",0,1,9,9,"axonogenesis","BP",0
"898","GO:0007411",0,1,9,9,"axon guidance","BP",0
"901","GO:0007417",0,1,14,14,"central nervous system development","BP",0
"903","GO:0007420",0,1,9,9,"brain development","BP",0
"905","GO:0007423",0,1,11,11,"sensory organ development","BP",0
"912","GO:0007444",0,1,9,9,"imaginal disc development","BP",0
"922","GO:0007507",0,1,11,11,"heart development","BP",0
"930","GO:0007548",0,1,9,9,"sex differentiation","BP",0
"936","GO:0007568",0,1,14,14,"aging","BP",0
"952","GO:0007610",0,1,11,11,"behavior","BP",0
"989","GO:0008144",0,1,9,9,NA,NA,0
"1007","GO:0008219",0,1,13,13,"cell death","BP",0
"1017","GO:0008284",0,1,9,9,"positive regulation of cell population proliferation","BP",0
"1018","GO:0008285",0,1,9,9,"negative regulation of cell population proliferation","BP",0
"1030","GO:0008340",0,1,10,10,"determination of adult lifespan","BP",0
"1037","GO:0008380",0,1,12,12,"RNA splicing","BP",0
"1064","GO:0009057",0,1,21,21,"macromolecule catabolic process","BP",0
"1082","GO:0009117",0,1,11,11,"nucleotide metabolic process","BP",0
"1096","GO:0009150",0,1,11,11,"purine ribonucleotide metabolic process","BP",0
"1124","GO:0009259",0,1,11,11,"ribonucleotide metabolic process","BP",0
"1149","GO:0009607",0,1,14,14,"response to biotic stimulus","BP",0
"1150","GO:0009611",0,1,9,9,"response to wounding","BP",0
"1152","GO:0009617",0,1,10,10,"response to bacterium","BP",0
"1154","GO:0009628",0,1,18,18,"response to abiotic stimulus","BP",0
"1156","GO:0009636",0,1,14,14,"response to toxic substance","BP",0
"1164","GO:0009719",0,1,22,22,"response to endogenous stimulus","BP",0
"1165","GO:0009725",0,1,16,16,"response to hormone","BP",0
"1172","GO:0009790",0,1,26,26,"embryo development","BP",0
"1173","GO:0009791",0,1,19,19,"post-embryonic development","BP",0
"1174","GO:0009792",0,1,19,19,"embryo development ending in birth or egg hatching","BP",0
"1183","GO:0009887",0,1,20,20,"animal organ morphogenesis","BP",0
"1186","GO:0009890",0,1,23,23,"negative regulation of biosynthetic process","BP",0
"1187","GO:0009891",0,1,20,20,"positive regulation of biosynthetic process","BP",0
"1190","GO:0009894",0,1,12,12,"regulation of catabolic process","BP",0
"1192","GO:0009896",0,1,11,11,"positive regulation of catabolic process","BP",0
"1202","GO:0009967",0,1,18,18,"positive regulation of signal transduction","BP",0
"1203","GO:0009968",0,1,16,16,"negative regulation of signal transduction","BP",0
"1207","GO:0009991",0,1,12,12,"response to extracellular stimulus","BP",0
"1212","GO:0010035",0,1,10,10,"response to inorganic substance","BP",0
"1224","GO:0010243",0,1,15,15,"response to organonitrogen compound","BP",0
"1226","GO:0010259",0,1,11,11,"multicellular organism aging","BP",0
"1249","GO:0010557",0,1,19,19,"positive regulation of macromolecule biosynthetic process","BP",0
"1250","GO:0010558",0,1,21,21,"negative regulation of macromolecule biosynthetic process","BP",0
"1251","GO:0010562",0,1,12,12,"positive regulation of phosphorus metabolic process","BP",0
"1265","GO:0010608",0,1,15,15,"posttranscriptional regulation of gene expression","BP",0
"1269","GO:0010628",0,1,21,21,"positive regulation of gene expression","BP",0
"1276","GO:0010638",0,1,10,10,"positive regulation of organelle organization","BP",0
"1279","GO:0010647",0,1,20,20,"positive regulation of cell communication","BP",0
"1280","GO:0010648",0,1,18,18,"negative regulation of cell communication","BP",0
"1308","GO:0010817",0,1,11,11,"regulation of hormone levels","BP",0
"1331","GO:0010941",0,1,21,21,"regulation of cell death","BP",0
"1332","GO:0010942",0,1,11,11,"positive regulation of cell death","BP",0
"1346","GO:0012501",0,1,13,13,"programmed cell death","BP",0
"1362","GO:0014070",0,1,14,14,"response to organic cyclic compound","BP",0
"1388","GO:0015031",0,1,22,22,"protein transport","BP",0
"1412","GO:0015630",0,1,12,12,"microtubule cytoskeleton","CC",0
"1429","GO:0015833",0,1,22,22,"peptide transport","BP",0
"1437","GO:0015935",0,1,11,11,"small ribosomal subunit","CC",0
"1444","GO:0016021",0,1,14,14,"integral component of membrane","CC",0
"1462","GO:0016071",0,1,26,26,"mRNA metabolic process","BP",0
"1469","GO:0016192",0,1,17,17,"vesicle-mediated transport","BP",0
"1488","GO:0016310",0,1,10,10,"phosphorylation","BP",0
"1501","GO:0016462",0,1,10,10,"pyrophosphatase activity","MF",0
"1506","GO:0016491",0,1,9,9,"oxidoreductase activity","MF",0
"1522","GO:0016604",0,1,11,11,"nuclear body","CC",0
"1524","GO:0016607",0,1,8,8,"nuclear speck","CC",0
"1540","GO:0016740",0,1,22,22,"transferase activity","MF",0
"1548","GO:0016772",0,1,10,10,"transferase activity, transferring phosphorus-containing groups","MF",0
"1554","GO:0016787",0,1,21,21,"hydrolase activity","MF",0
"1563","GO:0016817",0,1,10,10,"hydrolase activity, acting on acid anhydrides","MF",0
"1564","GO:0016818",0,1,10,10,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides","MF",0
"1596","GO:0017111",0,1,9,9,"nucleoside-triphosphatase activity","MF",0
"1597","GO:0017144",0,1,11,11,NA,NA,0
"1613","GO:0018130",0,1,15,15,"heterocycle biosynthetic process","BP",0
"1617","GO:0018193",0,1,12,12,"peptidyl-amino acid modification","BP",0
"1658","GO:0019220",0,1,15,15,"regulation of phosphate metabolic process","BP",0
"1670","GO:0019438",0,1,15,15,"aromatic compound biosynthetic process","BP",0
"1671","GO:0019439",0,1,19,19,"aromatic compound catabolic process","BP",0
"1678","GO:0019637",0,1,14,14,"organophosphate metabolic process","BP",0
"1682","GO:0019693",0,1,11,11,"ribose phosphate metabolic process","BP",0
"1684","GO:0019725",0,1,15,15,"cellular homeostasis","BP",0
"1690","GO:0019752",0,1,13,13,"carboxylic acid metabolic process","BP",0
"1708","GO:0019899",0,1,24,24,"enzyme binding","MF",0
"1709","GO:0019900",0,1,9,9,"kinase binding","MF",0
"1719","GO:0019953",0,1,24,24,"sexual reproduction","BP",0
"1748","GO:0022008",0,1,26,26,"neurogenesis","BP",0
"1750","GO:0022402",0,1,18,18,"cell cycle process","BP",0
"1754","GO:0022412",0,1,17,17,"cellular process involved in reproduction in multicellular organism","BP",0
"1758","GO:0022603",0,1,14,14,"regulation of anatomical structure morphogenesis","BP",0
"1765","GO:0022613",0,1,19,19,"ribonucleoprotein complex biogenesis","BP",0
"1767","GO:0022618",0,1,12,12,"ribonucleoprotein complex assembly","BP",0
"1770","GO:0022626",0,1,19,19,"cytosolic ribosome","CC",0
"1771","GO:0022627",0,1,10,10,"cytosolic small ribosomal subunit","CC",0
"1786","GO:0023056",0,1,20,20,"positive regulation of signaling","BP",0
"1787","GO:0023057",0,1,18,18,"negative regulation of signaling","BP",0
"1791","GO:0030003",0,1,9,9,"cellular cation homeostasis","BP",0
"1800","GO:0030030",0,1,17,17,"cell projection organization","BP",0
"1832","GO:0030141",0,1,8,8,"secretory granule","CC",0
"1836","GO:0030162",0,1,9,9,"regulation of proteolysis","BP",0
"1841","GO:0030182",0,1,17,17,"neuron differentiation","BP",0
"1847","GO:0030234",0,1,8,8,"enzyme regulator activity","MF",0
"1874","GO:0030425",0,1,10,10,"dendrite","CC",0
"1936","GO:0030855",0,1,14,14,"epithelial cell differentiation","BP",0
"1972","GO:0031090",0,1,26,26,"organelle membrane","CC",0
"1992","GO:0031175",0,1,13,13,"neuron projection development","BP",0
"1994","GO:0031224",0,1,15,15,"intrinsic component of membrane","CC",0
"1995","GO:0031226",0,1,9,9,"intrinsic component of plasma membrane","CC",0
"2011","GO:0031325",0,1,27,27,"positive regulation of cellular metabolic process","BP",0
"2013","GO:0031327",0,1,22,22,"negative regulation of cellular biosynthetic process","BP",0
"2014","GO:0031328",0,1,20,20,"positive regulation of cellular biosynthetic process","BP",0
"2015","GO:0031329",0,1,12,12,"regulation of cellular catabolic process","BP",0
"2017","GO:0031331",0,1,11,11,"positive regulation of cellular catabolic process","BP",0
"2030","GO:0031399",0,1,14,14,"regulation of protein modification process","BP",0
"2032","GO:0031401",0,1,10,10,"positive regulation of protein modification process","BP",0
"2034","GO:0031410",0,1,21,21,"cytoplasmic vesicle","CC",0
"2065","GO:0031667",0,1,12,12,"response to nutrient levels","BP",0
"2083","GO:0031967",0,1,16,16,"organelle envelope","CC",0
"2087","GO:0031975",0,1,16,16,"envelope","CC",0
"2089","GO:0031982",0,1,22,22,"vesicle","CC",0
"2091","GO:0031984",0,1,12,12,"organelle subcompartment","CC",0
"2132","GO:0032268",0,1,25,25,"regulation of cellular protein metabolic process","BP",0
"2133","GO:0032269",0,1,11,11,"negative regulation of cellular protein metabolic process","BP",0
"2134","GO:0032270",0,1,18,18,"positive regulation of cellular protein metabolic process","BP",0
"2171","GO:0032504",0,1,24,24,"multicellular organism reproduction","BP",0
"2211","GO:0032787",0,1,8,8,"monocarboxylic acid metabolic process","BP",0
"2219","GO:0032870",0,1,11,11,"cellular response to hormone stimulus","BP",0
"2226","GO:0032879",0,1,25,25,"regulation of localization","BP",0
"2227","GO:0032880",0,1,11,11,"regulation of protein localization","BP",0
"2240","GO:0032940",0,1,9,9,"secretion by cell","BP",0
"2250","GO:0032989",0,1,17,17,"cellular component morphogenesis","BP",0
"2251","GO:0032990",0,1,12,12,"cell part morphogenesis","BP",0
"2258","GO:0033043",0,1,18,18,"regulation of organelle organization","BP",0
"2289","GO:0033365",0,1,21,21,"protein localization to organelle","BP",0
"2292","GO:0033554",0,1,26,26,"cellular response to stress","BP",0
"2309","GO:0033993",0,1,13,13,"response to lipid","BP",0
"2318","GO:0034097",0,1,14,14,"response to cytokine","BP",0
"2331","GO:0034248",0,1,12,12,"regulation of cellular amide metabolic process","BP",0
"2362","GO:0034613",0,1,27,27,"cellular protein localization","BP",0
"2365","GO:0034622",0,1,20,20,"cellular protein-containing complex assembly","BP",0
"2371","GO:0034654",0,1,15,15,"nucleobase-containing compound biosynthetic process","BP",0
"2372","GO:0034655",0,1,17,17,"nucleobase-containing compound catabolic process","BP",0
"2437","GO:0035239",0,1,13,13,"tube morphogenesis","BP",0
"2450","GO:0035295",0,1,19,19,"tube development","BP",0
"2472","GO:0035556",0,1,12,12,"intracellular signal transduction","BP",0
"2482","GO:0035690",0,1,11,11,NA,NA,0
"2485","GO:0035770",0,1,9,9,"ribonucleoprotein granule","CC",0
"2507","GO:0036094",0,1,12,12,"small molecule binding","MF",0
"2513","GO:0036211",0,1,27,27,"protein modification process","BP",0
"2519","GO:0036293",0,1,10,10,"response to decreased oxygen levels","BP",0
"2530","GO:0036477",0,1,13,13,"somatodendritic compartment","CC",0
"2545","GO:0040007",0,1,11,11,"growth","BP",0
"2546","GO:0040008",0,1,12,12,"regulation of growth","BP",0
"2549","GO:0040011",0,1,15,15,"locomotion","BP",0
"2578","GO:0042127",0,1,15,15,"regulation of cell population proliferation","BP",0
"2590","GO:0042175",0,1,12,12,"nuclear outer membrane-endoplasmic reticulum membrane network","CC",0
"2599","GO:0042254",0,1,11,11,"ribosome biogenesis","BP",0
"2609","GO:0042325",0,1,14,14,"regulation of phosphorylation","BP",0
"2611","GO:0042327",0,1,12,12,"positive regulation of phosphorylation","BP",0
"2612","GO:0042330",0,1,10,10,"taxis","BP",0
"2635","GO:0042493",0,1,20,20,NA,NA,0
"2652","GO:0042592",0,1,24,24,"homeostatic process","BP",0
"2675","GO:0042802",0,1,15,15,"identical protein binding","MF",0
"2676","GO:0042803",0,1,12,12,"protein homodimerization activity","MF",0
"2682","GO:0042886",0,1,22,22,"amide transport","BP",0
"2684","GO:0042981",0,1,19,19,"regulation of apoptotic process","BP",0
"2685","GO:0042995",0,1,24,24,"cell projection","CC",0
"2688","GO:0043005",0,1,15,15,"neuron projection","CC",0
"2689","GO:0043009",0,1,10,10,"chordate embryonic development","BP",0
"2699","GO:0043043",0,1,21,21,"peptide biosynthetic process","BP",0
"2703","GO:0043065",0,1,10,10,"positive regulation of apoptotic process","BP",0
"2704","GO:0043066",0,1,11,11,"negative regulation of apoptotic process","BP",0
"2705","GO:0043067",0,1,20,20,"regulation of programmed cell death","BP",0
"2706","GO:0043068",0,1,10,10,"positive regulation of programmed cell death","BP",0
"2707","GO:0043069",0,1,12,12,"negative regulation of programmed cell death","BP",0
"2709","GO:0043085",0,1,12,12,"positive regulation of catalytic activity","BP",0
"2722","GO:0043167",0,1,23,23,"ion binding","MF",0
"2723","GO:0043168",0,1,15,15,"anion binding","MF",0
"2724","GO:0043169",0,1,12,12,"cation binding","MF",0
"2736","GO:0043207",0,1,13,13,"response to external biotic stimulus","BP",0
"2750","GO:0043254",0,1,9,9,"regulation of protein-containing complex assembly","BP",0
"2777","GO:0043412",0,1,27,27,"macromolecule modification","BP",0
"2782","GO:0043434",0,1,9,9,"response to peptide hormone","BP",0
"2783","GO:0043436",0,1,13,13,"oxoacid metabolic process","BP",0
"2818","GO:0043603",0,1,26,26,"cellular amide metabolic process","BP",0
"2819","GO:0043604",0,1,24,24,"amide biosynthetic process","BP",0
"2848","GO:0044087",0,1,19,19,"regulation of cellular component biogenesis","BP",0
"2850","GO:0044092",0,1,13,13,"negative regulation of molecular function","BP",0
"2851","GO:0044093",0,1,18,18,"positive regulation of molecular function","BP",0
"2864","GO:0044265",0,1,20,20,"cellular macromolecule catabolic process","BP",0
"2866","GO:0044270",0,1,19,19,"cellular nitrogen compound catabolic process","BP",0
"2870","GO:0044281",0,1,22,22,"small molecule metabolic process","BP",0
"2872","GO:0044283",0,1,8,8,"small molecule biosynthetic process","BP",0
"2887","GO:0044391",0,1,19,19,"ribosomal subunit","CC",0
"2891","GO:0044421",0,1,9,9,NA,NA,0
"2895","GO:0044427",0,1,11,11,NA,NA,0
"2897","GO:0044429",0,1,10,10,NA,NA,0
"2898","GO:0044430",0,1,15,15,NA,NA,0
"2900","GO:0044432",0,1,13,13,NA,NA,0
"2901","GO:0044433",0,1,15,15,NA,NA,0
"2908","GO:0044445",0,1,21,21,NA,NA,0
"2913","GO:0044451",0,1,14,14,NA,NA,0
"2918","GO:0044459",0,1,17,17,NA,NA,0
"2919","GO:0044463",0,1,19,19,NA,NA,0
"2922","GO:0044703",0,1,25,25,"multi-organism reproductive process","BP",0
"2944","GO:0044877",0,1,20,20,"protein-containing complex binding","MF",0
"2949","GO:0045047",0,1,10,10,"protein targeting to ER","BP",0
"2971","GO:0045184",0,1,24,24,"establishment of protein localization","BP",0
"2979","GO:0045321",0,1,10,10,"leukocyte activation","BP",0
"2994","GO:0045595",0,1,20,20,"regulation of cell differentiation","BP",0
"2996","GO:0045597",0,1,11,11,"positive regulation of cell differentiation","BP",0
"3009","GO:0045664",0,1,8,8,"regulation of neuron differentiation","BP",0
"3051","GO:0045892",0,1,13,13,"negative regulation of transcription, DNA-templated","BP",0
"3052","GO:0045893",0,1,14,14,"positive regulation of transcription, DNA-templated","BP",0
"3068","GO:0045934",0,1,17,17,"negative regulation of nucleobase-containing compound metabolic process","BP",0
"3069","GO:0045935",0,1,17,17,"positive regulation of nucleobase-containing compound metabolic process","BP",0
"3071","GO:0045937",0,1,12,12,"positive regulation of phosphate metabolic process","BP",0
"3074","GO:0045944",0,1,13,13,"positive regulation of transcription by RNA polymerase II","BP",0
"3147","GO:0046677",0,1,12,12,"response to antibiotic","BP",0
"3153","GO:0046700",0,1,19,19,"heterocycle catabolic process","BP",0
"3167","GO:0046872",0,1,12,12,"metal ion binding","MF",0
"3180","GO:0046903",0,1,12,12,"secretion","BP",0
"3193","GO:0046983",0,1,18,18,"protein dimerization activity","MF",0
"3242","GO:0048471",0,1,10,10,"perinuclear region of cytoplasm","CC",0
"3244","GO:0048477",0,1,14,14,"oogenesis","BP",0
"3261","GO:0048534",0,1,9,9,"hematopoietic or lymphoid organ development","BP",0
"3263","GO:0048545",0,1,8,8,"response to steroid hormone","BP",0
"3274","GO:0048584",0,1,21,21,"positive regulation of response to stimulus","BP",0
"3275","GO:0048585",0,1,18,18,"negative regulation of response to stimulus","BP",0
"3277","GO:0048589",0,1,9,9,"developmental growth","BP",0
"3281","GO:0048598",0,1,11,11,"embryonic morphogenesis","BP",0
"3283","GO:0048608",0,1,13,13,"reproductive structure development","BP",0
"3284","GO:0048609",0,1,24,24,"multicellular organismal reproductive process","BP",0
"3292","GO:0048646",0,1,18,18,"anatomical structure formation involved in morphogenesis","BP",0
"3298","GO:0048666",0,1,13,13,"neuron development","BP",0
"3299","GO:0048667",0,1,10,10,"cell morphogenesis involved in neuron differentiation","BP",0
"3302","GO:0048699",0,1,25,25,"generation of neurons","BP",0
"3309","GO:0048729",0,1,13,13,"tissue morphogenesis","BP",0
"3312","GO:0048732",0,1,14,14,"gland development","BP",0
"3326","GO:0048812",0,1,11,11,"neuron projection morphogenesis","BP",0
"3332","GO:0048858",0,1,11,11,"cell projection morphogenesis","BP",0
"3337","GO:0048870",0,1,9,9,"cell motility","BP",0
"3341","GO:0048878",0,1,13,13,"chemical homeostasis","BP",0
"3386","GO:0050767",0,1,13,13,"regulation of neurogenesis","BP",0
"3397","GO:0050790",0,1,20,20,"regulation of catalytic activity","BP",0
"3403","GO:0050801",0,1,11,11,"ion homeostasis","BP",0
"3449","GO:0051046",0,1,11,11,"regulation of secretion","BP",0
"3452","GO:0051049",0,1,20,20,"regulation of transport","BP",0
"3453","GO:0051050",0,1,15,15,"positive regulation of transport","BP",0
"3466","GO:0051093",0,1,15,15,"negative regulation of developmental process","BP",0
"3467","GO:0051094",0,1,15,15,"positive regulation of developmental process","BP",0
"3473","GO:0051129",0,1,11,11,"negative regulation of cellular component organization","BP",0
"3474","GO:0051130",0,1,14,14,"positive regulation of cellular component organization","BP",0
"3487","GO:0051172",0,1,24,24,"negative regulation of nitrogen compound metabolic process","BP",0
"3488","GO:0051173",0,1,25,25,"positive regulation of nitrogen compound metabolic process","BP",0
"3489","GO:0051174",0,1,15,15,"regulation of phosphorus metabolic process","BP",0
"3492","GO:0051186",0,1,10,10,NA,NA,0
"3511","GO:0051240",0,1,19,19,"positive regulation of multicellular organismal process","BP",0
"3512","GO:0051241",0,1,14,14,"negative regulation of multicellular organismal process","BP",0
"3513","GO:0051246",0,1,26,26,"regulation of protein metabolic process","BP",0
"3514","GO:0051247",0,1,18,18,"positive regulation of protein metabolic process","BP",0
"3515","GO:0051248",0,1,11,11,"negative regulation of protein metabolic process","BP",0
"3519","GO:0051253",0,1,14,14,"negative regulation of RNA metabolic process","BP",0
"3520","GO:0051254",0,1,15,15,"positive regulation of RNA metabolic process","BP",0
"3526","GO:0051270",0,1,9,9,"regulation of cellular component movement","BP",0
"3528","GO:0051276",0,1,11,11,"chromosome organization","BP",0
"3544","GO:0051336",0,1,12,12,"regulation of hydrolase activity","BP",0
"3545","GO:0051338",0,1,9,9,"regulation of transferase activity","BP",0
"3551","GO:0051345",0,1,9,9,"positive regulation of hydrolase activity","BP",0
"3589","GO:0051640",0,1,9,9,"organelle localization","BP",0
"3603","GO:0051674",0,1,9,9,"localization of cell","BP",0
"3609","GO:0051707",0,1,13,13,"response to other organism","BP",0
"3611","GO:0051726",0,1,15,15,"regulation of cell cycle","BP",0
"3633","GO:0051960",0,1,15,15,"regulation of nervous system development","BP",0
"3662","GO:0055065",0,1,10,10,"metal ion homeostasis","BP",0
"3667","GO:0055080",0,1,10,10,"cation homeostasis","BP",0
"3668","GO:0055082",0,1,10,10,"cellular chemical homeostasis","BP",0
"3670","GO:0055086",0,1,12,12,"nucleobase-containing small molecule metabolic process","BP",0
"3674","GO:0055114",0,1,12,12,NA,NA,0
"3700","GO:0060249",0,1,9,9,"anatomical structure homeostasis","BP",0
"3709","GO:0060284",0,1,13,13,"regulation of cell development","BP",0
"3715","GO:0060322",0,1,9,9,"head development","BP",0
"3718","GO:0060341",0,1,10,10,"regulation of cellular localization","BP",0
"3734","GO:0060429",0,1,27,27,"epithelium development","BP",0
"3745","GO:0060541",0,1,9,9,"respiratory system development","BP",0
"3746","GO:0060548",0,1,14,14,"negative regulation of cell death","BP",0
"3749","GO:0060562",0,1,9,9,"epithelial tube morphogenesis","BP",0
"3805","GO:0061061",0,1,13,13,"muscle structure development","BP",0
"3839","GO:0061458",0,1,13,13,"reproductive system development","BP",0
"3845","GO:0061564",0,1,10,10,"axon development","BP",0
"3869","GO:0065003",0,1,25,25,"protein-containing complex assembly","BP",0
"3919","GO:0070482",0,1,10,10,"response to oxygen levels","BP",0
"3936","GO:0070647",0,1,9,9,"protein modification by small protein conjugation or removal","BP",0
"3943","GO:0070727",0,1,27,27,"cellular macromolecule localization","BP",0
"3965","GO:0070925",0,1,18,18,"organelle assembly","BP",0
"3970","GO:0070972",0,1,11,11,"protein localization to endoplasmic reticulum","BP",0
"4020","GO:0071345",0,1,12,12,"cellular response to cytokine stimulus","BP",0
"4039","GO:0071396",0,1,10,10,"cellular response to lipid","BP",0
"4042","GO:0071407",0,1,12,12,"cellular response to organic cyclic compound","BP",0
"4064","GO:0071495",0,1,17,17,"cellular response to endogenous stimulus","BP",0
"4083","GO:0071702",0,1,26,26,"organic substance transport","BP",0
"4085","GO:0071705",0,1,26,26,"nitrogen compound transport","BP",0
"4095","GO:0071826",0,1,12,12,"ribonucleoprotein complex subunit organization","BP",0
"4134","GO:0072359",0,1,13,13,"circulatory system development","BP",0
"4147","GO:0072521",0,1,12,12,"purine-containing compound metabolic process","BP",0
"4155","GO:0072594",0,1,17,17,"establishment of protein localization to organelle","BP",0
"4157","GO:0072599",0,1,10,10,"establishment of protein localization to endoplasmic reticulum","BP",0
"4160","GO:0072657",0,1,12,12,"protein localization to membrane","BP",0
"4173","GO:0080134",0,1,14,14,"regulation of response to stress","BP",0
