"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginFlat","TreatmentVariable:OriginFlat","se_(Intercept)","se_TreatmentVariable","se_OriginFlat","se_TreatmentVariable:OriginFlat","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin"
"Pocillopora_acuta_HIv2___RNAseq.g25815.t3",1.30066540098064,401.41445337474,-194.70722668737,3.96614620179526,3.16494758117858,-0.162467229720803,0.28106388714942,-0.0280736547027861,0.334524326257612,0.473743841333437,0.482747818078057,0.683607243190586,0.265398969425653,0.610489008038908,0.0016864932081032,1,1,1,0.606435017071049,0.43460374937453,0.967242533841815,0.999999999916938,0.497178345110125,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g4711.t1",0.174702860839651,307.465809178384,-147.732904589192,3.70958988479123,2.62103882413259,-0.115512887141853,0.0436609360960083,0.0701976909298099,0.143593804454547,0.204891397713766,0.206955007801434,0.294442275992738,0.306927326899955,0.283201058637519,0.0568388550908788,1,1,1,0.579571849567624,0.594610764183052,0.811563881466556,0.999999999916938,0.563562030128517,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g9673.t1",0.73719168816191,359.615072956218,-173.807536478109,3.5694751298194,2.863985002723,-0.235398972975039,-0.102106843421402,0.301372214588272,0.25726686227769,0.365559941228061,0.372755655740978,0.528004285496167,0.118859441188912,0.0331895645944999,0.325785329802191,1,1,1,0.730274824683365,0.855441441762713,0.568151441555625,0.999999999916938,0.639595344024756,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g557.t1",0.0592855049889164,338.448476140595,-163.224238070298,4.6821372431056,3.35863776814323,-0.0783533151459775,-0.239080144476867,0.227327106824447,0.0885381523703025,0.126151725808812,0.131318921100276,0.184850539231453,0.0890910620392165,1.81039106461683,1.51238027976174,1,1,1,0.765335877667874,0.178461325127068,0.218776235778821,0.999999999916938,0.33131089364581,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g4770.t1",0.0535118386815774,423.406985961148,-205.703492980574,6.30728415184019,4.45471522776854,-0.188208667348363,-0.0177042357585668,0.170457157792181,0.0764434083961158,0.105347180799421,0.109053259063039,0.15178549421168,1.95755018348467,0.72360201386346,1.26115930177241,1,1,1,0.161775564427761,0.394964919030781,0.26143176462085,0.999999999916938,0.478320557735552,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g3607.t1",1.05365862836654,447.224773637358,-217.612386818679,4.73083130406104,3.54937792366836,0.635372133262821,-0.169233951204012,-0.292839272026937,0.300330501417189,0.423403268383007,0.434833347942638,0.613299617300206,2.61988572885225,1.0649014837531,0.227988661956481,1,1,1,0.105532040336376,0.302099926339802,0.633019232382132,0.999999999916938,0.426195563562584,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g19861.t1",1.27188355927473,345.671947054542,-166.835973527271,3.1841490449777,2.50126517212988,-0.138055457318516,0.145876275885341,0.341357733246722,0.33588962529623,0.476082994074281,0.484652480126606,0.685275205641343,0.0060802867631244,0.853885170338883,0.248135815820593,1,1,1,0.937846990102907,0.355455560360342,0.618390776288402,0.999999999916938,0.457765413992966,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g8911.t1",1.29027456761447,314.008755049268,-151.004377524634,2.75916747815364,2.35335741836747,0.0835400122341726,-0.580718990579354,0.431523722280048,0.339769743145664,0.479845495973472,0.4981813602941,0.699654897668053,0.673144995695951,1.07063707445586,0.380400950496875,1,1,1,0.411957262607138,0.300801590118335,0.537388732529464,0.999999999916938,0.425450999913551,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g27786.t1",1.07788068343704,295.981019200737,-141.990509600369,2.5714917803499,2.14373590298138,-0.523935183334297,0.161119338623962,0.243032797803262,0.315580355984136,0.453771591054338,0.454587545988928,0.650359786144048,1.55702960592059,0.741059145971066,0.139644042940675,1,1,1,0.212100673604784,0.389321807015617,0.708635138457275,0.999999999916938,0.47572808937681,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g1078.t1",0.0460973205785478,472.112397332004,-230.056198666002,7.10086440222305,4.87577780642582,0.070926464692604,0.0624099152910053,-0.0459703800580004,0.0866864859298649,0.0947264159633748,0.124882169369056,0.136764715866449,0.511652749123485,0.142195327127178,0.112981686551263,1,1,1,0.474424267603929,0.706108240837927,0.736774732539364,0.999999999916938,0.603076023426167,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g7072.t1",0.401752193807563,377.550576546931,-182.775288273466,4.42615146416278,3.09956266517436,-0.251934813210301,0.455719679741097,-0.122538711049123,0.142188700248421,0.151545551682083,0.156834033923757,0.175584064447116,3.93015989107693,7.96676632448801,0.487053220960544,1,1,1,0.0474274348264238,0.00476439760022533,0.485244747990227,0.999999999916938,0.0396442949900341,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g12205.t1",0.322558391513075,361.881858083,-174.9409290415,4.10368844272829,2.85149526125886,-0.0512208795879054,0.264015248044768,-0.0530108745731083,0.197566546811872,0.253897377529188,0.277736147531878,0.363362901550244,0.179128982846244,1.27753594086247,0.021283780375656,1,1,1,0.672122849849694,0.258357688570391,0.884008528250593,0.999999999916938,0.397242545231855,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g25817.t1",0.146553270424595,287.033315810926,-137.516657905463,3.34575144814947,2.11658312023682,0.227433993648952,0.12839209707058,0.131286437626385,0.156580667409093,0.206592520044027,0.218096643069591,0.292554615650044,3.99144507479593,1.65644602035386,0.201384397296044,1,1,1,0.0457318268366748,0.198083859019381,0.653605713330787,0.999999999916938,0.349619684598386,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g13155.t1",0.0174222038658612,353.074081494045,-170.537040747022,5.47400396822125,3.84837297835276,-0.116673527055886,-0.0999389934795126,0.224173080959741,0.0568159099541996,0.081706221842906,0.0833859326520074,0.117932162738355,0.0236938962160811,0.0423519055137642,3.61328647282007,1,1,1,0.877666334712476,0.836950433074115,0.0573197414700577,0.999999999916938,0.635726864979705,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g27623.t1",1.50915713036467,367.197423056353,-177.598711528176,3.38803074103796,2.95045156902086,-0.375139424372524,0.145228872553481,0.0477772359145064,0.360723750526632,0.512081117042699,0.520988206757385,0.739211597524696,0.90955488748424,0.208982204278724,0.00417738494666474,1,1,1,0.340232547746869,0.647566313993488,0.948466454227107,0.999999999916938,0.582741948621774,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g22283.t1",0.233337648561013,392.823260833765,-190.411630416882,4.96506471507235,3.60755304284213,0.203876218293644,-0.401934501958539,-0.0101464705584596,0.153657285033248,0.208507272623164,0.224792639228729,0.30573735416178,1.7237992168445,6.26063650154043,0.00110136936763131,1,1,1,0.189204736002232,0.0123449842790478,0.973525556236566,0.999999999916938,0.0702022044127984,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g4791.t1",2.91666989097182,271.33479618825,-129.667398094125,2.06469978576517,0.61743544838106,1.86833888042016,0.763160891624324,-1.11020684977093,0.536654537662044,0.733477805828133,0.758949388968382,1.04969184581281,6.38907402849656,0.121547937937455,1.11862406467362,1,1,1,0.0114824911322825,0.727361652536098,0.290214921397763,0.999999999916938,0.608403374492231,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g10956.t1",1.81313288671216,287.938922645943,-137.969461322971,2.28416662295081,2.16308353338302,-0.270662069277355,-0.396253447197488,0.457826250549233,0.400843265828761,0.569497957741244,0.583985829156855,0.826077381393334,0.0165492888754846,0.164356134317023,0.307156647413814,1,1,1,0.897639317403176,0.685177189262753,0.579430243853989,0.999999999916938,0.595982728249687,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g24699.t1",0.0413744675094247,427.239092945583,-207.619546472791,6.45199893231044,4.3599093296571,0.166473599933817,0.18995222323566,-0.218274249626825,0.0776773821956603,0.0943588379610326,0.110962673126501,0.135790240332956,0.809884677514054,0.838307031384565,2.58385354505878,1,1,1,0.368154348015206,0.359881409968194,0.107958550202936,0.999999999916938,0.461021223613845,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g16435.t1",0.0799541204106669,400.223564319045,-194.111782159522,5.58948607321317,4.08317126162398,-0.220688701755978,-0.258490266350983,0.261510696276238,0.0898183567147276,0.128380310455006,0.131605573706458,0.186835545160495,1.08636423039272,1.89920481699697,1.95911489656925,1,1,1,0.297278184101419,0.168167352317373,0.161608010318616,0.999999999916938,0.32008847398237,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g21252.t1",0.112168481654747,331.947559196418,-159.973779598209,4.41069915700121,3.3557350075854,-0.415691639891998,-0.382992252256107,0.474399240718783,0.110699344738742,0.161266854911521,0.164628806707697,0.235453592579124,2.70190860555066,1.64745228256484,4.05954470011352,1,1,1,0.100228196261497,0.199306044051375,0.0439223404188624,0.999999999916938,0.350757503920206,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g29686.t2",0.269917294387243,374.394616166111,-181.197308083055,4.42786572016241,3.02549332075043,0.146028807734306,0.329184045276838,-0.235640966423997,0.162903623968689,0.229184830612763,0.2329164761312,0.329011145743238,0.0371370573009115,1.6465473847297,0.512956301436424,1,1,1,0.847186267772022,0.199429502660508,0.473861888667982,0.999999999916938,0.350873105102322,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g15844.t1",0.101964546633426,372.79153546626,-180.39576773313,4.99230639926347,3.47899397897423,0.0952225668195595,0.0311936863963268,-0.100672171587125,0.105199438776255,0.147987956813199,0.151834895843652,0.214217494075539,0.194407504739593,0.0327465060554193,0.22085589940419,1,1,1,0.659273329144525,0.856399006691737,0.638388538436894,0.999999999916938,0.639996142324909,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g16192.t1b",1.89776657850278,328.359678528482,-158.179839264241,2.80627833095933,2.83075935509506,-0.28932141708161,-0.641139377144056,0.14003589756469,0.403807810688033,0.572512058339461,0.588016072988437,0.833554655094966,0.287877502179622,1.88001703481113,0.0282234822330094,1,1,1,0.591583898174067,0.170332211632961,0.866584491374148,0.999999999916938,0.32276553947066,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g16054.t1",0.0902542021049207,488.533709108534,-238.266854554267,6.99324105822537,5.09792105882842,-0.358629832650119,-0.344600654432444,0.550828726397732,0.0954958956310027,0.128062928264676,0.139033694662955,0.185420535776495,1.07133462872349,0.458223633282547,8.82505659199063,1,1,1,0.300644179295757,0.498455332693647,0.0029712217843472,0.999999999916938,0.527223139173114,0.582036510842449
"Pocillopora_acuta_HIv2___RNAseq.g11543.t1",0.0268501115236652,393.524901710314,-190.762450855157,6.22641007558772,4.30314225174392,-0.094779956456247,0.0451211372091016,0.182015593225762,0.0603618527254711,0.0827369619743862,0.0867948506609028,0.118310778144406,0.00969111687798858,4.57144619161707,2.36683819644652,1,1,1,0.921580157849998,0.0325091102819493,0.123937847187696,0.999999999916938,0.126439358941461,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g17580.t1",2.82682809143691,279.51869154531,-133.759345772655,2.13409515521162,1.50407739997841,-0.185103202800268,0.944180982653847,-0.113774245061173,0.504070336626206,0.715500068569262,0.72036862774026,1.02194273140271,0.222309310023287,3.01791345203721,0.0123946653860613,1,1,1,0.63728594553672,0.082349355405724,0.911353610846131,0.999999999916938,0.218975519604998,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g16844.t1",0.14112644682649,262.350217473682,-125.175108736841,3.15668626184026,2.27726729103168,-0.319522681174895,-0.0699923776570779,0.309472346300913,0.142504583515763,0.209362869549686,0.207695115043308,0.2993212804539,1.26241544585704,0.27910568393011,1.0689773576202,1,1,1,0.261194374402603,0.597287983058801,0.30117655076268,0.999999999916938,0.563724210459553,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g9838.t1",0.0509231498550458,376.720585252723,-182.360292626362,5.40738471379068,3.92196485391304,-0.171770174452231,-0.309494480833285,0.306350566150376,0.0828264716700044,0.110081335212657,0.122365467175997,0.16135537608203,0.132669243461154,2.88967950517241,3.60471135581052,1,1,1,0.715680372274065,0.0891486581605504,0.0576160698056555,0.999999999916938,0.229713590075585,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g17400.t1",0.0334115177173203,355.027301269787,-171.513650634893,5.50549960398817,3.82346874719344,-0.138763350915878,0.0749329077640852,0.101664185229507,0.071214649379748,0.0973913279545533,0.10201390707111,0.139030435184216,1.63582273645988,2.70348796221727,0.534707412334257,1,1,1,0.20089957014657,0.100128974244854,0.4646344614296,0.999999999916938,0.244029983306477,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g4465.t1",0.00825443026801818,458.296125651859,-223.14806282593,6.97511098610016,4.85788139441537,-0.00117640427761248,-0.0771400759848197,0.0803735247020786,0.0532093157107229,0.0517130171494469,0.0772879334879656,0.0751524151448686,0.964900873776121,0.294647538323877,1.14377380182832,1,1,1,0.325955187194544,0.587257556022741,0.284856314177029,0.999999999916938,0.560493593330008,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g30595.t1",3.93744089976488,250.453740002697,-119.226870001349,1.68852334409158,1.774245903688,-0.272485891568702,0.111445385374265,-0.518388068185557,0.585023381303778,0.830019097018583,0.84498121422909,1.20375979593105,0.745205509379005,0.0572387778597818,0.185451489078513,1,1,1,0.387998453343584,0.810914625700452,0.666729578147384,0.999999999916938,0.631774581346071,0.999427929836143
"Pocillopora_acuta_HIv2___TS.g27171.t2",0.228227964027411,377.399303209135,-182.699651604567,4.62371200043374,3.35573500758577,-0.245930277770609,-0.0594773547029559,0.418245409022721,0.148074206593694,0.211334865805181,0.214568180646976,0.303902537870251,0.0826955382718892,0.961750974808785,1.89405990778167,1,1,1,0.773677198443289,0.326746114888725,0.168744714141727,0.999999999916938,0.441607388838901,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g13157.t1",0.0409244311619094,489.622926948844,-238.811463474422,7.42746211962777,5.29012133356437,-0.109267406333359,-0.274835987455091,0.243073736240083,0.072794705386715,0.088213164709955,0.105839824254387,0.128071236221051,0.00875556413326491,3.3094652255661,3.6022418691817,1,1,1,0.925449810933957,0.0688819043061411,0.0577017086771973,0.999999999916938,0.198174774577687,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g21584.t1",1.55618155985264,290.85782804799,-139.428914023995,2.41130237398514,1.77424588815581,-0.205196036626794,0.556352241065906,0.0345191242249882,0.379229608724184,0.539304319050685,0.542332540888979,0.770138472892175,0.239131590871707,2.21804691492793,0.00200900907583125,1,1,1,0.624834030259737,0.136405522465354,0.964249212439997,0.999999999916938,0.289261344705679,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g27079.t1",0.0279643288754678,477.463718941789,-232.731859470894,7.34521609142954,5.01851211070776,0.100674763968353,0.0927281513465442,-0.0612897091226104,0.0707737850101873,0.0758119766339501,0.101869624973823,0.109318581765251,1.69897156750826,0.520895813521283,0.314330948395563,1,1,1,0.192422528583497,0.470459803430087,0.575034622936204,0.999999999916938,0.515290853067487,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g26609.t2",0.0163205846236444,627.893801420118,-307.946900710059,10.037291662608,6.86855452147846,0.086292838250477,0.121956063284103,-0.0194318689139787,0.0481841664927289,0.0539224966498637,0.0695438474537073,0.0778044309031027,3.91891041052858,3.7959418493961,0.0623764254351755,1,1,1,0.0477458160291696,0.0513769608748178,0.802778578488346,0.999999999916938,0.166949367803233,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g5811.t1",0.451092095548896,375.113537162765,-181.556768581383,4.06554314985812,3.18884607841662,-0.160323982039641,-0.220181394570711,0.113720567665402,0.202548602493646,0.287487681750113,0.294456123740466,0.417407598811645,0.260488135035162,0.614407229767604,0.0742262185074547,1,1,1,0.609784997714292,0.433133219491048,0.785279959774565,0.999999999916938,0.49644217060387,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g7709.t1",0.832856342457927,340.445183663105,-164.222591831552,3.24642075846097,2.52739392362732,0.00745962851892149,0.100234710165418,-0.15587963361703,0.275790003206422,0.389962598390978,0.397922303440476,0.563636226237281,0.056890059985136,0.00639734027341602,0.0764858250469499,1,1,1,0.811480618258365,0.936250478446815,0.782117438940726,0.999999999916938,0.659175635603308,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g18059.t1",0.37505027435057,375.614915886779,-181.807457943389,4.23342573235306,3.43129541281944,-0.4824800590532,-0.646003626259821,0.927363653932905,0.184253990081926,0.263762109011813,0.271394735995039,0.383362695861901,0.0516230626745502,0.894017655647254,5.85167827283955,1,1,1,0.820262713247719,0.344390878637332,0.0155622031439787,0.999999999916938,0.452006565905689,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g10514.t1",0.0344704128412606,438.888888652744,-213.444444326372,6.52655058141206,4.60982026139763,-0.0352718762270263,-0.11482122185673,-0.0146010136141304,0.0763953818605003,0.0866011811823355,0.110885561763653,0.126138800460625,0.448835054866308,1.77915621169571,0.0133988837284021,1,1,1,0.502888687968169,0.182252972921642,0.907847866777427,0.999999999916938,0.335041260688241,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.30394_t",0.298897668779088,322.595557360338,-155.297778680169,3.43460407635386,2.65236129529514,-0.253519500892733,-0.304238073487816,0.537938927679475,0.175447630247385,0.25151258244897,0.258148438453217,0.364452692067322,0.000216001610623095,0.0355258040634198,2.17863070802906,1,1,1,0.988273918138332,0.850498118126874,0.139938917217047,0.999999999916938,0.638481010090746,0.999427929836143
"Pocillopora_acuta_HIv2___RNAseq.g7587.t1",0.0849057652953454,341.186912613734,-164.593456306867,4.78069389491412,3.2188758248682,-0.0236098656391339,0.272106860666311,-0.0422221972107317,0.10202359170455,0.144558880456145,0.144560030163559,0.205093513761154,0.189047977870075,5.99752800585703,0.0423816449067002,1,1,1,0.663710161117029,0.0143259375427385,0.83689400052877,0.999999999916938,0.0773042683524703,0.999427929836143
