,Gene,Dispersion,AIC,logLik,meanExp,X.Intercept.,TreatmentVariable,OriginFlat,TreatmentVariable.OriginFlat,se_.Intercept.,se_TreatmentVariable,se_OriginFlat,se_TreatmentVariable.OriginFlat,Chisq_Treatment,Chisq_Origin,Chisq_Treatment.Origin,Df_Treatment,Df_Origin,Df_Treatment.Origin,P_Treatment,P_Origin,P_Treatment.Origin,Treatment,Origin,Treatment.Origin,Stable_OriginFC,Variable_OriginFC,maxGroupFC,col,RF13B,RF13D,RF14B,RF14C,RF15B,RF15D,RF17B,RF17D,RF18B,RF18D,RF19B,RF19C,RF20B,RF20C,RF22B,RF22C,RF23A,RF23C,RF24B,RF24D,RF25A,RF25C,RS11B,RS11D,RS12A,RS12C,RS13A,RS13C,RS14B,RS14C,RS15B,RS15D,RS1B,RS1C,RS2B,RS2C,RS3B,RS3D,RS6A,RS6D,RS7B,RS7C,RS8B,RS8C,RS9A,RS9C,y_Stable_Slope,y_Variable_Slope,y_Stable_Flat,y_Variable_Flat,xall_1,xall_2,xall_3,yall
1790,Pocillopora_acuta_HIv2___RNAseq.g29355.t1,2.463149103,283.2014913,-135.6007457,2.300062151,0.391478946,0.446850303,2.317328554,-0.229933519,0.51146803,0.709151579,0.701126275,0.980648129,0.444635499,20.13780306,0.054976636,1,1,1,0.504893541,7.21E-06,0.814619367,1,0.000423326,0.99942793,-2.691168959,-2.568370031,Stable,q_Origin < 0.05,3.081966309,0,25.42239669,16.00610992,5.041931848,17.74278567,36.00117882,39.71494158,28.17985689,20.06697767,29.59430556,16.13542348,31.22502335,28.29223152,6.188509736,4.042542333,24.4754316,5.877064358,15.64069165,17.30084527,0,2.727757409,0,0,3.061458516,0,2.935996465,0.953159953,3.64566868,1.75886874,0,0,0,0,0,2.307442191,1.944630171,2.87828996,4.630834343,0,12.09481162,0.9100454,0,0,0,6.221429185,1.479166784,2.312500134,15.01136377,18.6477274,0.794586426,8.06388165,8.06388165,10.14852682
2177,Pocillopora_acuta_HIv2___RNAseq.10171_t,2.011167191,410.4301507,-199.2150754,3.869344574,2.461190153,0.4446858,2.29416147,-1.742860525,0.417973528,0.588946599,0.598585687,0.846262048,0.891950634,11.29696187,4.241461583,1,1,1,0.344949251,0.00077634,0.039448193,1,0.011876625,0.99942793,-3.203999203,-0.763295134,Stable,q_Origin < 0.05,20.54644206,0,17.88983471,14.93903593,33.2767502,40.80840704,21.37569993,26.86598989,55.18555308,41.24878743,10.90316521,0,31.22502335,24.641621,30.94254868,599.3069009,31.32855245,31.34434324,58.65259369,386.6738919,29.03420803,53.6458957,0,9.760208534,9.184375547,0,0,0,7.29133736,0,0,0,52.31331439,17.27920612,46.61891333,10.38348986,21.39093188,24.94517965,52.48278923,21.29127274,16.49292493,24.57122579,6.296640498,0,26.47511486,24.10803809,11.71875035,18.28125015,116.2045061,31.7272806,0.175019038,1.735509352,1.735509352,9.916117558
1813,Pocillopora_acuta_HIv2___RNAseq.g5784.t1,3.724341618,264.7385605,-126.3692803,1.936442217,0.239672833,1.432348503,2.161316801,-1.662986448,0.61313617,0.837827318,0.850146804,1.182251616,1.020584787,4.852539644,1.978598097,1,1,1,0.312380336,0.027605458,0.159538172,1,0.114442886,0.99942793,-2.405833421,-0.626492742,Stable,Not Significant,9.245898926,10.79204988,0,0,11.09225007,12.41994997,0,17.52129776,9.393285631,17.83731348,12.46076024,0,0,13.68978945,10.82989204,26.27652516,15.66427622,18.6107038,12.70806197,0,6.876522954,4.546262348,16.56728418,7.591273304,0,0,0,0,0,0,11.1815244,0,0,0,9.675623521,0,0,0,0,0,8.79622663,0,12.593281,0,0,5.443750537,1.270833307,5.32291633,11.03409069,8.761364772,0.189571987,1.645970785,1.645970785,8.68256334
1370,Pocillopora_acuta_HIv2___RNAseq.g11073.t1,3.183873051,271.0744394,-129.5372197,2.066992937,0.239672858,1.184940368,2.066315528,-0.870716718,0.575234968,0.785027349,0.793346016,1.100377134,1.81829167,8.616081374,0.62613885,1,1,1,0.177516759,0.003332079,0.428775156,1,0.031086067,0.99942793,-2.280674039,-1.515208931,Stable,q_Origin < 0.05,8.218576823,0,9.415702479,12.80488794,14.11740917,9.758532119,0,0,10.56744633,0,6.230380119,8.06771174,8.095376423,22.81631574,15.47127434,17.18080492,33.28658697,13.71315017,15.64069165,11.24554943,19.10145265,10.00177716,8.770915154,9.760208534,0,0,4.893327442,0,0,0,0,0,12.50970562,0,0,0,8.750835769,4.797149933,0,0,0,0,13.49280107,0,0,0,1.270833339,4.15625,10.03409091,13.73863636,0.418651387,3.305536568,3.305536568,7.895678058
2428,Pocillopora_acuta_HIv2___TS.g11407.t1,8.602088016,258.5138105,-123.2569052,1.63423988,0.523248144,0.943088925,1.989671542,-0.858382228,0.875338376,1.22567269,1.247238127,1.755115751,0.357400036,3.144965006,0.239193794,1,1,1,0.549953746,0.076161635,0.624789007,1,0.210254372,0.99942793,-2.31152032,-1.436143664,Stable,Not Significant,0,0,24.48082645,23.47562789,0,0,27.00088412,23.36173034,23.48321408,36.78945906,35.04588817,38.0334982,37.00743508,24.641621,0,0,0,0,0,0,0,0,0,0,0,7.879738311,0,0,10.2078723,0,0,0,0,0,0,0,0,0,15.43611448,0,17.59245326,0,9.894720783,9.345051495,0,0,1.6875,4.333333333,12.34090909,13.43181818,0.423847216,3.09965035,3.09965035,7.313131313
1377,Pocillopora_acuta_HIv2___RNAseq.g29335.t1,2.417158556,296.1717703,-142.0858852,2.397823197,0.909053693,0.313768889,1.940725844,-0.681730883,0.738308598,0.728384948,0.848499096,0.995922097,0.011352325,6.438469543,0.468570778,1,1,1,0.915148136,0.011167482,0.493645413,1,0.065844148,0.99942793,-2.392602629,-1.559884993,Stable,Not Significant,34.9289515,33.35724508,4.70785124,11.73781394,20.16772739,37.25984991,14.6254789,14.0170382,0,0,2.336392545,18.44048398,11.56482346,10.95183156,15.47127434,9.095720249,7.832138111,29.38532179,12.70806197,12.11059169,8.404639166,15.45729198,0,0,6.122917031,0,0,0,1.458267472,0,15.48211071,36.81033315,4.54898386,0,5.27761283,0,0,0,0,0,0,0,6.296640498,6.541536047,4.604367803,3.110714593,2.481972713,3.396761855,17.28397094,11.96298791,0.505740856,3.521880079,3.521880079,6.963803772
2008,Pocillopora_acuta_HIv2___RNAseq.g28577.t1,4.135410598,372.6690744,-180.3345372,3.181380998,2.277267295,0.143100904,1.854621167,-0.372098844,0.594264306,0.839738389,0.854711043,1.208423202,0.003668912,7.625047678,0.094815324,1,1,1,0.951700436,0.005756315,0.758142469,1,0.044936206,0.99942793,-2.557765225,-2.044799517,Stable,q_Origin < 0.05,13.35518734,65.73339471,17.88983471,49.08540377,150.2495691,79.84253552,24.75081044,0,17.61241056,15.6076493,24.92152048,0,16.19075285,5.475915778,140.0150328,208.1909302,17.62231075,81.29939028,74.29328534,139.2718045,4.584348636,10.91102963,0,29.2806256,0,0,50.8906054,0,0,0,0,0,0,0,26.38806415,25.3818641,0,0,0,0,0,0,29.68416235,28.96965963,21.87074706,27.99643133,9.7500001,11.25000079,62.29545455,49.54545455,0.689286107,4.404040094,4.404040094,6.389277324
2377,Pocillopora_acuta_HIv2___TS.g28049.t1,7.349286534,248.4932934,-118.2466467,1.553127733,0.529402011,0.649252985,1.814368646,-0.750140302,0.813345463,1.140008569,1.156891306,1.629196754,0.119859744,3.108345781,0.212001008,1,1,1,0.729186658,0.077892034,0.645203535,1,0.212921103,0.99942793,-2.081702379,-1.293883464,Stable,Not Significant,0,0,16.94826446,23.47562789,0,0,20.25066309,23.36173034,29.3540176,26.75597022,10.12436769,18.44048398,26.59909396,23.72896837,4.641382302,6.0638135,0,0,0,0,0,0,0,0,4.081944687,0,0,0,5.103936152,0,0,0,0,0,18.4716449,21.92070082,5.833890513,0,0,0,0,0,0,0,0,0,1.69791667,3.25,10.42045455,9.420454545,0.472300283,2.898601399,2.898601399,6.13720021
2391,Pocillopora_acuta_HIv2___RNAseq.g11459.t1,3.743889801,285.0769239,-136.538462,2.144195402,1.015381635,0.18859117,1.792102464,-0.274480842,0.584964482,0.824121109,0.82947442,1.171048218,0.008086784,7.983494593,0.054938212,1,1,1,0.928345586,0.004720573,0.814682984,1,0.039556839,0.99942793,-2.224000459,-1.90284943,Stable,q_Origin < 0.05,24.65573047,23.54629064,16.00669422,2.13414799,31.25997746,31.93701421,6.750221029,0,0,12.26315302,4.672785089,9.220241989,5.782411731,5.475915778,0,0,17.62231075,19.59021453,22.48349425,50.1724513,28.27014992,15.45729198,9.745461282,4.337870459,9.184375547,15.75947662,0,0,4.374802416,0,0,0,0,0,0,0,0,0,0,0,15.3933966,9.100453996,0,0,0,0,2.760416667,3.333333333,16.56818182,15.20454545,0.759966564,4.561363636,4.561363636,6.002058319
1401,Pocillopora_acuta_HIv2___RNAseq.g11139.t1,4.169873423,287.9547478,-137.9773739,2.158925919,1.074006478,0.335454943,1.786894858,-0.622703646,0.613151118,0.862437832,0.871908902,1.230476942,0.002307526,5.741818889,0.256103703,1,1,1,0.961686983,0.016565629,0.612809689,1,0.084728526,0.99942793,-2.234221711,-1.470289685,Stable,Not Significant,0,8.829858991,18.83140496,11.73781394,18.15095465,20.40420352,11.25036838,30.37024944,24.65737478,17.83731348,18.69114036,80.6771174,25.44261161,10.03917893,2.320691151,0,15.66427622,12.73363944,9.775432281,11.24554943,0,0,25.33819933,10.84467615,0,0,0,0,0,0,0,0,0,0,6.157214968,13.84465315,0,0,0,0,0,0,0,0,17.26637926,9.332143778,2.927083333,4.093750001,17.47727273,13.11363636,0.536491991,3.203331019,3.203331019,5.970883209
721,Pocillopora_acuta_HIv2___RNAseq.g23320.t1,2.385929516,374.5194753,-181.2597377,3.426512315,1.914046045,0.375442947,1.756382713,-0.376156105,0.60470227,0.648723932,0.752480082,0.92846916,0.170806651,7.334883663,0.164135024,1,1,1,0.679395904,0.006762906,0.685377686,1,0.04907263,0.99942793,-2.371731556,-1.888319274,Stable,q_Origin < 0.05,22.60108626,27.47067242,39.54595041,73.62810565,19.15934102,27.50131779,52.8767314,58.40432585,62.2305173,86.95690323,74.76456143,0,80.95376423,64.79833671,15.47127434,23.24461842,24.4754316,15.67217162,23.46103747,32.87160602,12.9889878,28.18682656,0,0,11.22534789,5.253158874,56.76259833,45.75167773,0,0,0,0,17.05868948,12.47942664,0,0,18.47398662,6.716009907,9.261668687,8.516509097,19.79150992,0,0,0,0,4.666071889,6.780467451,9.869892796,39.26873902,39.24074418,0.686495159,3.975802473,3.975802473,5.791450119
225,Pocillopora_acuta_HIv2___RNAseq.g28941.t1,2.27205911,298.3354664,-143.1677332,2.515271811,1.095134217,0.027493025,1.711663774,-0.044102404,0.46605826,0.658530987,0.655171983,0.926192438,0.000125997,13.31121388,0.002267368,1,1,1,0.991044076,0.000263824,0.962021571,1,0.00562212,0.99942793,-2.137721214,-2.085310438,Stable,q_Origin < 0.05,23.62840837,29.4328633,24.48082645,13.87196193,24.20127287,19.51706424,19.12562625,28.03407641,29.3540176,21.18180976,0,12.67783273,9.251858769,20.07835785,10.05632832,12.127627,11.74820717,12.73363944,19.55086456,0,8.404639166,14.54803951,8.770915154,4.337870459,7.143403203,0,8.807989396,0,0,0,0,0,3.411737895,0,0,11.53721096,0,7.675439893,0,8.516509097,0,0,7.196160569,4.672525748,0,0,2.98958391,3.072916905,16.55681818,16.28409091,0.956855967,5.299229172,5.299229172,5.538168079
682,Pocillopora_acuta_HIv2___TS.g12676.t1,8.720420328,262.3188462,-125.1594231,1.669806478,0.924589535,0.544148496,1.69892556,-0.647404421,0.871633002,1.227032373,1.248649285,1.762123339,0.068345645,2.431491359,0.134982888,1,1,1,0.793760924,0.118919712,0.713320542,1,0.267399584,0.99942793,-2.070056692,-1.329730187,Stable,Not Significant,0,20.60300431,18.83140496,37.34758982,0,0,21.37569993,15.18512472,42.26978534,21.18180976,18.69114036,33.42337721,42.78984681,31.03018941,0,0,0,0,0,0,0,0,11.69455354,14.09807899,0,0,0,0,0,0,0,0,13.64695158,0,0,0,0,15.35087979,0,0,0,0,0,0,31.07948267,0,2.520833334,4.34375,13.78409091,12.43181818,0.523402548,2.862001308,2.862001308,5.46806912
2503,Pocillopora_acuta_HIv2___RNAseq.g12741.t1,1.912506901,330.3488806,-159.1744403,2.854744778,1.613595923,0.248544343,1.683502773,-0.705103655,0.41949232,0.59016492,0.594308861,0.839462754,0.056715222,10.04215061,0.705509829,1,1,1,0.811765081,0.001529985,0.400938482,1,0.019119754,0.99942793,-2.2191472,-1.285091327,Stable,q_Origin < 0.05,5.136610515,0,49.90322314,46.95125578,0,47.01838203,0,44.38728765,37.57314252,35.67462697,27.25791302,48.40627044,37.00743508,46.54528412,2.320691151,0,0,25.46727888,24.4385807,0,2.292174318,10.00177716,5.847276769,7.591273304,6.122917031,7.879738311,0,4.765799763,11.66613978,10.55321244,4.300586309,0,2.27449193,2.879867686,4.398010691,2.307442191,4.861575427,4.797149933,0,9.581072734,8.79622663,3.640181598,8.09568064,3.738020598,17.26637926,0,5.020833333,6.4375,27.03409091,17.125,0.49405736,2.660194175,2.660194175,5.384383252
730,Pocillopora_acuta_HIv2___RNAseq.g4376.t1,5.077703014,252.8674751,-120.4337376,1.704789895,0.656007634,0.32872026,1.660121684,-0.374599866,0.682915749,0.959495338,0.967958805,1.364622118,0.04425374,4.652146115,0.075354713,1,1,1,0.833382237,0.031014749,0.783694157,1,0.122848451,0.99942793,-1.927742501,-1.538523455,Stable,Not Significant,0,5.886572661,13.18198347,0,0,0,10.12533154,18.68938427,10.56744633,21.18180976,16.35474781,17.28795373,10.40834112,18.25305259,8.509200887,14.14889817,0,0,0,0,25.2139175,19.09430186,0,0,0,2.626579437,8.807989396,11.43791943,0,0,12.90175893,0,0,0,6.157214968,0,0,6.716009907,0,0,0,0,0,0,0,0,1.927083333,2.677083334,10.13636364,9.681818182,0.687564342,3.61655465,3.61655465,5.25995086
2,Pocillopora_acuta_HIv2___RNAseq.g3340.t1,6.161339851,257.2381322,-122.6190661,1.689747009,0.571450396,1.054516867,1.611788018,-0.819409223,0.748666039,1.044195071,1.063419853,1.492960503,0.767180743,2.567805552,0.301234742,1,1,1,0.381090628,0.109058925,0.583109382,1,0.254115359,0.99942793,-1.833460777,-1.007168859,Stable,Not Significant,9.245898926,14.71643165,29.18867769,19.20733191,16.13418191,16.85564639,22.50073676,17.52129776,31.702339,20.06697767,9.345570178,0,0,0,0,12.127627,7.832138111,0,0,0,0,0,33.13456836,15.18254661,2.040972344,0,0,0,0,0,3.440469047,0,0,5.759735373,0,0,0,0,0,0,0,0,0,0,23.02183901,0,1.770833599,5.083333578,8.875000695,11.22727469,0.440691928,2.208644094,2.208644094,5.011764347
60,Pocillopora_acuta_HIv2___RNAseq.26390_t,3.784475549,275.5099909,-131.7549955,2.012010101,0.777986232,1.052927288,1.56360097,-0.914353946,0.594680338,0.826052774,0.840489876,1.177619104,1.04912276,3.477533143,0.602863516,1,1,1,0.30570921,0.062207409,0.437487546,1,0.187357686,0.99942793,-1.842971106,-0.838213588,Stable,Not Significant,28.76501888,15.6975271,14.12355372,12.80488794,0,0,7.875257868,14.0170382,15.26408915,15.6076493,24.14272296,18.44048398,20.81668223,14.60244208,9.282764604,25.26588958,0,0,0,2.595126791,5.348406742,0,2.923638385,2.16893523,15.30729258,13.13289718,6.850658419,0,24.06141329,7.035474958,13.76187619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.177083707,6.239584039,10.39772677,11.94318166,0.400775465,1.914099015,1.914099015,4.775988508
1619,Pocillopora_acuta_HIv2___RNAseq.g19641.t1,4.721168028,282.0569625,-135.0284812,2.073208308,1.102078505,0.222451299,1.519786424,-0.140061098,0.648930896,0.91471406,0.925695602,1.30682018,0.055448205,4.921225621,0.011486915,1,1,1,0.813840526,0.026528691,0.914648542,1,0.111966084,0.99942793,-1.880001953,-1.743779779,Stable,Not Significant,17.46447575,16.67862254,11.29884298,0,29.24320472,0,13.50044206,23.36173034,27.00569619,35.67462697,19.46993787,18.44048398,21.97316458,23.72896837,0,0,0,11.75412872,26.39366716,11.24554943,0,13.63878704,0,16.26701422,0,0,0,0,0,0,15.48211071,0,0,0,16.71244063,13.84465315,0,0,0,0,0,0,6.296640498,7.476041196,0,0,3.010416691,3.760416806,13.76136364,14.94318182,0.869305121,3.973809977,3.973809977,4.571248784
1329,Pocillopora_acuta_HIv2___RNAseq.g2726.t1,1.671210818,407.8824982,-197.9412491,4.034541602,2.509768632,0.050361383,1.512534521,-0.10580897,0.382151277,0.540138491,0.547352024,0.773922124,9.27E-06,14.22793516,0.018691771,1,1,1,0.9975705,0.000161948,0.891253818,1,0.004098237,0.99942793,-2.09498886,-1.949122037,Stable,q_Origin < 0.05,18.49179785,17.65971798,84.74132232,77.89640163,7.058704587,11.53281069,84.37776287,102.7916135,75.14628505,139.3540116,52.95823101,56.47398218,105.2398935,122.2954524,78.12993541,84.89338899,21.53837981,13.71315017,31.2813833,0,9.932755378,14.54803951,12.66909967,24.94275514,16.32777875,0,11.74398586,0,18.95747714,14.95038429,9.461289879,18.40516658,0,31.67854455,16.71244063,16.15209534,12.64009611,0,0,0,9.895754959,23.66118039,17.09088135,0,19.56856316,15.55357296,12.30208343,12.93749928,55.82954185,52.81818615,0.899596481,4.082565339,4.082565339,4.538218439
942,Pocillopora_acuta_HIv2___RNAseq.g1873.t1,1.202968538,393.1544494,-190.5772247,4.023399563,2.186753278,0.718552703,1.506661331,-0.734516554,0.331064777,0.463045442,0.470346082,0.661580265,1.17657212,11.7827012,1.232645212,1,1,1,0.27805495,0.000597837,0.266893224,1,0.009947666,0.99942793,-2.05559659,-1.073121227,Stable,q_Origin < 0.05,38.01091781,21.58409976,28.24710744,41.6158858,41.34384115,48.79266059,49.50162088,51.39580675,41.09562463,37.90429115,56.07342107,41.49108895,42.78984681,31.94284204,22.43334779,36.382881,33.28658697,42.11896123,45.94453172,47.57732451,22.15768507,39.09785619,18.51637644,21.6893523,34.69652984,22.76368845,17.61597879,20.96951896,13.12440725,19.34755614,14.62199345,0,0,0,23.74925773,0,20.41861679,15.35087979,0,0,10.99528329,0,29.68416235,0,25.32402291,0,8.906250008,18.27083333,40.18181818,39.54545455,0.47973733,2.164403441,2.164403441,4.511642739
