"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm"
"16","GO:0009650",0.0149710889821524,0.99786594399696,4,12,"UV protection","BP",1,"response to UV-C"
"17","GO:0042537",0.015374986979115,0.998666003108307,3,7,"benzene-containing compound metabolic process","BP",1,"benzene-containing compound metabolic process"
"18","GO:0071482",0.0154620889032105,0.99388170055207,12,70,"cellular response to light stimulus","BP",1,"response to UV-C"
"19","GO:0045229",0.0164976918676099,0.99955986551407,2,3,"external encapsulating structure organization","BP",1,"external encapsulating structure organization"
"20","GO:0032364",0.017569051138326,0.999515023478245,2,3,"intracellular oxygen homeostasis","BP",1,"intracellular oxygen homeostasis"
"21","GO:0016125",0.0179130739198232,0.994953621603906,7,33,"sterol metabolic process","BP",1,"steroid metabolic process"
"22","GO:0030007",0.0187588393801464,0.999463405733242,2,3,"intracellular potassium ion homeostasis","BP",1,"intracellular oxygen homeostasis"
"23","GO:0036376",0.0187588393801464,0.999463405733242,2,3,"sodium ion export across plasma membrane","BP",1,"sodium ion export across plasma membrane"
"24","GO:0017062",0.0203885904342413,0.998201960599775,3,6,"respiratory chain complex III assembly","BP",1,"axonemal dynein complex assembly"
"25","GO:0034551",0.0203885904342413,0.998201960599775,3,6,"mitochondrial respiratory chain complex III assembly","BP",1,"axonemal dynein complex assembly"
"26","GO:0032350",0.0205775264589254,0.99566182905381,5,19,"regulation of hormone metabolic process","BP",1,"regulation of neurotransmitter uptake"
"27","GO:0071453",0.0205949209555309,0.991527541643715,12,68,"cellular response to oxygen levels","BP",1,"response to UV-C"
"28","GO:0008210",0.0213543258178823,0.996528108807824,4,13,"estrogen metabolic process","BP",1,"steroid metabolic process"
"29","GO:0006189",0.0223504924438752,0.999296421511972,2,3,"'de novo' IMP biosynthetic process","BP",1,"purine deoxyribonucleotide metabolic process"
"30","GO:0036294",0.0225670797604834,0.991007031287604,11,62,"cellular response to decreased oxygen levels","BP",1,"response to UV-C"
"31","GO:0045989",0.0230560905394626,0.997659214442857,3,7,"positive regulation of striated muscle contraction","BP",1,"negative regulation of striated muscle contraction"
"32","GO:0071385",0.0266892635271715,0.993867752447589,5,21,"cellular response to glucocorticoid stimulus","BP",1,"cellular response to glucocorticoid stimulus"
"33","GO:0055072",0.0271924335487596,0.991645056507582,7,33,"iron ion homeostasis","BP",1,"intracellular oxygen homeostasis"
"34","GO:0070914",0.0292154870063568,0.996393004933718,3,9,"UV-damage excision repair","BP",1,"response to UV-C"
"35","GO:0001678",0.0301088464813826,0.990484277393552,7,35,"intracellular glucose homeostasis","BP",1,"intracellular oxygen homeostasis"
"36","GO:0009743",0.0316582257799238,0.985484294783738,13,84,"response to carbohydrate","BP",1,"cellular response to glucocorticoid stimulus"
"37","GO:0034284",0.0343592530206556,0.985275386365564,11,68,"response to monosaccharide","BP",1,"cellular response to glucocorticoid stimulus"
"38","GO:0140115",0.034400089413862,0.998080619992526,2,4,"export across plasma membrane","BP",1,"sodium ion export across plasma membrane"
"39","GO:1990573",0.034400089413862,0.998080619992526,2,4,"potassium ion import across plasma membrane","BP",1,"sodium ion export across plasma membrane"
"40","GO:0030574",0.0345022012778891,0.998071752267677,2,4,"collagen catabolic process","BP",1,"collagen metabolic process"
"41","GO:0034644",0.0374383466239208,0.985367489093449,9,53,"cellular response to UV","BP",1,"response to UV-C"
"42","GO:0035094",0.0385178070554742,0.992103581756013,4,16,"response to nicotine","BP",1,"cellular response to glucocorticoid stimulus"
"43","GO:0046031",0.0388591594878672,0.99201089613014,4,16,"ADP metabolic process","BP",1,"purine deoxyribonucleotide metabolic process"
"44","GO:0006188",0.0392995369117253,0.997638338600766,2,4,"IMP biosynthetic process","BP",1,"purine deoxyribonucleotide metabolic process"
"45","GO:0070129",0.0399419115126576,0.994641079462623,3,8,"regulation of mitochondrial translation","BP",1,"cytoplasmic translation"
"46","GO:0071384",0.0403098552591633,0.989504034034328,5,23,"cellular response to corticosteroid stimulus","BP",1,"cellular response to glucocorticoid stimulus"
"47","GO:0045932",0.0411693595377491,0.993843062117687,3,11,"negative regulation of muscle contraction","BP",1,"negative regulation of striated muscle contraction"
"48","GO:0000389",0.0443908560221906,0.993317870699418,3,10,"mRNA 3'-splice site recognition","BP",1,"axonemal dynein complex assembly"
"49","GO:0071326",0.0445835651666994,0.986157379944796,6,30,"cellular response to monosaccharide stimulus","BP",1,"cellular response to glucocorticoid stimulus"
"50","GO:0071331",0.0445835651666994,0.986157379944796,6,30,"cellular response to hexose stimulus","BP",1,"cellular response to glucocorticoid stimulus"
"51","GO:0071333",0.0445835651666994,0.986157379944796,6,30,"cellular response to glucose stimulus","BP",1,"cellular response to glucocorticoid stimulus"
"52","GO:0009749",0.0446149321288286,0.980926838251195,10,62,"response to glucose","BP",1,"cellular response to glucocorticoid stimulus"
"53","GO:0042744",0.0456818845967454,0.993043122071635,3,10,"hydrogen peroxide catabolic process","BP",1,"hydrogen peroxide catabolic process"
"54","GO:0034769",0.0468930787875416,0.996887425183614,2,4,"basement membrane disassembly","BP",1,"external encapsulating structure organization"
"55","GO:0098739",0.0481970033788787,0.986671959880456,5,25,"import across plasma membrane","BP",1,"sodium ion export across plasma membrane"
"56","GO:0018996",0.0490086323980522,0.989018597081218,4,17,"molting cycle, collagen and cuticulin-based cuticle","BP",1,"molting cycle, collagen and cuticulin-based cuticle"
