"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginSlope","TreatmentVariable:OriginSlope","se_(Intercept)","se_TreatmentVariable","se_OriginSlope","se_TreatmentVariable:OriginSlope","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin"
"Pocillopora_acuta_HIv2___TS.g12926.t1a",0.157507781348543,470.680205545856,-229.340102772928,6.05330081734759,4.25721141296073,0.188617007184339,-0.0269773132026814,-0.425365180107816,0.0461390114994131,0.0478807839430927,0.0474469662750965,0.0483351340620797,10.4004521533124,10.251597781915,77.4458262310579,1,1,1,0.00125984461002805,0.00136566264920233,1.364131656645e-18
"Pocillopora_acuta_HIv2___RNAseq.g13061.t1c",0.156245179790677,482.087786040179,-235.043893020089,6.25249373651124,4.25329548425001,0.121738341130766,0.281522749797818,-0.3801808107236,0.0431778781186327,0.044029114816557,0.0445509302929792,0.044862417635825,4.53736594782389,16.985400618574,71.814978851866,1,1,1,0.0331625845534623,3.7668352019501e-05,2.36351279120066e-17
"Pocillopora_acuta_HIv2___RNAseq.g8497.t1",0.245307252775821,460.701615638903,-224.350807819451,5.85695216791733,4.2737228340744,0.264326095357361,-0.323666878729576,-0.616529218278755,0.0654534571742061,0.0705151911170936,0.0719115923764019,0.0748944588424418,6.622345175205,29.6457195627315,67.7653916156589,1,1,1,0.0100707140608805,5.18670362484762e-08,1.84153634272274e-16
"Pocillopora_acuta_HIv2___TS.g10386.t1",0.425881984861663,529.681582615033,-258.840791307517,6.39104886500962,4.76743289334301,0.0463436718237103,-0.337539377734968,-0.472944338776526,0.0602697720024486,0.0615351534680888,0.0623469073343511,0.0627528622552663,0.0624684451472123,33.2910323286724,56.8006078879065,1,1,1,0.802636160202938,7.93477022263989e-09,4.82317268628602e-14
"Pocillopora_acuta_HIv2___RNAseq.g25435.t1",0.130870977304195,459.960238021074,-223.980119010537,5.92558153846492,4.24424958057146,0.0202821442561604,-0.0686045933121514,-0.317251806992299,0.0396512317619315,0.040857517899101,0.0414294791717537,0.0421155210462561,0.00154982855670437,15.4289501491764,56.7445103293721,1,1,1,0.968597102463416,8.56658108861035e-05,4.96274361539032e-14
"Pocillopora_acuta_HIv2___RNAseq.g28634.t1",0.114150904712612,469.277263991857,-228.638631995928,6.26785006214088,4.15291227384801,0.245042637703951,0.466758673337222,-0.575101817257654,0.0662837457863033,0.0710666912513513,0.0754224892138894,0.0785614099188832,2.29959780279236,25.4705815836207,53.5884186834042,1,1,1,0.129407503803829,4.49180089048607e-07,2.47212439851907e-13
"Pocillopora_acuta_HIv2___RNAseq.g26762.t1",0.120456174910547,453.110445187097,-220.555222593548,5.88260118220653,3.97813252001384,0.158991814016668,0.251512686121949,-0.297846911895318,0.0392306383077204,0.040585166956663,0.0415621936378466,0.042257037144924,10.4490086316585,31.0407006623177,49.6807469588549,1,1,1,0.00122715299354285,2.52674007065016e-08,1.80912556208288e-12
"Pocillopora_acuta_HIv2___RNAseq.g16151.t1",0.0846174455899535,442.402914523869,-215.201457261935,5.92682616055494,4.0662099301304,0.244236938557059,-0.0317114734106962,-0.209433345373093,0.0295463574103958,0.0300050347195228,0.0304767654296939,0.0307099485546182,58.9017510321044,1.75178873059138,46.5086230786645,1,1,1,1.65744654231682e-14,0.185652021955785,9.12161586354389e-12
"Pocillopora_acuta_HIv2___RNAseq.g18444.t1b",0.139506352856068,471.34563034085,-229.672815170425,6.04027387609211,4.12846749023136,0.0911175361981938,0.249620301060241,-0.310477473991461,0.0454501856166806,0.0466755481657852,0.0453841246238837,0.0459917405198898,1.7871738550845,26.1240410213093,45.5722532297655,1,1,1,0.18127088005633,3.20172649912478e-07,1.47110807675017e-11
"Pocillopora_acuta_HIv2___RNAseq.g26552.t1",1.91100365653801,567.89181351301,-277.945906756505,5.69062655637926,3.98500151783991,0.280700677116467,1.01477723002274,-0.441061611950001,0.0658647716834948,0.0663766901914202,0.0667959483559571,0.0669770457178148,6.84681466191762,229.73931959809,43.3657184594252,1,1,1,0.00887994550074155,6.79505177810199e-52,4.54073991942821e-11
"Pocillopora_acuta_HIv2___RNAseq.g11525.t1",1.04344760463166,303.156152507923,-145.578076253962,2.49644533947679,1.21155518267984,-0.133771730975937,1.38478152478186,-0.270265067172064,0.0422987670747121,0.0427471284899785,0.0427908197272262,0.0430582354387816,24.2897077413255,1044.20174126151,39.3973829468066,1,1,1,8.28807382252985e-07,4.43206196531225e-229,3.45760059344318e-10
"Pocillopora_acuta_HIv2___RNAseq.g27783.t1",0.0860055144549386,444.964837198728,-216.482418599364,5.89516147056714,4.09210736301503,0.0512333299708127,0.115433019894009,-0.273949766595826,0.0398389976519007,0.0411288009170774,0.0444330979458867,0.0454168266687801,0.289675918338167,0.779276360017718,36.3838202164122,1,1,1,0.590428284276842,0.377362546003766,1.62042830110312e-09
"Pocillopora_acuta_HIv2___TS.g1456.t1",0.429996949438354,296.789987951707,-142.394993975854,2.92716884164081,1.74044644056956,0.0800220155833111,0.533011812887881,-0.122032760040323,0.0201449048238892,0.0202028578095075,0.020232668349883,0.0202563026067847,15.4601424975339,692.886986948114,36.2938061515388,1,1,1,8.42635301578916e-05,1.05314169607841e-152,1.69702336855945e-09
"Pocillopora_acuta_HIv2___TS.g13409.t1",0.258606891216664,485.905308670521,-236.95265433526,5.97266449745471,4.07339890358683,0.195868387364396,0.167497242358201,-0.258561068745773,0.0404889818827701,0.0407366577647281,0.0425937087804393,0.0430578627666503,20.9012998421699,5.85292342419664,36.0596352932005,1,1,1,4.83566347380398e-06,0.0155511964240002,1.91370173254976e-09
"Pocillopora_acuta_HIv2___RNAseq.g8392.t1",0.112689032535984,446.884165592161,-217.44208279608,5.76620303911453,3.90714473740726,0.084184658755616,0.251875426469992,-0.193334275488941,0.0338136722064736,0.0347321885198995,0.0352092622362706,0.0356186088624776,4.04015328547881,47.3774171346952,29.4621070792224,1,1,1,0.0444297859834767,5.85533837036843e-12,5.70207154979669e-08
"Pocillopora_acuta_HIv2___RNAseq.g17226.t1",0.155482252026473,449.347477034982,-218.673738517491,5.74098549816874,3.99862270932147,0.193834255297207,0.0811701583016665,-0.466790952440543,0.0724873831797,0.0791765181152472,0.083010457709501,0.0882044513335744,1.37309925469297,0.000104132136632444,28.0068234609982,1,1,1,0.241280101832109,0.991858115935949,1.20888433076243e-07
"Pocillopora_acuta_HIv2___RNAseq.g15107.t1",0.384523311158516,541.839252934903,-264.919626467452,6.57749687193985,4.75499921387322,0.153526230510294,-0.0686929868337482,-0.606994409373985,0.103269169961891,0.107777156884519,0.113798448294785,0.115934953396143,0.156203745718621,1.72356357156021,27.4119921412022,1,1,1,0.692675961781368,0.189234980589606,1.64408537595691e-07
"Pocillopora_acuta_HIv2___TS.g21098.t1",0.0722983992284078,406.296672997675,-197.148336498838,5.52697195762818,3.63424461767588,0.254397330298795,0.304989428924628,-0.282759193278886,0.0482407748358794,0.0508592499019534,0.0531316457907532,0.0559813180482311,16.3814362670721,25.3278180478609,25.5121599416599,1,1,1,5.178998266899e-05,4.83682629178772e-07,4.39603553019253e-07
"Pocillopora_acuta_HIv2___RNAseq.g27209.t1",0.13911548147719,477.744655621691,-232.872327810845,6.29271020293627,4.36976292909411,0.0818800361718681,0.170607865566974,-0.42361265618329,0.0699733323384684,0.0760136414867,0.0802331757656947,0.0841707125525285,0.0576651420673404,1.69218638690386,25.3288718333325,1,1,1,0.810225079098015,0.19331300585844,4.8341846212643e-07
"Pocillopora_acuta_HIv2___TS.g30330.t1",0.0974025414543148,467.242817935086,-227.621408967543,6.35520688279566,4.34990340763756,0.0955430138957914,0.110081494688967,-0.152553815707481,0.0307660021069545,0.0310505534948127,0.0315865786006211,0.0318732083753294,14.0234647209216,18.2043755864846,22.9083909214704,1,1,1,0.000180543518746589,1.98422451333358e-05,1.69908527156806e-06
"Pocillopora_acuta_HIv2___RNAseq.g23870.t1",0.0794708891287967,450.95202823981,-219.476014119905,6.17751076625492,4.22452090788221,0.154747462856631,0.115894367381996,-0.268242204572322,0.0503495092118817,0.0519990525794399,0.0558141566000704,0.057795355763871,4.10509102077553,2.15291301969828,21.5411228048718,1,1,1,0.0427542900567648,0.142299677690777,3.46322052684934e-06
"Pocillopora_acuta_HIv2___RNAseq.g25876.t3",0.053831625631988,413.047733643007,-200.523866821504,5.91259958278011,4.08398732537609,0.164078631840168,-0.0222609962559875,-0.216367821654184,0.044127638431458,0.0518758663208393,0.0475038045780783,0.050534674718032,3.11206389942226,2.04944536412929,18.3318542757171,1,1,1,0.0777144245663382,0.15226164965682,1.85578097631131e-05
"Pocillopora_acuta_HIv2___RNAseq.g28568.t1",0.16888217324258,468.051508009153,-228.025754004576,5.91078278492801,4.09232781658581,0.0808303888706477,0.124222163577257,-0.206499120686386,0.0453888900583037,0.0475308102638815,0.0478489572177315,0.0486902202249504,1.64057964207537,5.32233729451098,17.986759826796,1,1,1,0.200245957487126,0.0210537533321792,2.22446796260587e-05
"Pocillopora_acuta_HIv2___RNAseq.g12615.t1",0.107825059027417,442.349233291394,-215.174616645697,5.89996101965016,4.08440308210659,-0.0477431854514018,0.259153733485286,-0.306295043448111,0.0603360582645663,0.0668709868900432,0.0700565635695558,0.0749729973357207,3.22951264195741,9.14971240475989,16.690532408457,1,1,1,0.0723222085869036,0.00248757161066373,4.40000379422983e-05
"Pocillopora_acuta_HIv2___RNAseq.g15755.t1",0.545961313494485,561.397204967048,-274.698602483524,6.52164680472914,4.50466664619333,0.275659711018325,0.187076560334458,-0.310139022722931,0.0767138346534164,0.0776957238223861,0.0796747600826882,0.079553417145763,11.065985268722,5.01767704428616,15.198304796307,1,1,1,0.000879258549739132,0.0250898064342921,9.67902703179467e-05
"Pocillopora_acuta_HIv2___RNAseq.g21866.t1",5.9397517220436,297.137061016015,-142.568530508007,1.92725803298166,1.75397973629204,0.544848832670177,0.239728549915831,-0.243667181894731,0.0643550132936857,0.0640423602294165,0.064680644114647,0.0642256890326514,72.2827519136704,13.7297356559137,14.3938355540726,1,1,1,1.86470086805446e-17,0.000211085876562575,0.000148286949575506
"Pocillopora_acuta_HIv2___TS.g2251.t1",0.44465590582398,481.431502596259,-234.715751298129,5.58861368800379,3.54275120779845,0.354945762855466,0.753141379469393,-0.402165266392172,0.0932673802027025,0.099883738313329,0.101876250120091,0.106103654731034,8.87489982241037,48.7555686969059,14.3664158044089,1,1,1,0.00289118106075497,2.89934168796257e-12,0.00015046211112852
"Pocillopora_acuta_HIv2___RNAseq.g1859.t1",0.092113506815201,468.359074517292,-228.179537258646,6.24705216223123,4.28541449187592,0.0912779028259204,0.132027396717616,-0.198878519368133,0.0499147964821513,0.0518695363968336,0.0567736872549539,0.057677847070687,1.40885962670958,1.89088778815957,11.8893379988519,1,1,1,0.235245793949715,0.169101821941517,0.0005645618355549
"Pocillopora_acuta_HIv2___RNAseq.g22596.t1",0.119703718544722,360.001646004044,-174.000823002022,4.56803200720786,2.94936105637847,0.385815227230703,0.521569666382953,-0.780970968709252,0.119748660386294,0.165173869311616,0.164029628064653,0.231667509221055,0.00932117639433918,1.26060801245668,11.3642170860689,1,1,1,0.923086751474166,0.261536033506596,0.000748726311138256
"Pocillopora_acuta_HIv2___RNAseq.g19869.t1",2.0826293468512,313.349790433378,-150.674895216689,2.38038529264923,2.28083035501546,-0.197359775566424,-0.59798364740386,0.137698811629794,0.0418241561939515,0.041957159774118,0.042122493046687,0.042119003936385,16.0549828202925,201.308384213099,10.6881908553656,1,1,1,6.15294982709234e-05,1.08222538338055e-45,0.00107821597497604
"Pocillopora_acuta_HIv2___RNAseq.g11609.t1",0.10101934492589,585.15198814306,-286.57599407153,8.0450364002173,5.43434760108088,0.278495203562526,0.355270594841843,-0.60337994160768,0.118697377603573,0.133427921474898,0.16751501454484,0.188611791978627,0.0625976460269793,0.159689178844099,10.2339680025998,1,1,1,0.80243638483998,0.689442843521892,0.0013787773272681
"Pocillopora_acuta_HIv2___RNAseq.g16054.t1",0.106912562122167,523.888679031853,-255.944339515927,7.04709684933339,4.79194267009284,0.263332508093803,0.300099232678195,-0.621169822635965,0.116045394094778,0.139539244643256,0.162941350337356,0.197171107602212,0.235532473655107,0.00323651827686623,9.92508296149997,1,1,1,0.627451583690567,0.954632496965281,0.00163041499579357
"Pocillopora_acuta_HIv2___RNAseq.g24759.t1",0.194430660700559,333.460048358879,-160.73002417944,4.01386078047125,2.55014506837303,0.348400175409225,0.615206270081566,-0.925462178037997,0.152495458968776,0.208779269423629,0.209884305870506,0.293884644026831,0.617143373587295,1.02495202291472,9.9166174783833,1,1,1,0.432110811209942,0.311347248390413,0.00163793126823532
"Pocillopora_acuta_HIv2___RNAseq.g10287.t1",0.0146835364694592,521.373233202001,-254.686616601001,8.01298060192966,5.4892096389321,0.118522855367563,0.146809309321677,-0.240917603040266,0.0460672547398735,0.0557513189941045,0.0647258824941869,0.0787490933799182,0.00315106801511721,0.26290881611841,9.35935546795899,1,1,1,0.955234760105215,0.608128765093629,0.00221850146663187
"Pocillopora_acuta_HIv2___RNAseq.g21581.t1",0.0365106914825862,460.333736863787,-224.166868431893,6.45163906907433,4.39829432680714,0.16314971289217,0.228789204012414,-0.386426697160564,0.0644562586772431,0.089580590352364,0.0901765595173753,0.126408910244808,0.244057778052139,0.309196450594846,9.34499065233049,1,1,1,0.621290612720885,0.578173694402331,0.00223595793729512
"Pocillopora_acuta_HIv2___RNAseq.g18759.t1",0.0856090779137146,418.316047145559,-203.15802357278,5.71389267870705,3.94685200202912,0.204985707410629,0.00175468709998055,-0.301732997052259,0.0685938197794525,0.0793468319484364,0.0894193035288114,0.0993581155143355,2.52198846398567,1.69604326483527,9.22229311552718,1,1,1,0.112268935180756,0.192806245779788,0.00239085908847794
"Pocillopora_acuta_HIv2___RNAseq.g20532.t1",0.0202264253455224,718.848099286276,-353.424049643138,10.8067155255369,7.43571804507165,0.125517209871788,0.126022275967484,-0.252542431780923,0.062762280612459,0.0590247893622088,0.0887438644830607,0.0836092422603016,6.88276003557171e-05,1.30806314014653e-05,9.12347194936933,1,1,1,0.993380634017222,0.99711428478949,0.00252350576587803
"Pocillopora_acuta_HIv2___RNAseq.g25730.t1",0.461337542116785,415.650516221534,-201.825258110767,4.46904092535012,3.29726883614482,-0.0543529818231184,-0.0995813571142799,0.171817130189104,0.0551599407110702,0.056406228370321,0.0567696606934138,0.0574318353005953,0.61721669478036,2.55617326945639,8.95009266805461,1,1,1,0.432083463893655,0.109864226791566,0.00277455510375326
"Pocillopora_acuta_HIv2___RNAseq.14688_t",0.0831263212273339,458.683006362208,-223.341503181104,6.19813585357022,4.22067393577628,0.124861231181487,0.114272646577527,-0.135768786326158,0.0447048446301169,0.0456525927461423,0.0451269323656882,0.0455265200598863,5.48795197541224,5.30852025584139,8.89346420098632,1,1,1,0.0191479603541831,0.0212213735785388,0.00286193225651994
"Pocillopora_acuta_HIv2___RNAseq.g7714.t1",0.111097486704805,359.749157680465,-173.874578840232,4.86759998265627,3.27714473299217,0.196373310249612,0.331518387264992,-0.633951269474924,0.111367712818101,0.15570761071064,0.154655128638722,0.220261008099273,1.19593718761809,0.029694275754055,8.28393164241814,1,1,1,0.274135218266582,0.863185748868571,0.00399974305329696
"Pocillopora_acuta_HIv2___RNAseq.g2283.t2",0.0855904780012476,449.881949361833,-218.940974680916,6.09320331317741,4.16184684197181,0.263882623468266,0.161322892955438,-0.531917141541199,0.107522313641084,0.132251115941111,0.151056671201541,0.185781524374222,0.0040319618799524,0.633624760918787,8.19752836617435,1,1,1,0.949370165762416,0.426028836831502,0.00419474956377905
"Pocillopora_acuta_HIv2___TS.g19731.t1",0.014057877092531,434.278138345014,-211.139069172507,6.7334325025742,4.62125611941869,0.118861855927014,0.101658165019668,-0.252615116620665,0.0545312748180195,0.0623892373107178,0.0765743389425622,0.0884743083924017,0.0232889121809547,0.15216794658187,8.15237818089816,1,1,1,0.878708163813646,0.696472140515972,0.00430047276557702
"Pocillopora_acuta_HIv2___RNAseq.g14893.t1",0.0705905707523122,344.367007833522,-166.183503916761,4.71114675129539,3.12145285355935,0.159916892998843,0.214649401906652,-0.196735539108523,0.0538149300266838,0.0614707379361225,0.0633441654525782,0.0689179235881802,3.5116675084145,7.71542861125247,8.14894283112086,1,1,1,0.0609380927928986,0.00547508592784139,0.00430862715136121
"Pocillopora_acuta_HIv2___TS.g2852.t1",0.0544716776341849,401.536861717578,-194.768430858789,5.48863069880476,3.62080113890718,0.205381662452548,0.2770345066678,-0.192703297537476,0.0578976526992764,0.0593070894301992,0.0642626703600029,0.0679821957039743,7.29851616609728,14.5916411218807,8.03503768350737,1,1,1,0.00690115801161752,0.000133505427637513,0.00458810556661534
"Pocillopora_acuta_HIv2___RNAseq.g9973.t1",0.197403044141587,500.158025103236,-244.079012551618,6.33183264309692,4.28281284332701,0.207338458602519,0.324959703592347,-0.475814381934989,0.050033516954596,0.0522160220935375,0.0523554848143086,0.168604651568028,10.7176304486691,33.1817026738495,7.96408755035657,1,1,1,0.00106119485394397,8.39366512962952e-09,0.00477145380527457
"Pocillopora_acuta_HIv2___RNAseq.g30313.t1",0.0383448629110492,440.14533737319,-214.072668686595,6.36388382073949,4.27926162666781,0.221467990455539,0.242592914727001,-0.359323631689839,0.0739661066486344,0.09230702128238,0.103549165336867,0.129911559196648,0.382060906899811,0.595678615400987,7.6502560412795,1,1,1,0.536502332473071,0.440231596416089,0.00567642642304433
"Pocillopora_acuta_HIv2___TS.g27082.t3b",0.12284786039798,451.955781775975,-219.977890887987,5.90675822137628,3.96766959220159,0.185020953876975,0.418127540583357,-0.587562318338163,0.125836602550322,0.152919462788254,0.176419700227954,0.215551688406967,1.0549743167374,0.807619386946832,7.43027715330748,1,1,1,0.304364232095743,0.368825016971909,0.00641354631669324
"Pocillopora_acuta_HIv2___RNAseq.g24638.t1",0.113397643261341,438.023626066387,-213.011813033194,5.94215785701337,3.86203660400369,0.287000241695047,0.557769458581564,-0.567586309856011,0.112427670302505,0.150073322309052,0.156552308037583,0.209536697385227,0.00179325416164964,5.56490634057601,7.33742431447911,1,1,1,0.966222212386558,0.0183239905528642,0.00675335361035529
"Pocillopora_acuta_HIv2___RNAseq.g961.t1",0.123619765180388,509.196650887428,-248.598325443714,6.78235370788781,4.53516233886173,0.217170944209513,0.482983596768951,-0.573993757002578,0.119810444937215,0.150820612910537,0.167786735866959,0.212277730293682,0.462458624611077,2.33161507463976,7.31148287007009,1,1,1,0.49647716785444,0.126770287795514,0.00685153648889179
"Pocillopora_acuta_HIv2___TS.g2757.t1",0.109488437813614,327.511697330288,-157.755848665144,3.95908812984834,2.62109243777129,0.266727937354724,0.326837566798346,-0.648733255731826,0.130396539108838,0.170232116479947,0.178261548090555,0.240876729116965,0.226801186343862,0.00227595521698121,7.25341677976749,1,1,1,0.633905911813537,0.961949777248628,0.00707662343993488
"Pocillopora_acuta_HIv2___RNAseq.g7457.t1",0.0291025264061625,838.809076794813,-413.404538397407,12.5172516471248,8.61669580741229,0.085654432229454,0.189501140490824,-0.267349223233384,0.066502589809717,0.0701212551946941,0.0940731987155205,0.0993020509762005,0.921581831475857,0.49005393587714,7.24838772633395,1,1,1,0.337059977485329,0.483903245875753,0.00709647008141201
"Pocillopora_acuta_HIv2___RNAseq.g18575.t2",0.0214961044575081,431.201184345921,-209.600592172961,6.66074528962763,4.55191644347887,0.0957523308957608,0.181789041460322,-0.274982816028138,0.0546204734317827,0.0725721242643393,0.076174839279943,0.102292178390173,0.694745159749401,0.635624187172661,7.22647085746163,1,1,1,0.404555050325739,0.425299798599265,0.00718362893391864
"Pocillopora_acuta_HIv2___RNAseq.g7015.t1",0.0517933377478572,415.74307291297,-201.871536456485,5.74907087190769,4.12064208769229,-0.0476481387890336,-0.257707837448308,0.0908481320789774,0.0312191917868315,0.0336992138461592,0.0334778511873267,0.0340400443294468,1.21726213803653,56.6836811548312,7.12281673693626,1,1,1,0.269898628478648,5.11865736441165e-14,0.00761090379888124
"Pocillopora_acuta_HIv2___RNAseq.g30739.t1",0.220767785432387,296.860456799342,-142.430228399671,3.19427080778756,2.00245286983644,0.424726110139141,0.451364099393434,-0.884579911387182,0.179380995750131,0.236312456293064,0.243221890188161,0.332849981914945,0.0147548078651685,0.00346619485600601,7.06280261999905,1,1,1,0.903319274173408,0.953052149320715,0.00787007822170361
"Pocillopora_acuta_HIv2___TS.g11857.t2",0.0382843174089244,504.905916238427,-246.452958119213,7.11130284687147,4.88578195448573,0.155563566224012,0.121406036412302,-0.327995038212484,0.083611750360093,0.0877925746423454,0.118016682445955,0.124064264529795,0.0196649244852773,0.175001304926757,6.98941998065971,1,1,1,0.888476941029794,0.675704708517738,0.00819929197757455
"Pocillopora_acuta_HIv2___RNAseq.g9606.t1",0.0234013983079835,531.871336563079,-259.93566828154,7.90069641816765,5.39451345844693,0.125673832940035,0.189353715916343,-0.253112414094559,0.0556123227393074,0.0682165893281177,0.0782121547167806,0.0961421433369525,0.000854226141379654,1.04064279609944,6.93105415806398,1,1,1,0.976683430035759,0.307672021666984,0.0084711744295694
"Pocillopora_acuta_HIv2___RNAseq.g13844.t1",0.0322144150245957,455.542217835421,-221.771108917711,6.6254782679932,4.5643248510593,0.0958734143027613,0.130973484830196,-0.313198650552499,0.0740726230355009,0.0839836331373461,0.104215229483952,0.119074356440632,1.0127955366316,0.0808372746902942,6.91836193504764,1,1,1,0.314234045221846,0.776165952516914,0.00853150907496449
"Pocillopora_acuta_HIv2___RNAseq.g1239.t1",0.234314407047118,468.433282743873,-228.216641371936,5.77895994660146,3.90583313674979,0.0990733833042543,0.499054639967603,-0.5191827662203,0.154000386839411,0.161358435431312,0.177282986275921,0.197436921938842,0.850804475816477,3.33014726577216,6.91486638400376,1,1,1,0.356324855062095,0.0680207837909287,0.0085482028798288
"Pocillopora_acuta_HIv2___TS.g5225.t1",0.282064666238288,466.354117249897,-227.177058624949,5.60767432099615,3.76973338059768,0.175886979266329,0.458825885775912,-0.492831879855874,0.0466623787215634,0.0467071276358913,0.0464297841040573,0.188302647415278,10.4337912341207,91.4058952520942,6.84990793841153,1,1,1,0.00123730498343524,1.17027292890386e-21,0.00886458403091002
"Pocillopora_acuta_HIv2___RNAseq.g26715.t1",0.453498555157302,393.420735091234,-190.710367545617,4.27183301711933,3.19184715248028,0.095076653386292,0.294508056234955,-1.06912623812525,0.203017223845425,0.286568595311331,0.28558405254684,0.40867090991794,4.44247427318955,1.24119570433618,6.84400828158532,1,1,1,0.035055407741485,0.265240736828168,0.00889390579745052
"Pocillopora_acuta_HIv2___RNAseq.g25232.t1",0.00937470203470382,521.683834337529,-254.841917168765,7.99854467437657,5.51074546866722,0.119567833725598,0.0441556945849377,-0.174318632336727,0.0443929805111835,0.0469461712655568,0.0626653001725684,0.0666353670094124,0.984732826460391,0.669402148618491,6.84349621954531,1,1,1,0.321033134175588,0.413260122888426,0.00889645546520134
"Pocillopora_acuta_HIv2___RNAseq.g15574.t1",0.0991504205992946,410.543836400252,-199.271918200126,5.36647022579848,3.63876086934797,0.267909348229998,0.19240023811142,-0.531974924491468,0.120152801240961,0.143133008518212,0.168028216124801,0.203721753686509,0.0026872760309687,0.303098376499245,6.81879307035365,1,1,1,0.958657025074035,0.58194650541792,0.00902035086477296
