"","Dispersion","AIC","logLik","meanExp","(Intercept)","TreatmentVariable","OriginSlope","TreatmentVariable:OriginSlope","se_(Intercept)","se_TreatmentVariable","se_OriginSlope","se_TreatmentVariable:OriginSlope","Chisq_Treatment","Chisq_Origin","Chisq_Treatment:Origin","Df_Treatment","Df_Origin","Df_Treatment:Origin","P_Treatment","P_Origin","P_Treatment:Origin","Treatment","Origin","Treatment:Origin","Stable_OriginFC","Variable_OriginFC","maxGroupFC","col","Gene"
"Pocillopora_acuta_HIv2___RNAseq.g15755.t1",0.579786856495438,538.328308167908,-263.164154083954,6.49009110961973,4.49394498151935,0.219626133603401,0.200698471632962,-0.252882487888491,0.0645240042217432,0.0671728887264036,0.0681695068959918,0.0660365933846206,9.81695840112926,8.42880472857055,14.6645313511019,1,1,1,0.00172910057954785,0.00369323037328427,0.000128440599451045,0.486903916322051,0.0329778743326904,0.0330679497615246,0.286644134636861,-0.0745985021233686,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g15755.t1"
"Pocillopora_acuta_HIv2___RNAseq.g17983.t1",10.7743855141247,345.375577872094,-166.687788936047,2.64697784278472,4.03871554279628,0.18108532293465,-3.8180764206839,-0.408801000069928,0.0138371452741283,0.0138323808158759,0.0138390304913563,0.0138334956068249,171.564856470169,76111.5122351099,873.293094701128,1,1,1,3.3681790086021e-39,0,6.27593014497179e-192,5.05844350775226e-36,0,1.41381016340852e-188,-4.68391511767686,-5.11403689395259,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g17983.t1"
"Pocillopora_acuta_HIv2___RNAseq.g16162.t1",1.02047030499244,334.090435527505,-161.045217763753,3.03678389444878,1.55655382832003,0.659296339859573,1.23501069689949,-1.04060184733503,0.0292281254921276,0.0293661488800349,0.0295232968415265,0.0295773962884985,492.777572878756,1732.07579654346,1237.79665486057,1,1,1,3.54362166747355e-109,0,3.72509018824016e-271,1.06438582818681e-105,0,1.1188929228744e-267,1.59157673935885,0.255187134275308,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g16162.t1"
"Pocillopora_acuta_HIv2___RNAseq.g11235.t1",0.897126693858849,391.838982384042,-189.919491192021,3.94096497909255,3.0404709120717,0.065494914305715,-0.312012281344014,0.164532466832701,0.0221996508593414,0.0221616520295475,0.0222621473003064,0.0222027193173068,8.77578404202508,196.453806328707,54.9149864610217,1,1,1,0.00305255918893535,1.24086518428898e-44,1.25857658759857e-13,0.670892947597474,6.83939912937101e-42,7.08814601928172e-11,-0.426232260441298,-0.202975268926158,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g11235.t1"
"Pocillopora_acuta_HIv2___RNAseq.g6506.t1",0.0450579856429293,338.3685812841,-163.18429064205,4.82717680177297,3.35037706857075,0.149779842802891,-0.0549086328541136,-0.195391501157053,0.0371089145432033,0.0410910749179663,0.0422925893685783,0.0438901635947642,8.03538403373708,4.32446660356337,19.8187810498903,1,1,1,0.00458722835769542,0.037568186921466,8.51419754768604e-06,0.826710294623869,0.137628466994403,0.00255738113673996,-0.076459915118984,-0.349131096377762,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g6506.t1"
"Pocillopora_acuta_HIv2___RNAseq.g303.t1",0.799618060589821,337.426162035922,-162.713081017961,3.2429799959094,2.40396492412173,0.384650401297721,-0.188577517502662,-0.346383828149509,0.0213390257092487,0.0213373262647211,0.0213869268438592,0.02137926074197,323.993947420932,78.0043415735799,262.500326122693,1,1,1,1.95411264163423e-72,1.02814325569016e-18,4.89231696660916e-59,4.40212725344152e-69,3.8960065900772e-16,6.29780974087359e-56,-0.247458972309613,-0.713833349518836,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g303.t1"
"Pocillopora_acuta_HIv2___RNAseq.g5899.t2",0.911406063645809,384.639450656977,-186.319725328488,3.82413410881421,2.89965450358477,-0.0589374913910847,0.272309789698239,-0.541842941865607,0.0241395120335571,0.0240556267216327,0.0241506271883208,0.024069023649083,6.50515369375489,125.401761839753,506.792167035503,1,1,1,0.01075622662546,4.15666375565417e-29,3.16338132001953e-112,0.999999698051713,1.93859718045649e-26,4.75087151244932e-109,0.374805363513184,-0.364442414579274,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g5899.t2"
"Pocillopora_acuta_HIv2___RNAseq.g20764.t1",0.367355072933137,319.035026762032,-153.517513381016,3.48758784117976,2.45350315799689,0.24591132728572,-0.230626612530568,-0.0921074972550749,0.0175453375914522,0.0175347460281703,0.0175535976656222,0.017565633693727,195.898578861946,173.18190727827,27.4955442003218,1,1,1,1.64020896558944e-44,1.49362965751691e-39,1.57456850156261e-07,2.95598459778529e-41,7.54653719263972e-37,5.91184865315861e-05,-0.303392375064999,-0.431391751848281,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g20764.t1"
"Pocillopora_acuta_HIv2___TS.g12926.t1a",0.145653400542889,443.461978921889,-215.730989460944,5.99607155484126,4.2039579298574,0.144996112956163,0.0299777278445065,-0.380753336348144,0.0342938217553703,0.0353219204616532,0.0342133103921995,0.0347629530254317,13.1715018589481,0.262683608174039,119.964876683053,1,1,1,0.000284238838653996,0.608282445592371,6.43907308508741e-28,0.116421644323234,0.567281390149087,5.80224875697226e-25,0.042621557219289,-0.498350800856625,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___TS.g12926.t1a"
"Pocillopora_acuta_HIv2___RNAseq.g6447.t1",0.111906145254494,376.471868989543,-182.235934494772,5.13207158341559,3.34769970389386,0.190277068850037,0.493586153103958,-0.469638083828401,0.0430867478189704,0.0463825406796918,0.0469112479551451,0.0490035916904698,17.6461609720358,117.072901542963,91.8482296280165,1,1,1,2.6605175128398e-05,2.76707397635365e-27,9.35855727707495e-22,0.013318846282333,1.19833644775985e-24,7.66635996579294e-19,0.692874497875232,0.0335849752460566,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g6447.t1"
"Pocillopora_acuta_HIv2___RNAseq.g1859.t1",0.0665338296146947,432.039313673891,-210.019656836945,6.18528810910404,4.21528917568992,0.0335795932581002,0.20854719930111,-0.138264818137919,0.0246592262537249,0.0253176645013564,0.0259194821075212,0.0263206817523931,0.741502539398983,63.9822306958796,27.5949178378038,1,1,1,0.389179985916275,1.25546481557648e-15,1.49571241514044e-07,0.999999698051713,4.47756252599383e-13,5.85994111862196e-05,0.296912408303407,0.100016808443089,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g1859.t1"
"Pocillopora_acuta_HIv2___RNAseq.g12610.t1",0.0400557849954599,310.199623793872,-149.099811896936,4.33660093686872,2.85325795246956,0.234383714588323,0.196913462938129,-0.302297598865781,0.0488524152706043,0.0553251546070716,0.0571278721679754,0.0625240138651568,10.7258741548511,7.1360688251725,23.3762957818526,1,1,1,0.00105647747105161,0.00755485983744103,1.33209968615637e-06,0.33999708898736,0.051933053770869,0.000480142010878202,0.269960118708449,-0.145060168719612,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g12610.t1"
"Pocillopora_acuta_HIv2___RNAseq.g4741.t1",0.190386587146813,457.755995595896,-222.877997797948,6.03690936937098,4.012307510851,0.101668330708913,0.422690585717803,-0.225668505709087,0.0399805824993425,0.0405242182085552,0.0406708531435001,0.0411670886853311,4.62946501145766,103.31860374218,30.0498007260698,1,1,1,0.0314273617844413,2.85361099782381e-24,4.21091802654374e-08,0.999999698051713,1.15342549178912e-21,1.80688487319932e-05,0.600948932504177,0.280088296208813,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g4741.t1"
"Pocillopora_acuta_HIv2___RNAseq.g24075.t1",0.0355869439875735,356.868776134323,-172.434388067162,5.29519362726793,3.65740076429397,0.0258026701322628,0.110992830774751,-0.22926392077469,0.0402573272959521,0.0454273046817726,0.0479354503618587,0.0518206636709701,0.270313330917033,6.57924001703481,19.5733647408654,1,1,1,0.60312166471243,0.0103174934564936,9.68094801220485e-06,0.999999698051713,0.062869087340007,0.00281403298509606,0.156311882511003,-0.166193624965751,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g24075.t1"
"Pocillopora_acuta_HIv2___RNAseq.g13005.t1",0.27061800202917,440.117451990251,-214.058725995126,5.57151445592573,3.68747085189205,0.501829933061511,0.378240029493974,-0.757628228714613,0.0756886165686843,0.0813919364962938,0.0834957774111685,0.0875049228385578,23.2591060831481,3.70312862163738,74.9630629477408,1,1,1,1.41578514757098e-06,0.054310541738054,4.79603384423789e-18,0.000797352497797634,0.172490126575641,3.32438930541751e-15,0.534545080373353,-0.537437078635717,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g13005.t1"
"Pocillopora_acuta_HIv2___RNAseq.g5107.t1a",0.266124084508535,445.838702649986,-216.919351324993,5.56078379378125,4.01210565228422,-0.0273133914094145,-0.242983415836353,0.275941168936991,0.0314473807473929,0.0318475279874545,0.0321324486724872,0.032292640081023,0.350706085653033,54.1495469115774,73.0173210711399,1,1,1,0.55371370402475,1.85796715109746e-13,1.28516993973588e-17,0.999999698051713,5.9288500280879e-11,8.27190451925716e-15,-0.343515402744896,0.0466938091615132,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g5107.t1a"
"Pocillopora_acuta_HIv2___RNAseq.g28165.t1",0.354172274070322,371.976607245205,-179.988303622603,4.15060215987465,3.04729366986242,-0.197816545182984,0.0545254781549155,0.146944908249749,0.0366375162342374,0.0374777705907094,0.0375592549091095,0.038006039352621,26.6763085941189,2.40625987906399,14.9487148149108,1,1,1,2.40552985891892e-07,0.120850793885889,0.000110473286486085,0.000166740227374757,0.26967823909147,0.0292786701331209,0.0751887626310612,0.276185889508467,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g28165.t1"
"Pocillopora_acuta_HIv2___RNAseq.g17946.t1",0.31018159617585,370.933334621159,-179.466667310579,3.85248868717194,2.35587893811144,0.246498673984662,0.42674467038377,0.141038823383707,0.0110352581009176,0.0110441046407614,0.0110376647603431,0.0110505089588248,496.260621137123,1491.45694546443,162.896889061893,1,1,1,6.18856152278091e-110,0,2.634797883824e-37,2.78825639408894e-106,0,2.63801819234867e-34,0.571596967021106,0.775364773740656,"Variable","q_Origin:Treatment < 0.05 (biggest FC in Variable)","Pocillopora_acuta_HIv2___RNAseq.g17946.t1"
"Pocillopora_acuta_HIv2___RNAseq.g13143.t1",0.0764430963120582,379.63312717859,-183.816563589295,5.21900901005315,3.7288626800755,-0.119008064756959,-0.200073998352985,0.282962786331201,0.0477918346670459,0.0551817756105497,0.057152141516544,0.0621900663792047,7.89413792216397,19.0420028738799,20.7022050533505,1,1,1,0.00495952704270638,1.27872529738234e-05,5.36541794908342e-06,0.876280356506415,0.00061083245215964,0.00179065856071077,-0.281169648255035,0.116556908124522,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g13143.t1"
"Pocillopora_acuta_HIv2___RNAseq.g13538.t2",2.35078016545144,362.39759036707,-175.198795183535,3.02297978773954,1.62191012941857,0.507453878568045,1.70742352936138,-1.08367937215877,0.0200695674401945,0.0199933690125675,0.0200799479859459,0.0200007795262633,660.256467266336,7285.21660522201,2935.6736061787,1,1,1,1.313887703123e-145,0,0,1.18394420928413e-141,0,0,2.25400953596648,0.826906159212828,"Stable","q_Origin:Treatment < 0.05 (biggest FC in Stable)","Pocillopora_acuta_HIv2___RNAseq.g13538.t2"
