"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"32","GO:0071385",0.0266893431203007,0.993867729281875,5,21,"cellular response to glucocorticoid stimulus","BP","cellular response to glucocorticoid stimulus"
"33","GO:0055072",0.0271924509109925,0.991645050043612,7,33,"iron ion homeostasis","BP","intracellular oxygen homeostasis"
"34","GO:0070914",0.029215458935528,0.99639300976602,3,9,"UV-damage excision repair","BP","response to UV-C"
"35","GO:0001678",0.0301088569244055,0.9904842733896,7,35,"intracellular glucose homeostasis","BP","intracellular oxygen homeostasis"
"36","GO:0009743",0.0316582607326541,0.98548427645912,13,84,"response to carbohydrate","BP","cellular response to glucocorticoid stimulus"
"37","GO:0034284",0.0343593032971241,0.985275361360267,11,68,"response to monosaccharide","BP","cellular response to glucocorticoid stimulus"
"38","GO:0140115",0.0343999010505464,0.998080636336618,2,4,"export across plasma membrane","BP","sodium ion export across plasma membrane"
"39","GO:1990573",0.0343999010505464,0.998080636336618,2,4,"potassium ion import across plasma membrane","BP","sodium ion export across plasma membrane"
"40","GO:0030574",0.0345022671910838,0.998071746538674,2,4,"collagen catabolic process","BP","collagen metabolic process"
"41","GO:0034644",0.0374382345565196,0.985367540955176,9,53,"cellular response to UV","BP","response to UV-C"
"42","GO:0035094",0.0385177898403423,0.992103586423256,4,16,"response to nicotine","BP","cellular response to glucocorticoid stimulus"
"43","GO:0046031",0.038859223057326,0.99201087884331,4,16,"ADP metabolic process","BP","purine deoxyribonucleotide metabolic process"
"44","GO:0006188",0.0392996853161558,0.997638324691989,2,4,"IMP biosynthetic process","BP","purine deoxyribonucleotide metabolic process"
"45","GO:0070129",0.0399419481815348,0.994641072546978,3,8,"regulation of mitochondrial translation","BP","cytoplasmic translation"
"46","GO:0071384",0.0403099675276212,0.989503996746673,5,23,"cellular response to corticosteroid stimulus","BP","cellular response to glucocorticoid stimulus"
"47","GO:0045932",0.0411691164730883,0.993843113053655,3,11,"negative regulation of muscle contraction","BP","negative regulation of striated muscle contraction"
"48","GO:0000389",0.0443909843413803,0.993317843559651,3,10,"mRNA 3'-splice site recognition","BP","axonemal dynein complex assembly"
"49","GO:0071326",0.0445835731929671,0.986157376841351,6,30,"cellular response to monosaccharide stimulus","BP","cellular response to glucocorticoid stimulus"
"50","GO:0071331",0.0445835731929671,0.986157376841351,6,30,"cellular response to hexose stimulus","BP","cellular response to glucocorticoid stimulus"
"51","GO:0071333",0.0445835731929671,0.986157376841351,6,30,"cellular response to glucose stimulus","BP","cellular response to glucocorticoid stimulus"
"52","GO:0009749",0.044614989524485,0.980926809411425,10,62,"response to glucose","BP","cellular response to glucocorticoid stimulus"
"53","GO:0042744",0.0456818052197723,0.993043139067808,3,10,"hydrogen peroxide catabolic process","BP","hydrogen peroxide catabolic process"
"54","GO:0034769",0.0468931306666031,0.996887419790379,2,4,"basement membrane disassembly","BP","external encapsulating structure organization"
"55","GO:0098739",0.0481970852708843,0.986671930905694,5,25,"import across plasma membrane","BP","sodium ion export across plasma membrane"
"56","GO:0018996",0.0490084415012761,0.989018653918234,4,17,"molting cycle, collagen and cuticulin-based cuticle","BP","molting cycle, collagen and cuticulin-based cuticle"
