"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"42","GO:0016886",0.0378897824421895,0.996778190911486,4,5,"ligase activity, forming phosphoric ester bonds","MF","ligase activity, forming phosphoric ester bonds"
"43","GO:0046625",0.0384714548283777,0.996710401081409,4,5,"sphingolipid binding","MF","phosphatidylinositol binding"
"44","GO:0043168",0.0385699215331579,0.968724639210646,183,539,"anion binding","MF","phosphatidylinositol-3,4-bisphosphate binding"
"45","GO:0032453",0.0386313813659881,0.996691690306008,4,5,"histone H3K4 demethylase activity","MF","histone H3K4 demethylase activity"
"46","GO:0032266",0.0388256007683711,0.985268996873883,12,24,"phosphatidylinositol-3-phosphate binding","MF","phosphatidylinositol binding"
"47","GO:0004712",0.0406978358669812,0.986258549832483,10,19,"protein serine/threonine/tyrosine kinase activity","MF","protein serine/threonine/tyrosine kinase activity"
"48","GO:0038024",0.0450721720453468,0.985475943819167,9,17,"cargo receptor activity","MF","cargo receptor activity"
"49","GO:0019902",0.0455999657614167,0.972213248505807,34,86,"phosphatase binding","MF","kinase binding"
"50","GO:0031625",0.046538257222921,0.967630032070017,58,163,"ubiquitin protein ligase binding","MF","kinase binding"
"51","GO:0005547",0.0466477821311431,0.980039790524215,14,29,"phosphatidylinositol-3,4,5-trisphosphate binding","MF","phosphatidylinositol binding"
"52","GO:1901981",0.0479163091947001,0.971509726438507,31,76,"phosphatidylinositol phosphate binding","MF","phosphatidylinositol binding"
"53","GO:0008081",0.0485299164998958,0.979554095139343,13,28,"phosphoric diester hydrolase activity","MF","phospholipase activity"
"54","GO:0008157",0.0488493079778799,0.982499420005422,10,20,"protein phosphatase 1 binding","MF","kinase binding"
"55","GO:0030228",0.0492934246000872,0.988861294753764,6,10,"lipoprotein particle receptor activity","MF","cargo receptor activity"
