"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","ParentTerm","Factor"
"31",55,"GO:0007584",0,1,11,11,"response to nutrient","BP",0,"response to nutrient","Up"
"32",57,"GO:0007626",0,1,12,12,"locomotory behavior","BP",0,"locomotory behavior","Up"
"33",60,"GO:0008285",0,1,16,16,"negative regulation of cell population proliferation","BP",0,"negative regulation of cell population proliferation","Up"
"34",61,"GO:0008406",0,1,13,13,"gonad development","BP",0,"development of primary sexual characteristics","Up"
"35",62,"GO:0008610",0,1,16,16,"lipid biosynthetic process","BP",0,"glycerolipid metabolic process","Up"
"36",63,"GO:0009141",0,1,11,11,"nucleoside triphosphate metabolic process","BP",0,"regulation of small molecule metabolic process","Up"
"37",64,"GO:0009150",0,1,13,13,"purine ribonucleotide metabolic process","BP",0,"purine ribonucleotide metabolic process","Up"
"38",67,"GO:0009259",0,1,14,14,"ribonucleotide metabolic process","BP",0,"purine ribonucleotide metabolic process","Up"
"39",68,"GO:0009266",0,1,13,13,"response to temperature stimulus","BP",0,"response to temperature stimulus","Up"
"40",69,"GO:0009416",0,1,16,16,"response to light stimulus","BP",0,"response to temperature stimulus","Up"
"41",70,"GO:0009617",0,1,14,14,"response to bacterium","BP",0,"response to bacterium","Up"
"42",71,"GO:0009636",0,1,16,16,"response to toxic substance","BP",0,"response to toxic substance","Up"
"43",72,"GO:0009886",0,1,15,15,"post-embryonic animal morphogenesis","BP",0,"post-embryonic animal organ morphogenesis","Up"
"44",73,"GO:0009896",0,1,14,14,"positive regulation of catabolic process","BP",0,"positive regulation of catabolic process","Up"
"45",74,"GO:0009987",0,1,294,294,"cellular process","BP",0,"cellular process","Up"
"46",75,"GO:0010035",0,1,14,14,"response to inorganic substance","BP",0,"response to toxic substance","Up"
"47",76,"GO:0010498",0,1,11,11,"proteasomal protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"48",77,"GO:0010563",0,1,15,15,"negative regulation of phosphorus metabolic process","BP",0,"purine ribonucleotide metabolic process","Up"
"49",78,"GO:0010608",0,1,14,14,"post-transcriptional regulation of gene expression","BP",0,"post-transcriptional regulation of gene expression","Up"
"50",79,"GO:0010721",0,1,15,15,"negative regulation of cell development","BP",0,"positive regulation of neuron differentiation","Up"
"51",80,"GO:0010769",0,1,16,16,"regulation of cell morphogenesis involved in differentiation","BP",0,"post-embryonic animal organ morphogenesis","Up"
"52",82,"GO:0010817",0,1,14,14,"regulation of hormone levels","BP",0,"regulation of hormone levels","Up"
"53",83,"GO:0010948",0,1,12,12,"negative regulation of cell cycle process","BP",0,"positive regulation of cell cycle","Up"
"54",85,"GO:0010952",0,1,12,12,"positive regulation of peptidase activity","BP",0,"regulation of protein binding","Up"
"55",86,"GO:0010976",0,1,15,15,"positive regulation of neuron projection development","BP",0,"regulation of dendrite development","Up"
"56",88,"GO:0016042",0,1,11,11,"lipid catabolic process","BP",0,"glycerolipid metabolic process","Up"
"57",89,"GO:0016050",0,1,14,14,"vesicle organization","BP",0,"vesicle organization","Up"
"58",90,"GO:0016054",0,1,11,11,"organic acid catabolic process","BP",0,"regulation of small molecule metabolic process","Up"
"59",91,"GO:0016072",0,1,11,11,"rRNA metabolic process","BP",0,"nucleic acid phosphodiester bond hydrolysis","Up"
"60",92,"GO:0016567",0,1,13,13,"protein ubiquitination","BP",0,"protein autophosphorylation","Up"
"61",93,"GO:0016570",0,1,13,13,"histone modification","BP",0,"protein autophosphorylation","Up"
"62",95,"GO:0019439",0,1,12,12,"aromatic compound catabolic process","BP",0,"positive regulation of catabolic process","Up"
"63",96,"GO:0019693",0,1,14,14,"ribose phosphate metabolic process","BP",0,"purine ribonucleotide metabolic process","Up"
"64",97,"GO:0019941",0,1,13,13,"modification-dependent protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"65",100,"GO:0021700",0,1,14,14,"developmental maturation","BP",0,"developmental maturation","Up"
"66",101,"GO:0030001",0,1,13,13,"metal ion transport","BP",0,"mitochondrial transport","Up"
"67",102,"GO:0030003",0,1,14,14,"intracellular monoatomic cation homeostasis","BP",0,"calcium ion homeostasis","Up"
"68",103,"GO:0030029",0,1,13,13,"actin filament-based process","BP",0,"actin cytoskeleton organization","Up"
"69",104,"GO:0030031",0,1,14,14,"cell projection assembly","BP",0,"regulation of dendrite development","Up"
"70",105,"GO:0030036",0,1,11,11,"actin cytoskeleton organization","BP",0,"actin cytoskeleton organization","Up"
"71",106,"GO:0030100",0,1,12,12,"regulation of endocytosis","BP",0,"regulation of endocytosis","Up"
"72",107,"GO:0030155",0,1,13,13,"regulation of cell adhesion","BP",0,"regulation of cell adhesion","Up"
"73",108,"GO:0030163",0,1,16,16,"protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"74",109,"GO:0030334",0,1,14,14,"regulation of cell migration","BP",0,"regulation of cell motility","Up"
"75",110,"GO:0030855",0,1,15,15,"epithelial cell differentiation","BP",0,"epithelial cell development","Up"
"76",113,"GO:0031331",0,1,11,11,"positive regulation of cellular catabolic process","BP",0,"positive regulation of catabolic process","Up"
"77",115,"GO:0031396",0,1,12,12,"regulation of protein ubiquitination","BP",0,"post-transcriptional regulation of gene expression","Up"
"78",116,"GO:0032101",0,1,13,13,"regulation of response to external stimulus","BP",0,"regulation of response to external stimulus","Up"
"79",118,"GO:0032386",0,1,14,14,"regulation of intracellular transport","BP",0,"regulation of endocytosis","Up"
"80",119,"GO:0032446",0,1,15,15,"protein modification by small protein conjugation","BP",0,"protein autophosphorylation","Up"
"81",120,"GO:0032535",0,1,15,15,"regulation of cellular component size","BP",0,"regulation of hormone levels","Up"
"82",121,"GO:0032984",0,1,12,12,"protein-containing complex disassembly","BP",0,"vesicle organization","Up"
"83",122,"GO:0033157",0,1,12,12,"regulation of intracellular protein transport","BP",0,"regulation of endocytosis","Up"
"84",123,"GO:0033673",0,1,12,12,"negative regulation of kinase activity","BP",0,"regulation of protein binding","Up"
"85",124,"GO:0033674",0,1,11,11,"positive regulation of kinase activity","BP",0,"regulation of protein binding","Up"
"86",125,"GO:0034248",0,1,14,14,"regulation of amide metabolic process","BP",0,"regulation of amide metabolic process","Up"
"87",127,"GO:0034655",0,1,11,11,"nucleobase-containing compound catabolic process","BP",0,"positive regulation of catabolic process","Up"
"88",133,"GO:0040007",0,1,16,16,"growth","BP",0,"positive regulation of growth","Up"
"89",134,"GO:0040017",0,1,13,13,"positive regulation of locomotion","BP",0,"positive regulation of locomotion","Up"
"90",135,"GO:0040029",0,1,14,14,"epigenetic regulation of gene expression","BP",0,"regulation of chromatin organization","Up"
"91",137,"GO:0042176",0,1,14,14,"regulation of protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"92",138,"GO:0042254",0,1,13,13,"ribosome biogenesis","BP",0,"vesicle organization","Up"
"93",139,"GO:0042326",0,1,14,14,"negative regulation of phosphorylation","BP",0,"purine ribonucleotide metabolic process","Up"
"94",140,"GO:0043010",0,1,11,11,"camera-type eye development","BP",0,"gland development","Up"
"95",141,"GO:0043043",0,1,13,13,"peptide biosynthetic process","BP",0,"regulation of amide metabolic process","Up"
"96",142,"GO:0043087",0,1,12,12,"regulation of GTPase activity","BP",0,"regulation of protein binding","Up"
"97",143,"GO:0043161",0,1,11,11,"proteasome-mediated ubiquitin-dependent protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"98",146,"GO:0043393",0,1,11,11,"regulation of protein binding","BP",0,"regulation of protein binding","Up"
"99",147,"GO:0043405",0,1,13,13,"regulation of MAP kinase activity","BP",0,"regulation of protein binding","Up"
"100",150,"GO:0043632",0,1,14,14,"modification-dependent macromolecule catabolic process","BP",0,"positive regulation of catabolic process","Up"
"101",152,"GO:0044057",0,1,15,15,"regulation of system process","BP",0,"cognition","Up"
"102",153,"GO:0044242",0,1,11,11,"cellular lipid catabolic process","BP",0,"glycerolipid metabolic process","Up"
"103",154,"GO:0044270",0,1,11,11,"cellular nitrogen compound catabolic process","BP",0,"positive regulation of catabolic process","Up"
"104",155,"GO:0044282",0,1,13,13,"small molecule catabolic process","BP",0,"regulation of small molecule metabolic process","Up"
"105",156,"GO:0044403",0,1,13,13,"biological process involved in symbiotic interaction","BP",0,"biological process involved in interspecies interaction between organisms","Up"
"106",157,"GO:0044419",0,1,13,13,"biological process involved in interspecies interaction between organisms","BP",0,"biological process involved in interspecies interaction between organisms","Up"
"107",158,"GO:0044782",0,1,14,14,"cilium organization","BP",0,"regulation of dendrite development","Up"
"108",160,"GO:0045132",0,1,11,11,"meiotic chromosome segregation","BP",0,"positive regulation of cell cycle","Up"
"109",161,"GO:0045137",0,1,13,13,"development of primary sexual characteristics","BP",0,"development of primary sexual characteristics","Up"
"110",162,"GO:0045165",0,1,11,11,"cell fate commitment","BP",0,"cell fate commitment","Up"
"111",164,"GO:0045666",0,1,15,15,"positive regulation of neuron differentiation","BP",0,"positive regulation of neuron differentiation","Up"
"112",165,"GO:0045787",0,1,11,11,"positive regulation of cell cycle","BP",0,"positive regulation of cell cycle","Up"
"113",166,"GO:0045860",0,1,11,11,"positive regulation of protein kinase activity","BP",0,"regulation of protein binding","Up"
"114",168,"GO:0045927",0,1,13,13,"positive regulation of growth","BP",0,"positive regulation of growth","Up"
"115",169,"GO:0045930",0,1,12,12,"negative regulation of mitotic cell cycle","BP",0,"positive regulation of cell cycle","Up"
"116",170,"GO:0045936",0,1,15,15,"negative regulation of phosphate metabolic process","BP",0,"purine ribonucleotide metabolic process","Up"
"117",171,"GO:0046395",0,1,11,11,"carboxylic acid catabolic process","BP",0,"regulation of small molecule metabolic process","Up"
"118",172,"GO:0046486",0,1,12,12,"glycerolipid metabolic process","BP",0,"glycerolipid metabolic process","Up"
"119",173,"GO:0046649",0,1,11,11,"lymphocyte activation","BP",0,"lymphocyte activation","Up"
"120",175,"GO:0046700",0,1,11,11,"heterocycle catabolic process","BP",0,"positive regulation of catabolic process","Up"
"121",176,"GO:0046777",0,1,11,11,"protein autophosphorylation","BP",0,"protein autophosphorylation","Up"
"122",182,"GO:0048563",0,1,15,15,"post-embryonic animal organ morphogenesis","BP",0,"post-embryonic animal organ morphogenesis","Up"
"123",183,"GO:0048568",0,1,16,16,"embryonic organ development","BP",0,"gland development","Up"
"124",184,"GO:0048589",0,1,16,16,"developmental growth","BP",0,"positive regulation of growth","Up"
"125",185,"GO:0048592",0,1,12,12,"eye morphogenesis","BP",0,"gland development","Up"
"126",186,"GO:0048638",0,1,14,14,"regulation of developmental growth","BP",0,"positive regulation of growth","Up"
"127",188,"GO:0048732",0,1,13,13,"gland development","BP",0,"gland development","Up"
"128",192,"GO:0050768",0,1,14,14,"negative regulation of neurogenesis","BP",0,"negative regulation of neurogenesis","Up"
"129",193,"GO:0050773",0,1,13,13,"regulation of dendrite development","BP",0,"regulation of dendrite development","Up"
"130",194,"GO:0050776",0,1,15,15,"regulation of immune response","BP",0,"regulation of immune response","Up"
"131",196,"GO:0050803",0,1,12,12,"regulation of synapse structure or activity","BP",0,"regulation of hormone levels","Up"
"132",198,"GO:0050807",0,1,11,11,"regulation of synapse organization","BP",0,"regulation of hormone levels","Up"
"133",200,"GO:0050890",0,1,11,11,"cognition","BP",0,"cognition","Up"
"134",201,"GO:0051046",0,1,15,15,"regulation of secretion","BP",0,"regulation of secretion by cell","Up"
"135",203,"GO:0051052",0,1,16,16,"regulation of DNA metabolic process","BP",0,"regulation of DNA metabolic process","Up"
"136",204,"GO:0051098",0,1,13,13,"regulation of binding","BP",0,"regulation of protein binding","Up"
"137",206,"GO:0051169",0,1,11,11,"nuclear transport","BP",0,"mitochondrial transport","Up"
"138",207,"GO:0051222",0,1,14,14,"positive regulation of protein transport","BP",0,"regulation of endocytosis","Up"
"139",209,"GO:0051259",0,1,13,13,"protein complex oligomerization","BP",0,"vesicle organization","Up"
"140",210,"GO:0051346",0,1,11,11,"negative regulation of hydrolase activity","BP",0,"regulation of protein binding","Up"
"141",211,"GO:0051347",0,1,16,16,"positive regulation of transferase activity","BP",0,"regulation of protein binding","Up"
"142",212,"GO:0051348",0,1,13,13,"negative regulation of transferase activity","BP",0,"regulation of protein binding","Up"
"143",213,"GO:0051493",0,1,13,13,"regulation of cytoskeleton organization","BP",0,"positive regulation of chromosome organization","Up"
"144",214,"GO:0051603",0,1,14,14,"proteolysis involved in protein catabolic process","BP",0,"positive regulation of catabolic process","Up"
"145",215,"GO:0051604",0,1,11,11,"protein maturation","BP",0,"protein maturation","Up"
"146",216,"GO:0051606",0,1,11,11,"detection of stimulus","BP",0,"detection of stimulus","Up"
"147",217,"GO:0051648",0,1,11,11,"vesicle localization","BP",0,"vesicle localization","Up"
"148",218,"GO:0051650",0,1,11,11,"establishment of vesicle localization","BP",0,"vesicle localization","Up"
"149",219,"GO:0051783",0,1,11,11,"regulation of nuclear division","BP",0,"positive regulation of chromosome organization","Up"
"150",220,"GO:0052548",0,1,16,16,"regulation of endopeptidase activity","BP",0,"post-transcriptional regulation of gene expression","Up"
"151",221,"GO:0055074",0,1,11,11,"calcium ion homeostasis","BP",0,"calcium ion homeostasis","Up"
"152",222,"GO:0055080",0,1,16,16,"monoatomic cation homeostasis","BP",0,"calcium ion homeostasis","Up"
"153",223,"GO:0055082",0,1,16,16,"intracellular chemical homeostasis","BP",0,"calcium ion homeostasis","Up"
"154",224,"GO:0060271",0,1,13,13,"cilium assembly","BP",0,"regulation of dendrite development","Up"
"155",225,"GO:0061351",0,1,11,11,"neural precursor cell proliferation","BP",0,"negative regulation of cell population proliferation","Up"
"156",227,"GO:0062012",0,1,12,12,"regulation of small molecule metabolic process","BP",0,"regulation of small molecule metabolic process","Up"
"157",230,"GO:0071345",0,1,16,16,"cellular response to cytokine stimulus","BP",0,"response to toxic substance","Up"
"158",232,"GO:0071407",0,1,12,12,"cellular response to organic cyclic compound","BP",0,"response to toxic substance","Up"
"159",233,"GO:0071417",0,1,14,14,"cellular response to organonitrogen compound","BP",0,"response to toxic substance","Up"
"160",234,"GO:0071824",0,1,11,11,"protein-DNA complex subunit organization","BP",0,"vesicle organization","Up"
"161",236,"GO:0072521",0,1,14,14,"purine-containing compound metabolic process","BP",0,"nucleic acid phosphodiester bond hydrolysis","Up"
"162",237,"GO:0072594",0,1,16,16,"establishment of protein localization to organelle","BP",0,"mitochondrial transport","Up"
"163",238,"GO:0090305",0,1,12,12,"nucleic acid phosphodiester bond hydrolysis","BP",0,"nucleic acid phosphodiester bond hydrolysis","Up"
"164",239,"GO:0090407",0,1,16,16,"organophosphate biosynthetic process","BP",0,"purine ribonucleotide metabolic process","Up"
"165",240,"GO:0090596",0,1,15,15,"sensory organ morphogenesis","BP",0,"gland development","Up"
"166",241,"GO:0097190",0,1,12,12,"apoptotic signaling pathway","BP",0,"apoptotic signaling pathway","Up"
"167",244,"GO:0098655",0,1,14,14,"monoatomic cation transmembrane transport","BP",0,"mitochondrial transport","Up"
"168",245,"GO:0098660",0,1,15,15,"inorganic ion transmembrane transport","BP",0,"mitochondrial transport","Up"
"169",246,"GO:0098662",0,1,14,14,"inorganic cation transmembrane transport","BP",0,"mitochondrial transport","Up"
"170",247,"GO:0098813",0,1,16,16,"nuclear chromosome segregation","BP",0,"positive regulation of cell cycle","Up"
"171",249,"GO:0099003",0,1,11,11,"vesicle-mediated transport in synapse","BP",0,"vesicle-mediated transport in synapse","Up"
"172",251,"GO:0099536",0,1,11,11,"synaptic signaling","BP",0,"trans-synaptic signaling","Up"
"173",252,"GO:0099537",0,1,11,11,"trans-synaptic signaling","BP",0,"trans-synaptic signaling","Up"
"174",253,"GO:0120031",0,1,14,14,"plasma membrane bounded cell projection assembly","BP",0,"regulation of dendrite development","Up"
"175",256,"GO:1901361",0,1,12,12,"organic cyclic compound catabolic process","BP",0,"positive regulation of catabolic process","Up"
"176",257,"GO:1901615",0,1,12,12,"organic hydroxy compound metabolic process","BP",0,"organic hydroxy compound metabolic process","Up"
"177",258,"GO:1901699",0,1,14,14,"cellular response to nitrogen compound","BP",0,"response to toxic substance","Up"
"178",259,"GO:1901987",0,1,16,16,"regulation of cell cycle phase transition","BP",0,"positive regulation of cell cycle","Up"
"179",260,"GO:1901990",0,1,13,13,"regulation of mitotic cell cycle phase transition","BP",0,"positive regulation of cell cycle","Up"
"180",261,"GO:1902115",0,1,12,12,"regulation of organelle assembly","BP",0,"vesicle organization","Up"
"181",262,"GO:1902275",0,1,13,13,"regulation of chromatin organization","BP",0,"regulation of chromatin organization","Up"
"182",264,"GO:1903320",0,1,15,15,"regulation of protein modification by small protein conjugation or removal","BP",0,"post-transcriptional regulation of gene expression","Up"
"183",266,"GO:1903530",0,1,13,13,"regulation of secretion by cell","BP",0,"regulation of secretion by cell","Up"
"184",267,"GO:1903706",0,1,13,13,"regulation of hemopoiesis","BP",0,"cell fate commitment","Up"
"185",268,"GO:1903829",0,1,14,14,"positive regulation of protein localization","BP",0,"regulation of endocytosis","Up"
"186",269,"GO:1904951",0,1,15,15,"positive regulation of establishment of protein localization","BP",0,"regulation of endocytosis","Up"
"187",271,"GO:2000145",0,1,14,14,"regulation of cell motility","BP",0,"regulation of cell motility","Up"
"188",273,"GO:2001233",0,1,15,15,"regulation of apoptotic signaling pathway","BP",0,"apoptotic signaling pathway","Up"
"189",274,"GO:2001251",0,1,11,11,"negative regulation of chromosome organization","BP",0,"positive regulation of chromosome organization","Up"
"190",275,"GO:2001252",0,1,11,11,"positive regulation of chromosome organization","BP",0,"positive regulation of chromosome organization","Up"
"191",276,"GO:0065007",9.42469124636902e-306,1,243,243,"biological regulation","BP",1.75676244832319e-304,"biological regulation","Up"
"192",277,"GO:0050789",1.5206778963348e-282,1,226,226,"regulation of biological process","BP",2.81950623219635e-281,"biological regulation","Up"
"193",278,"GO:0050794",3.3145970158803e-262,1,211,211,"regulation of cellular process","BP",6.06519192172861e-261,"biological regulation","Up"
"194",279,"GO:0008152",1.56277633741388e-260,1,209,209,"metabolic process","BP",2.85216882467964e-259,"metabolic process","Up"
"195",280,"GO:0071704",4.24252733869267e-255,1,205,205,"organic substance metabolic process","BP",7.722725546214e-254,"metabolic process","Up"
"196",281,"GO:0044237",5.88332998733132e-250,1,201,201,"cellular metabolic process","BP",1.06816822367392e-248,"metabolic process","Up"
"197",282,"GO:0044238",1.48122729967869e-244,1,197,197,"primary metabolic process","BP",2.6823261204026e-243,"metabolic process","Up"
"198",283,"GO:0006807",6.98699762235405e-226,1,183,183,"nitrogen compound metabolic process","BP",1.26199259380503e-224,"metabolic process","Up"
"199",284,"GO:0032501",4.98102462437293e-224,1,182,182,"multicellular organismal process","BP",8.97354693926978e-223,"locomotory behavior","Up"
"200",285,"GO:0071840",1.88060975748798e-208,1,170,170,"cellular component organization or biogenesis","BP",3.37063133457461e-207,"vesicle organization","Up"
"201",286,"GO:0032502",1.64009690382025e-199,1,163,163,"developmental process","BP",2.93204024493697e-198,"nematode larval development","Up"
"202",287,"GO:0043170",8.94958037799366e-199,1,162,162,"macromolecule metabolic process","BP",1.59585629699428e-197,"metabolic process","Up"
"203",288,"GO:0016043",1.22177353997036e-196,1,161,161,"cellular component organization","BP",2.17307812834422e-195,"vesicle organization","Up"
"204",289,"GO:0048856",1.39604896047554e-195,1,160,160,"anatomical structure development","BP",2.47674675982842e-194,"nematode larval development","Up"
"205",290,"GO:0050896",7.14676450972861e-193,1,158,158,"response to stimulus","BP",1.26470592210134e-191,"detection of stimulus","Up"
"206",291,"GO:0007275",3.73757380857054e-184,1,151,151,"multicellular organism development","BP",6.58076597529171e-183,"nematode larval development","Up"
"207",292,"GO:0048518",1.51334620885794e-181,1,149,149,"positive regulation of biological process","BP",2.65786180902437e-180,"positive regulation of biological process","Up"
"208",293,"GO:0019222",4.82284886849553e-173,1,142,142,"regulation of metabolic process","BP",8.38599840566761e-172,"post-transcriptional regulation of gene expression","Up"
"209",294,"GO:0048522",2.19376412136047e-171,1,141,141,"positive regulation of cellular process","BP",3.80506481595774e-170,"positive regulation of biological process","Up"
"210",295,"GO:0031323",9.84772242413725e-163,1,134,134,"regulation of cellular metabolic process","BP",1.69545762918028e-161,"post-transcriptional regulation of gene expression","Up"
"211",296,"GO:0044260",7.94109029082768e-162,1,133,133,"cellular macromolecule metabolic process","BP",1.36383835707335e-160,"regulation of DNA metabolic process","Up"
"212",297,"GO:0048519",8.90513228052067e-159,1,131,131,"negative regulation of biological process","BP",1.52565869217744e-157,"negative regulation of biological process","Up"
"213",298,"GO:0048731",1.18333914812397e-158,1,131,131,"system development","BP",2.02238157588914e-157,"vasculature development","Up"
"214",299,"GO:0060255",1.86652566923268e-156,1,129,129,"regulation of macromolecule metabolic process","BP",3.1821986409601e-155,"post-transcriptional regulation of gene expression","Up"
"215",300,"GO:0080090",2.03988504503122e-156,1,129,129,"regulation of primary metabolic process","BP",3.46929354373922e-155,"post-transcriptional regulation of gene expression","Up"
"216",301,"GO:0051171",2.9241867610058e-155,1,128,128,"regulation of nitrogen compound metabolic process","BP",4.96118093675499e-154,"post-transcriptional regulation of gene expression","Up"
"217",302,"GO:0051179",1.43382139257931e-153,1,127,127,"localization","BP",2.42673402763423e-152,"mitochondrial transport","Up"
"218",303,"GO:1901564",3.32605507491802e-149,1,123,123,"organonitrogen compound metabolic process","BP",5.60219878883781e-148,"protein maturation","Up"
"219",304,"GO:0006996",7.73799885208062e-145,1,120,120,"organelle organization","BP",1.29708901621207e-143,"vesicle organization","Up"
"220",305,"GO:0034641",5.35833907526195e-144,1,119,119,"cellular nitrogen compound metabolic process","BP",8.9604761091103e-143,"metabolic process","Up"
"221",306,"GO:0048523",1.05299651277501e-143,1,119,119,"negative regulation of cellular process","BP",1.75666960007096e-142,"negative regulation of biological process","Up"
"222",307,"GO:0051716",4.50821121242633e-141,1,117,117,"cellular response to stimulus","BP",7.4497390957116e-140,"detection of stimulus","Up"
"223",308,"GO:1901360",1.14289752955598e-131,1,109,109,"organic cyclic compound metabolic process","BP",1.87973028978737e-130,"nucleic acid phosphodiester bond hydrolysis","Up"
"224",309,"GO:0006725",2.239006823441e-125,1,104,104,"cellular aromatic compound metabolic process","BP",3.67386330888559e-124,"metabolic process","Up"
"225",310,"GO:0048869",2.7761442055253e-122,1,102,102,"cellular developmental process","BP",4.54455456595359e-121,"cell fate commitment","Up"
"226",311,"GO:0046483",1.19185926587399e-121,1,101,101,"heterocycle metabolic process","BP",1.94198048215831e-120,"nucleic acid phosphodiester bond hydrolysis","Up"
"227",312,"GO:0048513",2.09252378327217e-121,1,101,101,"animal organ development","BP",3.39367546289384e-120,"gland development","Up"
"228",313,"GO:0030154",4.65546697470731e-121,1,101,101,"cell differentiation","BP",7.53280420213059e-120,"cell fate commitment","Up"
"229",314,"GO:0019538",2.21173638014141e-119,1,99,99,"protein metabolic process","BP",3.5704474127456e-118,"protein maturation","Up"
"230",315,"GO:0006139",3.27987581327459e-119,1,99,99,"nucleobase-containing compound metabolic process","BP",5.28256496193304e-118,"nucleic acid phosphodiester bond hydrolysis","Up"
"231",316,"GO:0065008",6.20716817936919e-119,1,99,99,"regulation of biological quality","BP",9.97427714340015e-118,"regulation of hormone levels","Up"
"232",317,"GO:0048583",8.0460573188849e-119,1,99,99,"regulation of response to stimulus","BP",1.28995276740838e-117,"regulation of response to external stimulus","Up"
"233",318,"GO:0009893",7.2558351045992e-113,1,94,94,"positive regulation of metabolic process","BP",1.16060154190271e-111,"positive regulation of biological process","Up"
"234",319,"GO:0051234",2.68334167406207e-111,1,93,93,"establishment of localization","BP",4.28231924696207e-110,"mitochondrial transport","Up"
"235",320,"GO:0007154",4.5839554801328e-109,1,91,91,"cell communication","BP",7.29882660731852e-108,"trans-synaptic signaling","Up"
"236",321,"GO:0044085",1.83792809430381e-105,1,88,88,"cellular component biogenesis","BP",2.91317854403257e-104,"vesicle organization","Up"
"237",322,"GO:0006810",3.27113317194128e-105,1,88,88,"transport","BP",5.17312689408813e-104,"mitochondrial transport","Up"
"238",323,"GO:0031325",2.22207624806505e-104,1,87,87,"positive regulation of cellular metabolic process","BP",3.50616545687916e-103,"positive regulation of biological process","Up"
"239",324,"GO:0006950",6.70583431642958e-104,1,87,87,"response to stress","BP",1.05571580792439e-102,"double-strand break repair","Up"
"240",325,"GO:0051128",7.3161477129015e-104,1,87,87,"regulation of cellular component organization","BP",1.14921061827374e-102,"positive regulation of chromosome organization","Up"
