"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"32",68,"GO:0034769",0.0217737441634358,0.999823336062102,1,4,"basement membrane disassembly","BP","basement membrane disassembly"
"33",80,"GO:0045763",0.0259131433580495,0.999777020793125,1,3,"negative regulation of cellular amino acid metabolic process","BP","negative regulation of cellular amino acid metabolic process"
"34",89,"GO:0016259",0.0266258947073157,0.999764508626856,1,3,"selenocysteine metabolic process","BP","negative regulation of cellular amino acid metabolic process"
"35",98,"GO:0098656",0.0306643076928171,0.99528391455826,3,79,"monoatomic anion transmembrane transport","BP","chloride transmembrane transport"
"36",103,"GO:0071896",0.0333667676242555,0.999583051125114,1,4,"protein localization to adherens junction","BP","protein localization to adherens junction"
"37",106,"GO:0031268",0.0340378229819539,0.999613832664026,1,3,"pseudopodium organization","BP","pseudopodium assembly"
"38",107,"GO:0035150",0.0343585032872461,0.99447216027223,3,83,"regulation of tube size","BP","regulation of tube size"
"39",111,"GO:0006812",0.0356833110521131,0.990349963829917,5,218,"monoatomic cation transport","BP","chloride transmembrane transport"
"40",112,"GO:0008209",0.0358651747077697,0.999485918601739,1,5,"androgen metabolic process","BP","regulation of tube size"
"41",114,"GO:0106072",0.0362872027725402,0.999506244680065,1,4,"negative regulation of adenylate cyclase-activating G protein-coupled receptor signaling pathway","BP","regulation of cAMP-mediated signaling"
"42",121,"GO:0034220",0.037794119842455,0.989622974488178,5,214,"monoatomic ion transmembrane transport","BP","chloride transmembrane transport"
"43",123,"GO:2001223",0.0383238267712142,0.999412417217267,1,5,"negative regulation of neuron migration","BP","neuron projection fasciculation"
"44",124,"GO:0000820",0.0385729525211127,0.999441527135517,1,4,"regulation of glutamine family amino acid metabolic process","BP","negative regulation of cellular amino acid metabolic process"
"45",126,"GO:0035434",0.0386601020273172,0.999401976448358,1,5,"copper ion transmembrane transport","BP","chloride transmembrane transport"
"46",130,"GO:0098703",0.0403081975491264,0.999389689091602,1,4,"calcium ion import across plasma membrane","BP","chloride transmembrane transport"
"47",133,"GO:0009913",0.0409879211287994,0.992914042015945,3,97,"epidermal cell differentiation","BP","epidermal cell differentiation"
"48",140,"GO:0051490",0.0430963076661219,0.999255476920391,1,5,"negative regulation of filopodium assembly","BP","pseudopodium assembly"
"49",141,"GO:0042428",0.0441909869751085,0.999216814446958,1,5,"serotonin metabolic process","BP","serotonin metabolic process"
"50",155,"GO:0090251",0.0499127631227003,0.99895733919851,1,6,"protein localization involved in establishment of planar polarity","BP","epidermal cell differentiation"
"51",156,"GO:0006521",0.0499926749050716,0.998953963661519,1,6,"regulation of cellular amino acid metabolic process","BP","negative regulation of cellular amino acid metabolic process"
