"","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","bh_adjust","Module","ParentTerm","N_in_Parent"
"55","GO:0019511",0.0316529676406571,1,1,1,"peptidyl-proline hydroxylation","BP",1,"Magenta","peptidyl-proline hydroxylation to 4-hydroxy-L-proline",5
"56","GO:0016331",0.0317509145551859,0.987515687319401,9,161,"morphogenesis of embryonic epithelium","BP",1,"Magenta","dorsal/ventral axon guidance",2
"57","GO:0036124",0.0319605684166134,1,1,1,"histone H3-K9 trimethylation","BP",1,"Magenta","peptidyl-proline hydroxylation to 4-hydroxy-L-proline",5
"58","GO:0051659",0.0319976344139188,1,1,1,"maintenance of mitochondrion location","BP",1,"Magenta","maintenance of mitochondrion location",2
"59","GO:0007043",0.0321817798598059,0.993165751748966,4,41,"cell-cell junction assembly","BP",1,"Magenta","mRNA splice site selection",3
"60","GO:0006813",0.0328489965177822,0.994965534913648,3,26,"potassium ion transport","BP",1,"Magenta","metal ion transport",4
"61","GO:0032469",0.0334268123603811,0.997275836173734,2,13,"endoplasmic reticulum calcium ion homeostasis","BP",1,"Magenta","mitochondrial calcium ion homeostasis",6
"62","GO:0051567",0.0343400634406845,0.997273356102895,2,10,"histone H3-K9 methylation","BP",1,"Magenta","peptidyl-proline hydroxylation to 4-hydroxy-L-proline",5
"63","GO:0051050",0.0361383489448029,0.980902599983449,17,384,"positive regulation of transport","BP",1,"Magenta","regulation of secretion by cell",13
"64","GO:0034764",0.038238346759299,0.989436663788135,5,70,"positive regulation of transmembrane transport","BP",1,"Magenta","regulation of secretion by cell",13
"65","GO:0010650",0.0382750148630186,1,1,1,"positive regulation of cell communication by electrical coupling","BP",1,"Magenta","positive regulation of cell communication by electrical coupling",1
"66","GO:0032414",0.0404917879946139,0.993182218347433,3,31,"positive regulation of ion transmembrane transporter activity","BP",1,"Magenta","regulation of secretion by cell",13
"67","GO:0046958",0.043970090583272,0.996002807287969,2,10,"nonassociative learning","BP",1,"Magenta","sperm ejaculation",2
"68","GO:0040018",0.0444888096153861,0.989443163191687,4,49,"positive regulation of multicellular organism growth","BP",1,"Magenta","regulation of dendrite extension",3
"69","GO:0048312",0.0447484727248396,0.995825534801129,2,11,"intracellular distribution of mitochondria","BP",1,"Magenta","maintenance of mitochondrion location",2
"70","GO:0060393",0.0451600164245887,0.995558300609546,2,16,"regulation of pathway-restricted SMAD protein phosphorylation","BP",1,"Magenta","cell-cell signaling",7
"71","GO:0046661",0.0455833899233409,0.984901347796247,6,95,"male sex differentiation","BP",1,"Magenta","development of primary male sexual characteristics",5
"72","GO:0001666",0.0458863514949622,0.983174624485622,7,126,"response to hypoxia","BP",1,"Magenta","response to hypoxia",1
"73","GO:1901021",0.0458890221058829,0.995477476334677,2,15,"positive regulation of calcium ion transmembrane transporter activity","BP",1,"Magenta","regulation of secretion by cell",13
"74","GO:0061647",0.0463089590520578,0.995539361597556,2,12,"histone H3-K9 modification","BP",1,"Magenta","peptidyl-proline hydroxylation to 4-hydroxy-L-proline",5
"75","GO:0006937",0.046773844767155,0.988711866801454,4,50,"regulation of muscle contraction","BP",1,"Magenta","negative regulation of post-embryonic development",3
"76","GO:0086010",0.047498417162971,0.995494059538781,2,10,"membrane depolarization during action potential","BP",1,"Magenta","positive regulation of membrane potential",6
"77","GO:0043267",0.0476018265164078,0.995250438190052,2,14,"negative regulation of potassium ion transport","BP",1,"Magenta","regulation of secretion by cell",13
"78","GO:0050848",0.0491782212595444,0.991008834842386,3,34,"regulation of calcium-mediated signaling","BP",1,"Magenta","calcium-mediated signaling",3
"79","GO:0046887",0.049231282799122,0.985421959862069,5,72,"positive regulation of hormone secretion","BP",1,"Magenta","positive regulation of membrane potential",6
