"","X","GOterm","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology","ParentTerm"
"30",32,"GO:0031323",0.000391102614226023,0.999677319296537,900,1810,"regulation of cellular metabolic process","BP","regulation of primary metabolic process"
"31",33,"GO:0045664",0.000407526317746985,0.999729387458657,186,336,"regulation of neuron differentiation","BP","positive regulation of neuron differentiation"
"32",34,"GO:0044093",0.000420420212940791,0.99969101073881,319,604,"positive regulation of molecular function","BP","regulation of hydrolase activity"
"33",35,"GO:0048583",0.000425008348859158,0.999658696435465,650,1284,"regulation of response to stimulus","BP","regulation of response to wounding"
"34",36,"GO:0010975",0.000660405763097042,0.999573388937676,153,273,"regulation of neuron projection development","BP","positive regulation of neuron projection development"
"35",37,"GO:0051962",0.000686149128916213,0.999555819035364,153,274,"positive regulation of nervous system development","BP","regulation of multicellular organismal development"
"36",38,"GO:1903036",0.000686497826736806,0.999786643566058,30,42,"positive regulation of response to wounding","BP","regulation of response to wounding"
"37",39,"GO:0050769",0.000727713538533502,0.999540533527621,137,243,"positive regulation of neurogenesis","BP","regulation of multicellular organismal development"
"38",40,"GO:0009966",0.00081584376247948,0.999351525491716,523,1027,"regulation of signal transduction","BP","regulation of signal transduction"
"39",41,"GO:0018107",0.000829622033454838,0.999718684136869,33,47,"peptidyl-threonine phosphorylation","BP","peptidyl-threonine phosphorylation"
"40",42,"GO:0006304",0.000844071455793245,0.999813082933091,21,27,"DNA modification","BP","DNA modification"
"41",43,"GO:0080134",0.000958709783578171,0.999308440153429,249,466,"regulation of response to stress","BP","regulation of response to wounding"
"42",44,"GO:0048308",0.00097076589326373,1,9,9,"organelle inheritance","BP","organelle inheritance"
"43",45,"GO:0009628",0.00105181187946718,0.999215730801539,301,573,"response to abiotic stimulus","BP","response to abiotic stimulus"
"44",46,"GO:0032879",0.00106968817813342,0.999156246179327,464,906,"regulation of localization","BP","regulation of localization"
"45",47,"GO:0016043",0.00110602521213073,0.99906407491519,1049,2137,"cellular component organization","BP","cellular component organization"
"46",48,"GO:0048731",0.00110716860084198,0.999075891219702,852,1720,"system development","BP","system development"
"47",49,"GO:0051960",0.0013012831902905,0.999048745339387,255,481,"regulation of nervous system development","BP","regulation of multicellular organismal development"
"48",50,"GO:0016032",0.00132452063907766,0.999320299992996,65,106,"viral process","BP","viral life cycle"
"49",51,"GO:0019222",0.00145674200997825,0.998767236965166,982,2000,"regulation of metabolic process","BP","regulation of primary metabolic process"
"50",54,"GO:0043547",0.00152276424080816,0.999143097901212,82,138,"positive regulation of GTPase activity","BP","regulation of hydrolase activity"
"51",55,"GO:0009266",0.00153090895143146,0.999132411677702,83,141,"response to temperature stimulus","BP","response to abiotic stimulus"
"52",56,"GO:0051128",0.00154641641216582,0.998749525796749,548,1084,"regulation of cellular component organization","BP","positive regulation of cellular component organization"
"53",57,"GO:0051239",0.00157228415995132,0.998728225115676,547,1084,"regulation of multicellular organismal process","BP","regulation of multicellular organismal development"
"54",58,"GO:0019882",0.00162101535996364,0.999292704961549,44,68,"antigen processing and presentation","BP","antigen processing and presentation"
"55",59,"GO:0071840",0.00185227995494773,0.998416648462161,1099,2250,"cellular component organization or biogenesis","BP","cellular component organization"
"56",60,"GO:0032502",0.0019110730118478,0.998365903019266,1096,2243,"developmental process","BP","developmental process"
"57",61,"GO:0070887",0.00193206609449531,0.998465788066464,438,861,"cellular response to chemical stimulus","BP","cellular response to chemical stimulus"
"58",62,"GO:0120035",0.00198137060738845,0.998608168923931,188,348,"regulation of plasma membrane bounded cell projection organization","BP","positive regulation of neuron projection development"
"59",63,"GO:0051172",0.00198258546835926,0.998431315993303,422,828,"negative regulation of nitrogen compound metabolic process","BP","negative regulation of cellular process"
"60",64,"GO:0009408",0.00205166790268151,0.998926151159254,63,104,"response to heat","BP","response to abiotic stimulus"
"61",65,"GO:0051129",0.00209799000201232,0.998521890559153,189,350,"negative regulation of cellular component organization","BP","positive regulation of cellular component organization"
"62",66,"GO:0048679",0.00213937287212088,0.999442177934248,21,28,"regulation of axon regeneration","BP","regulation of response to wounding"
"63",67,"GO:0051641",0.0022035644841565,0.99820596592855,546,1085,"cellular localization","BP","localization"
"64",68,"GO:0000022",0.00222006333609158,1,8,8,"mitotic spindle elongation","BP","mitotic spindle organization"
"65",69,"GO:0002495",0.00234498820038481,0.999175391095863,29,42,"antigen processing and presentation of peptide antigen via MHC class II","BP","antigen processing and presentation"
"66",70,"GO:0002504",0.00234498820038481,0.999175391095863,29,42,"antigen processing and presentation of peptide or polysaccharide antigen via MHC class II","BP","antigen processing and presentation"
"67",71,"GO:0001101",0.00236755846458969,0.998627995525463,82,141,"response to acid chemical","BP","cellular response to chemical stimulus"
"68",72,"GO:0050818",0.00242939301047991,0.999412239048453,19,25,"regulation of coagulation","BP","regulation of multicellular organismal development"
"69",73,"GO:0018210",0.00244179761009228,0.999060420464747,33,49,"peptidyl-threonine modification","BP","peptidyl-threonine phosphorylation"
"70",74,"GO:0032501",0.00246714703120606,0.997876842238806,1154,2370,"multicellular organismal process","BP","system development"
"71",75,"GO:0000280",0.00261972010060558,0.998381372823655,101,177,"nuclear division","BP","organelle inheritance"
"72",77,"GO:0060255",0.00279532037240916,0.997622855655999,903,1841,"regulation of macromolecule metabolic process","BP","regulation of primary metabolic process"
"73",78,"GO:0023051",0.00281770236874621,0.997682135319259,580,1158,"regulation of signaling","BP","regulation of signal transduction"
"74",79,"GO:0048285",0.00282698513626822,0.9982195494739,107,189,"organelle fission","BP","organelle inheritance"
"75",80,"GO:0010033",0.00301875836671306,0.99754942021628,494,981,"response to organic substance","BP","cellular response to chemical stimulus"
"76",81,"GO:0048002",0.0031013513740565,0.998705729975061,36,55,"antigen processing and presentation of peptide antigen","BP","antigen processing and presentation"
"77",82,"GO:0048870",0.00310320369036371,0.997716338888974,225,426,"cell motility","BP","cell motility"
"78",83,"GO:0031344",0.00330190775580661,0.997635369906884,189,353,"regulation of cell projection organization","BP","positive regulation of neuron projection development"
"79",84,"GO:0033036",0.00331867215945316,0.997314829102994,468,927,"macromolecule localization","BP","macromolecule localization"
"80",85,"GO:0043618",0.00336254369776339,0.998876002191955,25,36,"regulation of transcription from RNA polymerase II promoter in response to stress","BP","regulation of transcription from RNA polymerase II promoter in response to stress"
"81",86,"GO:0035239",0.00345054626002326,0.997444483901829,229,435,"tube morphogenesis","BP","developmental process"
"82",87,"GO:0007165",0.00354620225593687,0.997083123697454,549,1097,"signal transduction","BP","regulation of signal transduction"
"83",89,"GO:0048814",0.0035619283162665,0.99839041972908,41,64,"regulation of dendrite morphogenesis","BP","positive regulation of neuron projection development"
"84",90,"GO:0002682",0.00357184894885811,0.997385659599585,211,399,"regulation of immune system process","BP","antigen processing and presentation"
"85",91,"GO:0010646",0.00358827118315012,0.997037486162322,572,1144,"regulation of cell communication","BP","regulation of cell communication"
"86",92,"GO:0051173",0.00364451764347958,0.997013886535388,522,1042,"positive regulation of nitrogen compound metabolic process","BP","positive regulation of biological process"
"87",94,"GO:0044403",0.00378101086693593,0.997776679080848,79,136,"biological process involved in symbiotic interaction","BP","biological process involved in symbiotic interaction"
"88",95,"GO:0065008",0.00379553413980666,0.996813984965698,693,1399,"regulation of biological quality","BP","regulation of biological quality"
"89",98,"GO:0031399",0.00389784290902006,0.996964917578666,320,622,"regulation of protein modification process","BP","regulation of primary metabolic process"
"90",99,"GO:0045597",0.00398493608622384,0.997097005430124,200,378,"positive regulation of cell differentiation","BP","positive regulation of neuron differentiation"
"91",101,"GO:0050775",0.00406877793650053,0.998665961210563,24,34,"positive regulation of dendrite morphogenesis","BP","positive regulation of neuron differentiation"
"92",102,"GO:0008283",0.00418297630795379,0.996968236207964,192,362,"cell population proliferation","BP","cell population proliferation"
"93",104,"GO:0071900",0.00427828174836931,0.997263366181562,104,186,"regulation of protein serine/threonine kinase activity","BP","regulation of hydrolase activity"
"94",105,"GO:0016197",0.0043337988816682,0.997479992613081,74,127,"endosomal transport","BP","endosomal transport"
"95",106,"GO:0007059",0.00433869516171585,0.997409728045068,81,140,"chromosome segregation","BP","chromosome segregation"
"96",107,"GO:0070570",0.00436479080065619,0.99870450883027,21,29,"regulation of neuron projection regeneration","BP","regulation of response to wounding"
"97",108,"GO:0031401",0.00438687024431953,0.996757278986029,215,408,"positive regulation of protein modification process","BP","regulation of primary metabolic process"
"98",109,"GO:0016477",0.00443515743243051,0.996754895286573,201,380,"cell migration","BP","cell motility"
"99",110,"GO:0071310",0.00447435784814947,0.996447932532737,365,717,"cellular response to organic substance","BP","cellular response to chemical stimulus"
"100",111,"GO:0009890",0.00454682960637014,0.99647449269345,298,580,"negative regulation of biosynthetic process","BP","negative regulation of cellular process"
"101",112,"GO:0019068",0.00476904226810985,0.999181069658024,13,16,"virion assembly","BP","viral life cycle"
"102",114,"GO:0001568",0.0049004142024669,0.996948937457694,91,161,"blood vessel development","BP","blood vessel development"
"103",115,"GO:0002684",0.0049033219484294,0.996741519142198,119,216,"positive regulation of immune system process","BP","antigen processing and presentation"
"104",116,"GO:0090169",0.00498418447848486,0.999138053397196,13,16,"regulation of spindle assembly","BP","mitotic spindle organization"
"105",117,"GO:0050773",0.00502633562963235,0.997278655903525,58,97,"regulation of dendrite development","BP","positive regulation of neuron projection development"
"106",118,"GO:0051301",0.00503157201136295,0.996595374975837,128,235,"cell division","BP","cell division"
"107",119,"GO:0030154",0.00510335581034861,0.995681327190826,718,1455,"cell differentiation","BP","developmental process"
"108",121,"GO:0001525",0.00530790060976772,0.997205450732463,53,88,"angiogenesis","BP","blood vessel development"
"109",122,"GO:0048856",0.00531075013494477,0.995398910608574,1045,2149,"anatomical structure development","BP","developmental process"
"110",123,"GO:0051241",0.00541538320715677,0.995914315868592,235,450,"negative regulation of multicellular organismal process","BP","regulation of multicellular organismal development"
"111",124,"GO:0010604",0.0054715936014256,0.995457174398425,550,1105,"positive regulation of macromolecule metabolic process","BP","positive regulation of biological process"
"112",125,"GO:0031327",0.00555490254097007,0.99568102428223,291,567,"negative regulation of cellular biosynthetic process","BP","negative regulation of cellular process"
"113",126,"GO:0045732",0.00559383942144245,0.996677792907101,75,130,"positive regulation of protein catabolic process","BP","regulation of primary metabolic process"
"114",128,"GO:0006457",0.00574515079315389,0.996663666086782,69,119,"protein folding","BP","protein folding"
"115",129,"GO:0050919",0.00583155350976157,0.998994973920002,12,15,"negative chemotaxis","BP","negative chemotaxis"
"116",130,"GO:0009719",0.0058707369402573,0.995453839599032,279,541,"response to endogenous stimulus","BP","response to endogenous stimulus"
"117",131,"GO:0043620",0.00595599540566632,0.997833224967902,25,37,"regulation of DNA-templated transcription in response to stress","BP","regulation of transcription from RNA polymerase II promoter in response to stress"
"118",132,"GO:0098813",0.00597206419496852,0.996517102190184,70,120,"nuclear chromosome segregation","BP","chromosome segregation"
"119",133,"GO:0071363",0.00602568213162158,0.996059963080021,106,191,"cellular response to growth factor stimulus","BP","response to endogenous stimulus"
"120",134,"GO:0070848",0.00612644297647431,0.99597321123303,108,195,"response to growth factor","BP","response to endogenous stimulus"
"121",135,"GO:0061041",0.00618042101814858,0.997467166121433,30,46,"regulation of wound healing","BP","regulation of response to wounding"
"122",136,"GO:0045595",0.00618069431085592,0.995066811721228,355,699,"regulation of cell differentiation","BP","positive regulation of neuron differentiation"
"123",138,"GO:0006468",0.00624102157478872,0.995477105402152,176,331,"protein phosphorylation","BP","protein phosphorylation"
"124",139,"GO:0071229",0.00626981854283776,0.996987549097373,41,66,"cellular response to acid chemical","BP","cellular response to chemical stimulus"
"125",140,"GO:0048514",0.00627981726257382,0.996236950718027,75,131,"blood vessel morphogenesis","BP","blood vessel development"
"126",141,"GO:0022008",0.00630892994298387,0.994869518739412,423,840,"neurogenesis","BP","system development"
"127",142,"GO:0031324",0.00635066943499133,0.994806702626652,447,891,"negative regulation of cellular metabolic process","BP","negative regulation of cellular process"
"128",143,"GO:0009889",0.00641091826665791,0.994607215817262,621,1257,"regulation of biosynthetic process","BP","regulation of primary metabolic process"
"129",144,"GO:0031326",0.00643598661668217,0.994591739060821,612,1238,"regulation of cellular biosynthetic process","BP","regulation of primary metabolic process"
"130",146,"GO:0009893",0.0065130688196499,0.994548064371726,581,1172,"positive regulation of metabolic process","BP","positive regulation of biological process"
"131",147,"GO:0006909",0.00659282049351883,0.996352227029902,58,98,"phagocytosis","BP","endosomal transport"
"132",148,"GO:0001944",0.00661855147499979,0.995739820642399,97,174,"vasculature development","BP","blood vessel development"
"133",149,"GO:0002696",0.00675337938937282,0.996735738852286,41,66,"positive regulation of leukocyte activation","BP","regulation of multicellular organismal development"
"134",150,"GO:0002253",0.00683697872146086,0.996257314568736,56,94,"activation of immune response","BP","antigen processing and presentation"
"135",151,"GO:1905330",0.00686098168836697,0.996497967177528,46,76,"regulation of morphogenesis of an epithelium","BP","regulation of morphogenesis of an epithelium"
"136",152,"GO:0043406",0.00688877257242174,0.996201848076773,57,96,"positive regulation of MAP kinase activity","BP","regulation of hydrolase activity"
"137",153,"GO:0046890",0.00710272988485332,0.99635203626371,47,77,"regulation of lipid biosynthetic process","BP","regulation of lipid biosynthetic process"
"138",154,"GO:0019216",0.00720256173446316,0.995472650903404,87,154,"regulation of lipid metabolic process","BP","regulation of lipid biosynthetic process"
"139",155,"GO:0006950",0.00744908996701185,0.993730935416544,601,1214,"response to stress","BP","response to stimulus"
"140",156,"GO:0048869",0.00757533250322961,0.99353137765575,734,1494,"cellular developmental process","BP","developmental process"
"141",157,"GO:0050767",0.00767123845360523,0.994216894262975,215,412,"regulation of neurogenesis","BP","regulation of multicellular organismal development"
"142",158,"GO:0007127",0.00767794392691808,0.996858266023518,29,44,"meiosis I","BP","meiosis I"
"143",159,"GO:2000027",0.00779077378651383,0.995319328957046,72,126,"regulation of animal organ morphogenesis","BP","regulation of animal organ morphogenesis"
"144",160,"GO:0031325",0.00783448582725136,0.993457087045078,537,1082,"positive regulation of cellular metabolic process","BP","positive regulation of biological process"
"145",161,"GO:0030307",0.00804823519276182,0.995527192962269,56,95,"positive regulation of cell growth","BP","positive regulation of cell growth"
"146",162,"GO:0050892",0.008353890722933,1,6,6,"intestinal absorption","BP","intestinal absorption"
"147",164,"GO:0042063",0.0083853883627296,0.995185135033935,61,105,"gliogenesis","BP","blood vessel development"
"148",165,"GO:0044087",0.00843184050225714,0.993518096075715,242,467,"regulation of cellular component biogenesis","BP","cellular component organization"
"149",166,"GO:0007051",0.00860391835509955,0.995196327020734,56,95,"spindle organization","BP","mitotic spindle organization"
"150",167,"GO:0050793",0.0086090888220358,0.992822806213379,513,1031,"regulation of developmental process","BP","positive regulation of neuron differentiation"
"151",169,"GO:0051303",0.00864739001208947,0.996624848982496,26,39,"establishment of chromosome localization","BP","establishment of chromosome localization"
"152",170,"GO:0034446",0.00865620920766362,0.997850990569334,15,20,"substrate adhesion-dependent cell spreading","BP","substrate adhesion-dependent cell spreading"
"153",171,"GO:0010770",0.00868842879331393,0.995145863070333,56,95,"positive regulation of cell morphogenesis involved in differentiation","BP","positive regulation of neuron differentiation"
"154",172,"GO:0060562",0.008704889602923,0.993564947719976,183,348,"epithelial tube morphogenesis","BP","developmental process"
"155",174,"GO:0045167",0.0089617051347004,0.998337380337349,12,15,"asymmetric protein localization involved in cell fate determination","BP","macromolecule localization"
"156",175,"GO:1902533",0.00896827939580289,0.993397442695929,177,336,"positive regulation of intracellular signal transduction","BP","regulation of response to wounding"
"157",177,"GO:0002702",0.00907256302496836,0.99669016401848,23,34,"positive regulation of production of molecular mediator of immune response","BP","antigen processing and presentation"
"158",178,"GO:0007275",0.00917268474547027,0.992006987212519,978,2015,"multicellular organism development","BP","developmental process"
"159",179,"GO:0032008",0.00931117046103547,0.997046006196552,19,27,"positive regulation of TOR signaling","BP","regulation of response to wounding"
"160",181,"GO:0009220",0.00934608533668728,1,6,6,"pyrimidine ribonucleotide biosynthetic process","BP","pyrimidine ribonucleotide biosynthetic process"
"161",182,"GO:0046132",0.00934608533668728,1,6,6,"pyrimidine ribonucleoside biosynthetic process","BP","pyrimidine nucleoside biosynthetic process"
"162",183,"GO:0046134",0.00934608533668728,1,6,6,"pyrimidine nucleoside biosynthetic process","BP","pyrimidine nucleoside biosynthetic process"
"163",184,"GO:0007154",0.00947428242830217,0.991957238554206,631,1280,"cell communication","BP","regulation of cell communication"
"164",185,"GO:0010720",0.00952506738934808,0.99317756776299,148,278,"positive regulation of cell development","BP","positive regulation of neuron differentiation"
"165",186,"GO:0032456",0.00954211202341782,0.996963014239116,19,27,"endocytic recycling","BP","endosomal transport"
"166",187,"GO:0050000",0.00961002953658287,0.996103020436868,27,41,"chromosome localization","BP","establishment of chromosome localization"
"167",188,"GO:0050867",0.00974696625798807,0.995109249416988,41,67,"positive regulation of cell activation","BP","regulation of multicellular organismal development"
"168",189,"GO:0023052",0.00975027839887685,0.991742915006438,605,1226,"signaling","BP","regulation of signal transduction"
"169",190,"GO:0016192",0.00985295106097095,0.992048441412239,350,691,"vesicle-mediated transport","BP","endosomal transport"
"170",191,"GO:0044419",0.00985637297195956,0.993834883754736,79,140,"biological process involved in interspecies interaction between organisms","BP","biological process involved in symbiotic interaction"
"171",192,"GO:0035329",0.0100030419786338,0.999148702151923,8,9,"hippo signaling","BP","hippo signaling"
"172",193,"GO:0010558",0.0100127070666162,0.992123963113287,276,541,"negative regulation of macromolecule biosynthetic process","BP","negative regulation of cellular process"
"173",194,"GO:0009218",0.0100669291356961,0.999142009777692,8,9,"pyrimidine ribonucleotide metabolic process","BP","pyrimidine ribonucleotide biosynthetic process"
"174",195,"GO:0051251",0.0100756337294998,0.995267550978331,35,56,"positive regulation of lymphocyte activation","BP","regulation of multicellular organismal development"
"175",197,"GO:0009838",0.0101734340145221,1,6,6,"abscission","BP","abscission"
"176",199,"GO:0044255",0.0102484621631482,0.992578407941785,155,292,"cellular lipid metabolic process","BP","regulation of lipid biosynthetic process"
"177",201,"GO:0009226",0.010356049013159,0.99850355341212,10,12,"nucleotide-sugar biosynthetic process","BP","pyrimidine ribonucleotide biosynthetic process"
"178",203,"GO:0061356",0.0103937457812538,1,6,6,"regulation of Wnt protein secretion","BP","regulation of localization"
"179",204,"GO:0061357",0.0103937457812538,1,6,6,"positive regulation of Wnt protein secretion","BP","regulation of localization"
"180",205,"GO:0046605",0.0103959007867387,0.99614649942446,23,34,"regulation of centrosome cycle","BP","mitotic spindle organization"
"181",206,"GO:0006082",0.0104881374802643,0.992202585888367,181,345,"organic acid metabolic process","BP","pyrimidine ribonucleotide biosynthetic process"
"182",207,"GO:0009411",0.0105946274201279,0.994092158393099,53,90,"response to UV","BP","response to abiotic stimulus"
"183",208,"GO:0002757",0.0106284590971765,0.994199051363262,50,84,"immune response-activating signaling pathway","BP","antigen processing and presentation"
"184",209,"GO:0048729",0.0106785685212828,0.991739221176638,238,462,"tissue morphogenesis","BP","regulation of morphogenesis of an epithelium"
"185",212,"GO:0045176",0.0107450493839525,0.996526157530625,19,27,"apical protein localization","BP","macromolecule localization"
"186",213,"GO:0042221",0.0107949402162823,0.990792169398341,649,1321,"response to chemical","BP","cellular response to chemical stimulus"
"187",214,"GO:1903035",0.0108099252276317,0.996502387341322,19,27,"negative regulation of response to wounding","BP","regulation of response to wounding"
"188",215,"GO:0030193",0.0108310938255707,0.99696455487644,16,22,"regulation of blood coagulation","BP","regulation of multicellular organismal development"
"189",216,"GO:1900046",0.0108310938255707,0.99696455487644,16,22,"regulation of hemostasis","BP","regulation of biological quality"
"190",217,"GO:0055088",0.0109924727060369,0.994368336900617,42,69,"lipid homeostasis","BP","lipid homeostasis"
"191",218,"GO:0048670",0.0112820486445722,0.999012731956583,8,9,"regulation of collateral sprouting","BP","positive regulation of cell growth"
"192",219,"GO:0002009",0.0114528313617826,0.991173473372502,227,440,"morphogenesis of an epithelium","BP","regulation of morphogenesis of an epithelium"
"193",221,"GO:1904951",0.0115778793410573,0.992384998841727,93,168,"positive regulation of establishment of protein localization","BP","regulation of localization"
"194",222,"GO:0006986",0.0116707631238504,0.99365426441992,48,81,"response to unfolded protein","BP","cellular response to chemical stimulus"
"195",223,"GO:0090303",0.0117996387954319,0.996192068920682,18,26,"positive regulation of wound healing","BP","regulation of response to wounding"
"196",224,"GO:0007088",0.0118497277317978,0.993015633768741,61,106,"regulation of mitotic nuclear division","BP","organelle inheritance"
"197",231,"GO:0006582",0.0119701556454159,0.99634890568869,17,24,"melanin metabolic process","BP","melanin metabolic process"
"198",232,"GO:0080135",0.0121916038483713,0.99107550755202,158,299,"regulation of cellular response to stress","BP","regulation of response to wounding"
"199",233,"GO:0043436",0.0122709118439124,0.990841833621241,178,340,"oxoacid metabolic process","BP","pyrimidine ribonucleotide biosynthetic process"
"200",235,"GO:0048563",0.0127166468393869,0.991443865951051,100,183,"post-embryonic animal organ morphogenesis","BP","regulation of animal organ morphogenesis"
"201",236,"GO:0019827",0.0127514000941036,0.992263813705678,66,116,"stem cell population maintenance","BP","stem cell population maintenance"
"202",238,"GO:0071902",0.0127899168740718,0.992014842130037,73,130,"positive regulation of protein serine/threonine kinase activity","BP","regulation of hydrolase activity"
"203",239,"GO:0048878",0.0129418545876467,0.990243323614857,187,360,"chemical homeostasis","BP","lipid homeostasis"
"204",240,"GO:0051783",0.0129669646617424,0.992022891148586,69,122,"regulation of nuclear division","BP","organelle inheritance"
"205",241,"GO:2000112",0.0130255712796561,0.98894933561468,567,1152,"regulation of cellular macromolecule biosynthetic process","BP","regulation of cellular macromolecule biosynthetic process"
"206",242,"GO:0071230",0.0130682755834183,0.995963530357789,17,24,"cellular response to amino acid stimulus","BP","cellular response to chemical stimulus"
"207",244,"GO:0043112",0.0133300256109466,0.99391010196641,31,49,"receptor metabolic process","BP","regulation of cellular macromolecule biosynthetic process"
"208",245,"GO:0006890",0.0133992464492526,0.994411567218813,26,40,"retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum","BP","endosomal transport"
"209",248,"GO:0050820",0.013673215470838,0.997342387774094,11,14,"positive regulation of coagulation","BP","regulation of multicellular organismal development"
"210",249,"GO:1901976",0.0137886768829398,0.995707882436966,17,24,"regulation of cell cycle checkpoint","BP","chromosome segregation"
"211",250,"GO:0051094",0.0140841456208112,0.988809090145818,274,539,"positive regulation of developmental process","BP","positive regulation of neuron differentiation"
"212",251,"GO:0048585",0.0141382185805524,0.988620896898877,308,608,"negative regulation of response to stimulus","BP","regulation of response to wounding"
"213",252,"GO:0019221",0.0143123850538587,0.991306491495758,64,113,"cytokine-mediated signaling pathway","BP","cellular response to chemical stimulus"
"214",253,"GO:0007492",0.0143611933133114,0.993552692651061,29,46,"endoderm development","BP","regulation of morphogenesis of an epithelium"
"215",254,"GO:0060236",0.0143880408967293,0.995493549842276,17,24,"regulation of mitotic spindle organization","BP","mitotic spindle organization"
"216",255,"GO:0009225",0.0145188272139216,0.996171806046552,14,19,"nucleotide-sugar metabolic process","BP","pyrimidine ribonucleotide biosynthetic process"
"217",256,"GO:0045933",0.0146035767646386,0.995797584064076,15,21,"positive regulation of muscle contraction","BP","regulation of multicellular organismal development"
"218",257,"GO:0006305",0.0148986675595356,0.996054963241665,14,19,"DNA alkylation","BP","DNA modification"
"219",258,"GO:0006306",0.0148986675595356,0.996054963241665,14,19,"DNA methylation","BP","DNA modification"
"220",259,"GO:2000113",0.0150176184722879,0.988070102394074,268,528,"negative regulation of cellular macromolecule biosynthetic process","BP","regulation of cellular macromolecule biosynthetic process"
"221",261,"GO:0042308",0.0150381739873949,0.997023491232872,11,14,"negative regulation of protein import into nucleus","BP","regulation of localization"
"222",263,"GO:0002376",0.0151276942968108,0.987626872456148,353,703,"immune system process","BP","antigen processing and presentation"
"223",264,"GO:0010556",0.015204146536864,0.987027791172885,584,1190,"regulation of macromolecule biosynthetic process","BP","regulation of primary metabolic process"
"224",268,"GO:0090101",0.0154342630309861,0.993863982077059,23,35,"negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","BP","regulation of signal transduction"
"225",269,"GO:0099024",0.0154631891830526,0.993500028868265,25,39,"plasma membrane invagination","BP","plasma membrane invagination"
